id,sourceLang,targetLang,sourceString,targetString
1,en,af_ZA,1918 flu,1918-griep
2,en,af_ZA,acute bronchitis,akute brongitis
3,en,af_ZA,acute respiratory disease,akute respiratoriese siekte
4,en,af_ZA,AIDS,vigs
5,en,af_ZA,airborne droplets,luggedrae druppels
6,en,af_ZA,airway,lugweg
7,en,af_ZA,alcohol-based,alkoholgebaseerde
8,en,af_ZA,alcohol-based hand rub,alkoholgebaseerde handwasmiddel
9,en,af_ZA,alcohol-based hand sanitizer,alkoholgebaseerde handontsmetmiddel
10,en,af_ZA,alveolar disease,alveolêre siekte
11,en,af_ZA,an epidemic,’n epidemie
12,en,af_ZA,annual flu,jaarlikse griep
13,en,af_ZA,anti-inflammatory drug,anti-inflammatoriese middel
14,en,af_ZA,antiviral drug,antivirale medikasie
15,en,af_ZA,antiviral treatment,antivirale behandeling
16,en,af_ZA,assay,toets
17,en,af_ZA,asymptomatic,asimptomaties
18,en,af_ZA,avian flu,voëlgriep
19,en,af_ZA,Black Plague,Swartpes
20,en,af_ZA,blood pressure,bloeddruk
21,en,af_ZA,body fluid,liggaamsvloeistof
22,en,af_ZA,breathing,asemhaling
23,en,af_ZA,bubonic plague,Builepes
24,en,af_ZA,c19,c19
25,en,af_ZA,cv19,cv19
26,en,af_ZA,case fatality rate,gevalle se noodlottigheidskoers
27,en,af_ZA,causative agent,veroorsakende stof
28,en,af_ZA,CDC,CDC
29,en,af_ZA,chemical disinfection,chemiese ontsmetting
30,en,af_ZA,chest x-ray,borskas-x-straalfoto
31,en,af_ZA,clinical diagnosis,kliniese diagnose
32,en,af_ZA,clinical trial,kliniese proef
33,en,af_ZA,close contact,nabye kontak
34,en,af_ZA,cvirus,K-virus
35,en,af_ZA,chronic respiratory disease,chroniese respiratoriese siekte
36,en,af_ZA,common cold,gewone verkoue
37,en,af_ZA,common flu,gewone griep
38,en,af_ZA,communicable disease,aansteeklike siekte
39,en,af_ZA,community spread,verspreiding in die gemeenskap
40,en,af_ZA,community transmission,oordrag in die gemeenskap
41,en,af_ZA,compromised immune system,gekompromitteerde immuunstelsel
42,en,af_ZA,contagion,aansteeklikheid
43,en,af_ZA,contagious,aansteeklik
44,en,af_ZA,contagiousness,aansteeklikheid
45,en,af_ZA,corona,korona
46,en,af_ZA,corona virus,koronavirus
47,en,af_ZA,corona virus epidemic,koronavirusepidemie
48,en,af_ZA,corona virus outbreak,koronavirusuitbreking
49,en,af_ZA,corona virus scare,koronavirusvrees
50,en,af_ZA,coronavirus,koronavirus
51,en,af_ZA,coronavirus cases,koronavirusgevalle
52,en,af_ZA,coronavirus outbreak,koronavirusuitbreking
53,en,af_ZA,coronavirus pandemic,koronaviruspandemie
54,en,af_ZA,coronavirus scare,koronavirusvrees
55,en,af_ZA,cough,hoes
56,en,af_ZA,cough etiquette,hoesetiket
57,en,af_ZA,coughing,gehoes
58,en,af_ZA,cov 19,Cov-19
59,en,af_ZA,cov19,Cov-19
60,en,af_ZA,COVID,COVID
61,en,af_ZA,COVID-19 crisis,COVID-19-krisis
62,en,af_ZA,covid-19,Covid-19
63,en,af_ZA,covid19,Covid-19
64,en,af_ZA,COVID-19 epidemic,COVID-19-epidemie
65,en,af_ZA,COVID-19 outbreak,COVID-19-uitbreking
66,en,af_ZA,COVID-19 pandemic,COVID-19-pandemie
67,en,af_ZA,COVID 19,COVID-19
68,en,af_ZA,current crisis,huidige krisis
69,en,af_ZA,current health crisis,huidige gesondheidskrisis
70,en,af_ZA,current outbreak,huidige uitbreking
71,en,af_ZA,current pandemic,huidige pandemie
72,en,af_ZA,CV,CV
73,en,af_ZA,CV-19,CV-19
74,en,af_ZA,deadly,dodelik
75,en,af_ZA,deadly virus,dodelike virus
76,en,af_ZA,death rate,sterftekoers
77,en,af_ZA,death toll,sterftesyfer
78,en,af_ZA,decontaminate,ontsmet
79,en,af_ZA,detectable,opspoorbaar
