id,sourceLang,targetLang,sourceString,targetString
1,en,am_ET,1918 flu,1918 ኢንፍሎዌንዛ
2,en,am_ET,acute bronchitis,አጣዳፊ ብሮንካይተስ
3,en,am_ET,acute respiratory disease,አጣዳፊ የመተንፈሻ በሽታ
4,en,am_ET,AIDS,ኤድስ
5,en,am_ET,airborne droplets,በአየር ነጠብጣቦች
6,en,am_ET,airway,የአየር መተላለፊያ
7,en,am_ET,alcohol-based,በአልኮል-የተመሰረተ
8,en,am_ET,alcohol-based hand rub,በአልኮል-የተመሰረተ እጅ ማሸት
9,en,am_ET,alcohol-based hand sanitizer,በአልኮል-የተመሰረተ እጅ ማፅጃ ፈሳሽ
10,en,am_ET,alveolar disease,አልቬኦላር በሽታ
11,en,am_ET,an epidemic,ወረርሽኝ
12,en,am_ET,annual flu,አመታዊ ኢንፍሎዌንዛ
13,en,am_ET,anti-inflammatory drug,ፀረ-ኢንፍላማቶሪ መድሃኒት
14,en,am_ET,antiviral drug,የፀረ-ቫይረስ መድሃኒት
15,en,am_ET,antiviral treatment,የፀረ-ቫይረስ ህክምና
16,en,am_ET,assay,መፈተን
17,en,am_ET,asymptomatic,ምልክት የማሳይ
18,en,am_ET,avian flu,አቪያን ኢንፍሎዌንዛ
19,en,am_ET,Black Plague,ጥቁር ወረርሽኝ
20,en,am_ET,blood pressure,የደም ግፊት
21,en,am_ET,body fluid,የሰውነት ፈሳሽ
22,en,am_ET,breathing,አተነፋፈስ
23,en,am_ET,bubonic plague,ቡቦኒክ ወረርሽኝ
24,en,am_ET,c19,ሲ19
25,en,am_ET,cv19,ሲቪ19
26,en,am_ET,case fatality rate,የተመዘገበ የሞት መጠን
27,en,am_ET,causative agent,መንስኤ የሚሆነው አካል
28,en,am_ET,CDC,ሲዲሲ
29,en,am_ET,chemical disinfection,ኬሚካል ኢንፌክሽን ማጥፊያ
30,en,am_ET,chest x-ray,የደረት ኤክስ-ሬይ
31,en,am_ET,clinical diagnosis,የክሊኒካል ምርመራ
32,en,am_ET,clinical trial,የክሊኒካል ሙከራ
33,en,am_ET,close contact,የቅርብ ንክኪ
34,en,am_ET,cvirus,ኮቫይረስ
35,en,am_ET,chronic respiratory disease,ስር የሰደደ የመተንፈሻ አካላት በሽታ
36,en,am_ET,common cold,የተለመደ ጉንፋን
37,en,am_ET,common flu,የተለመደ ኢንፍሎዌንዛ
38,en,am_ET,communicable disease,ተዛማጅ በሽታዎች
39,en,am_ET,community spread,የማህበረሰብ ስርጭት
40,en,am_ET,community transmission,የማህበረሰብ መተላለፍ
41,en,am_ET,compromised immune system,የተጋለጠ በሽታን የመቋቋም ስርዓት
42,en,am_ET,contagion,ተላላፊ በሽታ
43,en,am_ET,contagious,ተላላፊ
44,en,am_ET,contagiousness,ተላላፊ የሆነ በሽታ
45,en,am_ET,corona,ኮሮና
46,en,am_ET,corona virus,ኮሮና ቫይረስ
47,en,am_ET,corona virus epidemic,የኮሮና ቫይረስ ተላላፊ በሽታ
48,en,am_ET,corona virus outbreak,የኮሮና ቫይረስ መስፋፋት
49,en,am_ET,corona virus scare,የኮሮና ቫይረስ ፍርሃት
50,en,am_ET,coronavirus,ኮሮናቫይረስ
51,en,am_ET,coronavirus cases,የኮሮናቫይረስ ኬዞች
52,en,am_ET,coronavirus outbreak,የኮሮናቫይረስ መስፋፋት
53,en,am_ET,coronavirus pandemic,የኮሮናቫይረስ ወረርሽኝ
54,en,am_ET,coronavirus scare,የኮሮናቫይረስ ፍርሃት
55,en,am_ET,cough,ሳል
56,en,am_ET,cough etiquette,የማሳል ሁኔታ
57,en,am_ET,coughing,ማሳል
58,en,am_ET,cov 19,ኮቭ 19
59,en,am_ET,cov19,ኮቭ19
60,en,am_ET,COVID,ኮቪድ
61,en,am_ET,COVID-19 crisis,የኮቪድ-19 ቀውሶች
62,en,am_ET,covid-19,ኮቪድ-19
63,en,am_ET,covid19,ኮቪድ19
64,en,am_ET,COVID-19 epidemic,የኮቪድ-19 ተላላፊ በሽታ
65,en,am_ET,COVID-19 outbreak,የኮቪድ-19 መስፋፋት
66,en,am_ET,COVID-19 pandemic,የኮቪድ-19 ወረርሽኝ
67,en,am_ET,COVID 19,ኮቪድ 19
68,en,am_ET,current crisis,ወቅታዊ ቀውስ
69,en,am_ET,current health crisis,ወቅታዊ የጤና ቀውስ
70,en,am_ET,current outbreak,ወቅታዊ መስፋፋት
71,en,am_ET,current pandemic,ወቅታዊ ወረርሽኝ
72,en,am_ET,CV,ሲቪ
73,en,am_ET,CV-19,ሲቪ-19
74,en,am_ET,deadly,ገዳይ
75,en,am_ET,deadly virus,ገዳይ ቫይረስ
76,en,am_ET,death rate,የሞት መጠን
77,en,am_ET,death toll,የሟች ቁጥር
78,en,am_ET,decontaminate,ብክለትን ማስወገድ
79,en,am_ET,detectable,የሚለይ
80,en,am_ET,detergent,ሳሙና
81,en,am_ET,difficulty breathing,የአተነፋፈስ ችግር
82,en,am_ET,diabetes,የስኳር በሽታ
83,en,am_ET,diagnosable disease,በምርመራ መታወቅ የሚችል በሽታ
84,en,am_ET,diagnostic protocol,የምርመራ ፕሮቶኮል
85,en,am_ET,diagnostic testing,የምርመራ ፍተሻ
86,en,am_ET,disease itself,በሽታው ራሱ
87,en,am_ET,disease outbreak,የበሽታ መስፋፋት
88,en,am_ET,disinfectant,ፀረ-ባክቴሪያ
89,en,am_ET,disposable,የሚጣል
90,en,am_ET,droplet transmission,የጠብታ መተላለፍ
91,en,am_ET,droplets,ጠብታዎች
92,en,am_ET,dry cough,ደረቅ ሳል
93,en,am_ET,dry surface contamination,የደረቅ ስፍራ መበከል
94,en,am_ET,ebola,ኢቦላ
95,en,am_ET,effective treatment,ውጤታማ ህክምና
96,en,am_ET,electron microscope,ኤሌክትሮን ማይክሮስኮፕ
97,en,am_ET,emergency department,የድንገተኛ መምሪያ
98,en,am_ET,epidemic,ተላላፊ
99,en,am_ET,epidemic curve,የተላፊፊነት ከርቭ
100,en,am_ET,epidemic peak,የተላፊፊነት የመጨረሻ ከፍተኛ
101,en,am_ET,epidemiologist,ኢፒዲሞሎጂስት
102,en,am_ET,exposure,ተጋላጭነት
103,en,am_ET,extreme caution,ከፍተኛ ጥንቃቄ
104,en,am_ET,eye protection,የአይን መከላከለያ
105,en,am_ET,face mask,የፊት ጭምብል
106,en,am_ET,face masks,የፊት ጭምብሎች
107,en,am_ET,family cluster,የቤተሰብ ክለስተር
108,en,am_ET,fatality rate,የሞት መጠን
109,en,am_ET,fecal contamination,የፌካል ብክለት
110,en,am_ET,fever,ትኩሳት
111,en,am_ET,flatten the infection curve,የኢንፌክሽን ከርቭ ማውረድ
112,en,am_ET,flu,ኢንፎሎዌንዛ
113,en,am_ET,food safety,የምግብ ደህንነት
114,en,am_ET,formaldehyde,ፎርማልዲሃይድ
115,en,am_ET,gastroenteritis,ጋስትሮንቴሪቲስ
