id,sourceLang,targetLang,sourceString,targetString
1,en,az_AZ,1918 flu,1918-ci il qripi
2,en,az_AZ,acute bronchitis,kəskin bronxit
3,en,az_AZ,acute respiratory disease,kəskin respirator xəstəlik
4,en,az_AZ,AIDS,SPİD
5,en,az_AZ,airborne droplets,hava damcıları
6,en,az_AZ,airway,tənəffüs yolları
7,en,az_AZ,alcohol-based,spirt əsaslı
8,en,az_AZ,alcohol-based hand rub,əl üçün spirt əsaslı antiseptik
9,en,az_AZ,alcohol-based hand sanitizer,əl üçün spirt əsaslı antiseptik
10,en,az_AZ,alveolar disease,alveol xəstəliyi
11,en,az_AZ,an epidemic,epidemiya
12,en,az_AZ,annual flu,illik qrip
13,en,az_AZ,anti-inflammatory drug,iltihab əleyhinə dərman
14,en,az_AZ,antiviral drug,virus əleyhinə dərman
15,en,az_AZ,antiviral treatment,virus əleyhinə müalicə
16,en,az_AZ,assay,sınaq
17,en,az_AZ,asymptomatic,simptomsuz
18,en,az_AZ,avian flu,quş qripi
19,en,az_AZ,Black Plague,Qara Vəba
20,en,az_AZ,blood pressure,qan təzyiqi
21,en,az_AZ,body fluid,bədən mayesi
22,en,az_AZ,breathing,tənəffüs
23,en,az_AZ,bubonic plague,bubon taunu
24,en,az_AZ,c19,c19
25,en,az_AZ,cv19,cv19
26,en,az_AZ,case fatality rate,letallıq
27,en,az_AZ,causative agent,törədici
28,en,az_AZ,CDC,XNM
29,en,az_AZ,chemical disinfection,kimyəvi dezinfeksiya
30,en,az_AZ,chest x-ray,döş qəfəsinin rentgen müayinəsi
31,en,az_AZ,clinical diagnosis,klinik diaqnoz
32,en,az_AZ,clinical trial,klinik sınaq
33,en,az_AZ,close contact,yaxın təmas
34,en,az_AZ,cvirus,cvirus
35,en,az_AZ,chronic respiratory disease,xroniki respirator xəstəlik
36,en,az_AZ,common cold,soyuqdəymə
37,en,az_AZ,common flu,adi qrip
38,en,az_AZ,communicable disease,yoluxucu xəstəlik
39,en,az_AZ,community spread,icmada yayılma
40,en,az_AZ,community transmission,icmada ötürülmə
41,en,az_AZ,compromised immune system,pozulmuş immun sistemi
