id,sourceLang,targetLang,sourceString,targetString
1,en,ca_ES,1918 flu,grip de 1918
2,en,ca_ES,acute bronchitis,bronquitis aguda
3,en,ca_ES,acute respiratory disease,malaltia respiratòria aguda
4,en,ca_ES,AIDS,SIDA
5,en,ca_ES,airborne droplets,gotes aèries
6,en,ca_ES,airway,via aèria
7,en,ca_ES,alcohol-based,a base d’alcohol
8,en,ca_ES,alcohol-based hand rub,producte a base d’alcohol per fregar-se les mans
9,en,ca_ES,alcohol-based hand sanitizer,desinfectant de mans a base d’alcohol
10,en,ca_ES,alveolar disease,malaltia alveolar
11,en,ca_ES,an epidemic,una epidèmia
12,en,ca_ES,annual flu,grip anual
13,en,ca_ES,anti-inflammatory drug,fàrmac antiinflamatori
14,en,ca_ES,antiviral drug,fàrmac antivíric
15,en,ca_ES,antiviral treatment,tractament antivíric
16,en,ca_ES,assay,assaig
17,en,ca_ES,asymptomatic,asimptomàtic
18,en,ca_ES,avian flu,grip aviària
19,en,ca_ES,Black Plague,pesta negra
20,en,ca_ES,blood pressure,pressió arterial
21,en,ca_ES,body fluid,fluid corporal
22,en,ca_ES,breathing,respirar
23,en,ca_ES,bubonic plague,pesta bubònica
24,en,ca_ES,c19,c19
25,en,ca_ES,cv19,cv19
26,en,ca_ES,case fatality rate,taxa de letalitat
27,en,ca_ES,causative agent,agent causatiu
28,en,ca_ES,CDC,CDC
29,en,ca_ES,chemical disinfection,desinfecció química
30,en,ca_ES,chest x-ray,radiografia del tòrax
31,en,ca_ES,clinical diagnosis,diagnòstic clínic
32,en,ca_ES,clinical trial,assaig clínic
33,en,ca_ES,close contact,contacte proper
34,en,ca_ES,cvirus,cvirus
35,en,ca_ES,chronic respiratory disease,malaltia respiratòria crònica
36,en,ca_ES,common cold,refredat comú
37,en,ca_ES,common flu,grip comuna
38,en,ca_ES,communicable disease,malaltia contagiosa
39,en,ca_ES,community spread,propagació comunitària
40,en,ca_ES,community transmission,transmissió comunitària
41,en,ca_ES,compromised immune system,sistema immunitari compromès
42,en,ca_ES,contagion,contagi
43,en,ca_ES,contagious,contagiós
44,en,ca_ES,contagiousness,contagiositat
45,en,ca_ES,corona,corona
46,en,ca_ES,corona virus,coronavirus
47,en,ca_ES,corona virus epidemic,epidèmia de coronavirus
48,en,ca_ES,corona virus outbreak,brot de coronavirus
49,en,ca_ES,corona virus scare,alarma pel coronavirus
50,en,ca_ES,coronavirus,coronavirus
51,en,ca_ES,coronavirus cases,casos de coronavirus
52,en,ca_ES,coronavirus outbreak,brot de coronavirus
53,en,ca_ES,coronavirus pandemic,pandèmia de coronavirus
54,en,ca_ES,coronavirus scare,alarma pel coronavirus
55,en,ca_ES,cough,tos
56,en,ca_ES,cough etiquette,protocol en tossir
57,en,ca_ES,coughing,tossir
58,en,ca_ES,cov 19,cov 19
59,en,ca_ES,cov19,cov19
60,en,ca_ES,COVID,COVID
61,en,ca_ES,COVID-19 crisis,crisi de COVID-19
62,en,ca_ES,covid-19,covid-19
63,en,ca_ES,covid19,covid19
64,en,ca_ES,COVID-19 epidemic,epidèmia de COVID-19
65,en,ca_ES,COVID-19 outbreak,brot de COVID-19
66,en,ca_ES,COVID-19 pandemic,pandèmia de COVID-19
67,en,ca_ES,COVID 19,COVID 19
68,en,ca_ES,current crisis,crisi actual
69,en,ca_ES,current health crisis,crisi sanitària actual
70,en,ca_ES,current outbreak,brot actual
71,en,ca_ES,current pandemic,pandèmia actual
72,en,ca_ES,CV,CV
73,en,ca_ES,CV-19,CV-19
74,en,ca_ES,deadly,mortal
75,en,ca_ES,deadly virus,virus mortal
76,en,ca_ES,death rate,taxa de mortalitat
77,en,ca_ES,death toll,nombre de morts
78,en,ca_ES,decontaminate,descontaminar
79,en,ca_ES,detectable,detectable
80,en,ca_ES,detergent,detergent
81,en,ca_ES,difficulty breathing,dificultat per respirar
82,en,ca_ES,diabetes,diabetis
83,en,ca_ES,diagnosable disease,malaltia diagnosticable
84,en,ca_ES,diagnostic protocol,protocol diagnòstic
85,en,ca_ES,diagnostic testing,proves diagnòstiques
86,en,ca_ES,disease itself,la malaltia en si mateixa
87,en,ca_ES,disease outbreak,brot de la malaltia
88,en,ca_ES,disinfectant,desinfectant
89,en,ca_ES,disposable,d’un sol ús
90,en,ca_ES,droplet transmission,transmissió per gotes
91,en,ca_ES,droplets,gotes
92,en,ca_ES,dry cough,tos seca
93,en,ca_ES,dry surface contamination,contaminació de superfícies seques
94,en,ca_ES,ebola,ebola
95,en,ca_ES,effective treatment,tractament eficaç
96,en,ca_ES,electron microscope,microscopi electrònic
97,en,ca_ES,emergency department,departament d’emergències
98,en,ca_ES,epidemic,epidèmia
99,en,ca_ES,epidemic curve,corba epidèmica
100,en,ca_ES,epidemic peak,pic epidèmic
101,en,ca_ES,epidemiologist,epidemiòleg
102,en,ca_ES,exposure,exposició
103,en,ca_ES,extreme caution,precaució extrema
104,en,ca_ES,eye protection,protecció ocular
105,en,ca_ES,face mask,màscara facial
