id,sourceLang,targetLang,sourceString,targetString
1,en,cb_IQ,1918 flu,şewba 1918
2,en,cb_IQ,acute bronchitis,bronşîta giran
3,en,cb_IQ,acute respiratory disease,nexweşiya giran a nefesê
4,en,cb_IQ,AIDS,Êydz
5,en,cb_IQ,airborne droplets,Dilopkeyên di hewayê de
6,en,cb_IQ,airway,rêya hewayî
7,en,cb_IQ,alcohol-based,ji alkolê
8,en,cb_IQ,alcohol-based hand rub,mizdanka alkolî ya destan
9,en,cb_IQ,alcohol-based hand sanitizer,paqijkera alkolî ya destan
10,en,cb_IQ,alveolar disease,nexweşiya piriyan
11,en,cb_IQ,an epidemic,nexweşiya jêgir
12,en,cb_IQ,annual flu,şewba salane
13,en,cb_IQ,anti-inflammatory drug,madeya dijî werimînê
14,en,cb_IQ,antiviral drug,madeya dijî vayrusan
15,en,cb_IQ,antiviral treatment,dermanê dijî vayrusan
16,en,cb_IQ,assay,ceribandin
17,en,cb_IQ,asymptomatic,bêyî nîşane
18,en,cb_IQ,avian flu,şewba mirîşkan
19,en,cb_IQ,Black Plague,nexweşiya reşavê
20,en,cb_IQ,blood pressure,tansiyona xwînê
21,en,cb_IQ,body fluid,aveka bedenê
22,en,cb_IQ,breathing,bêhnkişandin
23,en,cb_IQ,bubonic plague,nexweşiya reşava kevirkî
24,en,cb_IQ,c19,c19
25,en,cb_IQ,cv19,cv19
26,en,cb_IQ,case fatality rate,qasa mirinbariya nexweşan
27,en,cb_IQ,causative agent,hokara çêbûnê
28,en,cb_IQ,CDC,CDC
29,en,cb_IQ,chemical disinfection,pakkirina kîmyayî
30,en,cb_IQ,chest x-ray,tîrêja-x ya sîngî
31,en,cb_IQ,clinical diagnosis,jêfêmkirina klînîkî
32,en,cb_IQ,clinical trial,ceribandina klînîkî
33,en,cb_IQ,close contact,pêwedniya nêzîk
34,en,cb_IQ,cvirus,cvayrus
35,en,cb_IQ,chronic respiratory disease,nexweşiya domdar a nefesê
36,en,cb_IQ,common cold,sermalêdana asayî
37,en,cb_IQ,common flu,şewba asayî
38,en,cb_IQ,communicable disease,nexweşiya guhêzbar
39,en,cb_IQ,community spread,berbelavbûna civakî
40,en,cb_IQ,community transmission,veguhestina civakî
41,en,cb_IQ,compromised immune system,pergala lihevkirî ya ewlebûnê
42,en,cb_IQ,contagion,nexweşiya vegir
43,en,cb_IQ,contagious,jêgir
44,en,cb_IQ,contagiousness,jêgirbûn
45,en,cb_IQ,corona,korona
46,en,cb_IQ,corona virus,korona vayrus
47,en,cb_IQ,corona virus epidemic,jêgirbûna koronavayrusê
48,en,cb_IQ,corona virus outbreak,belavbûna korona vayrusê
49,en,cb_IQ,corona virus scare,tirsa ji korona vayrusê
50,en,cb_IQ,coronavirus,koronavayrus
51,en,cb_IQ,coronavirus cases,kesên tûşî koronavayrusê
52,en,cb_IQ,coronavirus outbreak,belavbûna koronavayrusê
53,en,cb_IQ,coronavirus pandemic,giştgirbûna koronavayrusê
54,en,cb_IQ,coronavirus scare,tirsa ji koronavayrusê
55,en,cb_IQ,cough,kuxîn
56,en,cb_IQ,cough etiquette,berçespa kuxînê
57,en,cb_IQ,coughing,kuxik
58,en,cb_IQ,cov 19,kov 19
59,en,cb_IQ,cov19,kov19
60,en,cb_IQ,COVID,KOVÎD
61,en,cb_IQ,COVID-19 crisis,qeyrana KOVÎD-19
62,en,cb_IQ,covid-19,kovîd-19
63,en,cb_IQ,covid19,kovîd19
64,en,cb_IQ,COVID-19 epidemic,jêgirbûna KOVÎD-19
65,en,cb_IQ,COVID-19 outbreak,belavbûna KOVÎD-19
66,en,cb_IQ,COVID-19 pandemic,giştgirbûna KOVÎD-19
67,en,cb_IQ,COVID 19,KOVÎD-19
68,en,cb_IQ,current crisis,qeyrana niha
69,en,cb_IQ,current health crisis,qeyrana niha ya tenduristiyê
70,en,cb_IQ,current outbreak,belavbûna niha
71,en,cb_IQ,current pandemic,giştgirbûna niha
72,en,cb_IQ,CV,KV
73,en,cb_IQ,CV-19,CV-19
74,en,cb_IQ,deadly,mirinbar
75,en,cb_IQ,deadly virus,vayrusa mirinbar
76,en,cb_IQ,death rate,qasa mirinê
77,en,cb_IQ,death toll,mesrefa mirinê
78,en,cb_IQ,decontaminate,paqijkirina gemarê
79,en,cb_IQ,detectable,nasînbar
80,en,cb_IQ,detergent,madeyên paqijkirinê
81,en,cb_IQ,difficulty breathing,bêhnkişandina dijwar
82,en,cb_IQ,diabetes,nexweşiya şekir
83,en,cb_IQ,diagnosable disease,nexweşiya jêfêmbar
84,en,cb_IQ,diagnostic protocol,protokola jêfêmkirinê
85,en,cb_IQ,diagnostic testing,testa jêfêmkirinê
86,en,cb_IQ,disease itself,nexweşî bixwe
87,en,cb_IQ,disease outbreak,belavbûna nexweşiyê
88,en,cb_IQ,disinfectant,madeya paqijkar
89,en,cb_IQ,disposable,berdest
90,en,cb_IQ,droplet transmission,veguhestina dilopkeyan
91,en,cb_IQ,droplets,dilopke
92,en,cb_IQ,dry cough,kuxika ziwa
93,en,cb_IQ,dry surface contamination,gemarbûna rûveka ziwa
94,en,cb_IQ,ebola,îbola
95,en,cb_IQ,effective treatment,dermanê kêrhatî
96,en,cb_IQ,electron microscope,mîkroskopa elektronî
97,en,cb_IQ,emergency department,beşa lezgîn
98,en,cb_IQ,epidemic,jêrgir
