id,sourceLang,targetLang,sourceString,targetString
1,en,cs_CZ,1918 flu,chřipka z roku 1918
2,en,cs_CZ,acute bronchitis,akutní bronchitida
3,en,cs_CZ,acute respiratory disease,akutní respirační onemocnění
4,en,cs_CZ,AIDS,AIDS
5,en,cs_CZ,airborne droplets,kapénková infekce
6,en,cs_CZ,airway,dýchací cesty
7,en,cs_CZ,alcohol-based,na bázi alkoholu
8,en,cs_CZ,alcohol-based hand rub,emulze na ruce na bázi alkoholu
9,en,cs_CZ,alcohol-based hand sanitizer,dezinfekce na ruce na bázi alkoholu
10,en,cs_CZ,alveolar disease,alveolární onemocnění
11,en,cs_CZ,an epidemic,epidemie
12,en,cs_CZ,annual flu,každoroční chřipka
13,en,cs_CZ,anti-inflammatory drug,protizánětlivý lék
14,en,cs_CZ,antiviral drug,antivirový lék
15,en,cs_CZ,antiviral treatment,antivirová léčba
16,en,cs_CZ,assay,analýza
17,en,cs_CZ,asymptomatic,bez příznaků
18,en,cs_CZ,avian flu,ptačí chřipka
19,en,cs_CZ,Black Plague,Černý mor
20,en,cs_CZ,blood pressure,krevní tlak
21,en,cs_CZ,body fluid,tělesná tekutina
22,en,cs_CZ,breathing,dýchání
23,en,cs_CZ,bubonic plague,dýmějový mor
24,en,cs_CZ,c19,c19
25,en,cs_CZ,cv19,cv19
26,en,cs_CZ,case fatality rate,smrtnost
27,en,cs_CZ,causative agent,původce
28,en,cs_CZ,CDC,CDC
29,en,cs_CZ,chemical disinfection,Chemická dezinfekce
30,en,cs_CZ,chest x-ray,rentgen hrudníku
31,en,cs_CZ,clinical diagnosis,klinická diagnóza
32,en,cs_CZ,clinical trial,klinické hodnocení
33,en,cs_CZ,close contact,blízký kontakt
34,en,cs_CZ,cvirus,cvirus
35,en,cs_CZ,chronic respiratory disease,chronické respirační onemocnění
36,en,cs_CZ,common cold,běžné nachlazení
37,en,cs_CZ,common flu,běžná chřipka
38,en,cs_CZ,communicable disease,přenosná nemoc
39,en,cs_CZ,community spread,šíření ve společnosti
40,en,cs_CZ,community transmission,přenos ve společnosti
