id,sourceLang,targetLang,sourceString,targetString
1,en,da_DK,1918 flu,1918-influenzaen
2,en,da_DK,acute bronchitis,akut bronkitis
3,en,da_DK,acute respiratory disease,akut luftvejssygdom
4,en,da_DK,AIDS,AIDS
5,en,da_DK,airborne droplets,luftbårne dråber
6,en,da_DK,airway,luftveje
7,en,da_DK,alcohol-based,alkoholbaseret
8,en,da_DK,alcohol-based hand rub,alkoholbaseret håndcreme
9,en,da_DK,alcohol-based hand sanitizer,alkoholbaseret håndrensningsmiddel
10,en,da_DK,alveolar disease,alveolær sygdom
11,en,da_DK,an epidemic,en epidemi
12,en,da_DK,annual flu,årlig influenza
13,en,da_DK,anti-inflammatory drug,antiinflammatorisk lægemiddel
14,en,da_DK,antiviral drug,antiviralt lægemiddel
15,en,da_DK,antiviral treatment,antiviral behandling
16,en,da_DK,assay,undersøgelse
17,en,da_DK,asymptomatic,asymptomatisk
18,en,da_DK,avian flu,fugleinfluenza
19,en,da_DK,Black Plague,Den sorte pest
20,en,da_DK,blood pressure,blodtryk
21,en,da_DK,body fluid,kropsvæske
22,en,da_DK,breathing,vejrtrækning
23,en,da_DK,bubonic plague,byldepest
24,en,da_DK,c19,c19
25,en,da_DK,cv19,cv19
26,en,da_DK,case fatality rate,dødelighed per sag
27,en,da_DK,causative agent,forårsagende middel
28,en,da_DK,CDC,CDC
29,en,da_DK,chemical disinfection,kemisk desinfektion
30,en,da_DK,chest x-ray,røntgenbillede af brystet
31,en,da_DK,clinical diagnosis,klinisk diagnose
32,en,da_DK,clinical trial,klinisk forsøg
33,en,da_DK,close contact,tæt kontakt
34,en,da_DK,cvirus,cvirus
35,en,da_DK,chronic respiratory disease,kronisk luftvejssygdom
36,en,da_DK,common cold,almindelig forkølelse
37,en,da_DK,common flu,almindelig influenza
38,en,da_DK,communicable disease,overførbar sygdom
39,en,da_DK,community spread,samfundsspredning
40,en,da_DK,community transmission,samfundstransmission
41,en,da_DK,compromised immune system,kompromitteret immunsystem
42,en,da_DK,contagion,smittefare
43,en,da_DK,contagious,smitsom
44,en,da_DK,contagiousness,smitsomhed
45,en,da_DK,corona,corona
46,en,da_DK,corona virus,coronavirus
47,en,da_DK,corona virus epidemic,coronavirus-epidemi
48,en,da_DK,corona virus outbreak,coronavirus-udbrud
49,en,da_DK,corona virus scare,coronavirus-frygt
50,en,da_DK,coronavirus,coronavirus
51,en,da_DK,coronavirus cases,tilfælde af coronavirus
52,en,da_DK,coronavirus outbreak,coronavirus-udbrud
53,en,da_DK,coronavirus pandemic,coronavirus-pandemi
54,en,da_DK,coronavirus scare,coronavirus-frygt
55,en,da_DK,cough,hoste
56,en,da_DK,cough etiquette,hostetikette
57,en,da_DK,coughing,hoster
58,en,da_DK,cov 19,cov 19
59,en,da_DK,cov19,cov19
60,en,da_DK,COVID,COVID
