id,sourceLang,targetLang,sourceString,targetString
1,en,de_DE,1918 flu,Grippe von 1918
2,en,de_DE,acute bronchitis,akute Bronchitis
3,en,de_DE,acute respiratory disease,akute Atemwegserkrankung
4,en,de_DE,AIDS,AIDS
5,en,de_DE,airborne droplets,Tröpfcheninfektion
6,en,de_DE,airway,Atemweg
7,en,de_DE,alcohol-based,auf Alkoholbasis
8,en,de_DE,alcohol-based hand rub,alkoholhaltige Lösung
9,en,de_DE,alcohol-based hand sanitizer,Händedesinfektionsmittel auf Alkoholbasis
10,en,de_DE,alveolar disease,Alveolarkrankheit
11,en,de_DE,an epidemic,eine Epidemie
12,en,de_DE,annual flu,jährliche Grippe
13,en,de_DE,anti-inflammatory drug,entzündungshemmendes Medikament
14,en,de_DE,antiviral drug,antivirales Medikament
15,en,de_DE,antiviral treatment,antivirale Behandlung
16,en,de_DE,assay,Probe
17,en,de_DE,asymptomatic,asymptomatisch
18,en,de_DE,avian flu,Vogelgrippe
19,en,de_DE,Black Plague,Schwarze Pest
20,en,de_DE,blood pressure,Blutdruck
21,en,de_DE,body fluid,Körperflüssigkeit
22,en,de_DE,breathing,Atmung
23,en,de_DE,bubonic plague,Beulenpest
24,en,de_DE,c19,C19
25,en,de_DE,cv19,CV19
26,en,de_DE,case fatality rate,Todesfallrate
27,en,de_DE,causative agent,Erreger
28,en,de_DE,CDC,CDC
29,en,de_DE,chemical disinfection,chemische Desinfektion
30,en,de_DE,chest x-ray,Röntgenaufnahme der Lunge
31,en,de_DE,clinical diagnosis,klinische Diagnose
32,en,de_DE,clinical trial,klinischer Versuch
33,en,de_DE,close contact,enger Kontakt
34,en,de_DE,cvirus,CVirus
35,en,de_DE,chronic respiratory disease,chronische Atemwegserkrankung
36,en,de_DE,common cold,Erkältung
37,en,de_DE,common flu,gewöhnliche Grippe
38,en,de_DE,communicable disease,übertragbare Krankheit
39,en,de_DE,community spread,in der Gesellschaft verbreitet
40,en,de_DE,community transmission,Übertragung in der Gesellschaft
41,en,de_DE,compromised immune system,geschwächtes Immunsystem
42,en,de_DE,contagion,Ansteckung
43,en,de_DE,contagious,ansteckend
44,en,de_DE,contagiousness,Schädlichkeit
45,en,de_DE,corona,Corona
46,en,de_DE,corona virus,Corona-Virus
47,en,de_DE,corona virus epidemic,Coronavirus-Epidemie
48,en,de_DE,corona virus outbreak,Ausbruch des Coronavirus
49,en,de_DE,corona virus scare,Angst vor dem Coronavirus
50,en,de_DE,coronavirus,Coronavirus
51,en,de_DE,coronavirus cases,Coronavirus-Fälle
52,en,de_DE,coronavirus outbreak,Coronavirus-Ausbruch
53,en,de_DE,coronavirus pandemic,Coronavirus-Pandemie
54,en,de_DE,coronavirus scare,Angst vor dem Coronavirus
55,en,de_DE,cough,Husten
56,en,de_DE,cough etiquette,Husten-Etikette
57,en,de_DE,coughing,Husten
58,en,de_DE,cov 19,COV 19
59,en,de_DE,cov19,COV19
60,en,de_DE,COVID,COVID
61,en,de_DE,COVID-19 crisis,COVID-19-Krise
62,en,de_DE,covid-19,Covid-19
63,en,de_DE,covid19,Covid19
64,en,de_DE,COVID-19 epidemic,COVID-19-Epidemie
65,en,de_DE,COVID-19 outbreak,COVID-19-Ausbruch
66,en,de_DE,COVID-19 pandemic,COVID-19-Pandemie
67,en,de_DE,COVID 19,COVID 19
68,en,de_DE,current crisis,aktuelle Krise
69,en,de_DE,current health crisis,aktuelle Gesundheitskrise
70,en,de_DE,current outbreak,aktueller Ausbruch
71,en,de_DE,current pandemic,aktuelle Pandemie
72,en,de_DE,CV,CV
73,en,de_DE,CV-19,CV-19
74,en,de_DE,deadly,tödlich
75,en,de_DE,deadly virus,tödlicher Virus
76,en,de_DE,death rate,Todesrate
77,en,de_DE,death toll,Todesrate
78,en,de_DE,decontaminate,dekontaminieren
79,en,de_DE,detectable,nachweisbar
80,en,de_DE,detergent,Reinigungsmittelmittel
81,en,de_DE,difficulty breathing,Atembeschwerden
82,en,de_DE,diabetes,Diabetes
83,en,de_DE,diagnosable disease,diagnostizierbare Krankheit
84,en,de_DE,diagnostic protocol,Diagnoseprotokoll
85,en,de_DE,diagnostic testing,diagnostische Tests
86,en,de_DE,disease itself,die Krankheit selbst
87,en,de_DE,disease outbreak,Krankheitsausbruch
88,en,de_DE,disinfectant,Desinfektionsmittel
89,en,de_DE,disposable,Einwegartikel
90,en,de_DE,droplet transmission,Tröpfchenübertragung
91,en,de_DE,droplets,Tröpfchen
92,en,de_DE,dry cough,trockener Husten
93,en,de_DE,dry surface contamination,Kontamination trockener Oberflächen
94,en,de_DE,ebola,Ebola
95,en,de_DE,effective treatment,wirksame Behandlung
96,en,de_DE,electron microscope,Elektronenmikroskop
97,en,de_DE,emergency department,Notaufnahme
98,en,de_DE,epidemic,Epidemie
99,en,de_DE,epidemic curve,Epidemie-Kurve
100,en,de_DE,epidemic peak,Höhepunkt der Epidemie
101,en,de_DE,epidemiologist,Epidemiologe
102,en,de_DE,exposure,Exposition
103,en,de_DE,extreme caution,extreme Vorsicht
104,en,de_DE,eye protection,Augenschutz
105,en,de_DE,face mask,Gesichtsmaske
106,en,de_DE,face masks,Gesichtsmasken
