id,sourceLang,targetLang,sourceString,targetString
1,en,el_GR,1918 flu,γρίπη 1918
2,en,el_GR,acute bronchitis,οξεία βρογχίτιδα
3,en,el_GR,acute respiratory disease,οξεία αναπνευστική νόσος
4,en,el_GR,AIDS,AIDS
5,en,el_GR,airborne droplets,αερομεταφερόμενα σταγονίδια
6,en,el_GR,airway,αναπνευστική οδός
7,en,el_GR,alcohol-based,με βάση το αλκοόλ
8,en,el_GR,alcohol-based hand rub,αλοιφή χεριών με βάση το αλκοόλ
9,en,el_GR,alcohol-based hand sanitizer,απολυμαντικό χεριών με βάση το αλκοόλ
10,en,el_GR,alveolar disease,νόσος κυψελίδας
11,en,el_GR,an epidemic,μια επιδημία
12,en,el_GR,annual flu,ετήσια γρίπη
13,en,el_GR,anti-inflammatory drug,αντιφλεγμονώδες φάρμακο
14,en,el_GR,antiviral drug,αντιικό
15,en,el_GR,antiviral treatment,αντιική θεραπεία
16,en,el_GR,assay,χημική εξέταση
17,en,el_GR,asymptomatic,ασυμπτωματικό
18,en,el_GR,avian flu,γρίπη των πτηνών
19,en,el_GR,Black Plague,Μαύρη Πανώλη
20,en,el_GR,blood pressure,πίεση αίματος
21,en,el_GR,body fluid,υγρό σώματος
22,en,el_GR,breathing,αναπνοή
23,en,el_GR,bubonic plague,βουβωνική πανώλη
24,en,el_GR,c19,c19
25,en,el_GR,cv19,cv19
26,en,el_GR,case fatality rate,ποσοστό θνησιμότητας
27,en,el_GR,causative agent,αιτιολογικός παράγοντας
28,en,el_GR,CDC,CDC
29,en,el_GR,chemical disinfection,χημική απολύμανση
30,en,el_GR,chest x-ray,ακτινογραφία θώρακος
31,en,el_GR,clinical diagnosis,κλινική διάγνωση
32,en,el_GR,clinical trial,κλινική δοκιμή
33,en,el_GR,close contact,στενή επαφή
34,en,el_GR,cvirus,cvirus
35,en,el_GR,chronic respiratory disease,χρόνια αναπνευστική νόσος
36,en,el_GR,common cold,κοινό κρυολόγημα
37,en,el_GR,common flu,κοινή γρίπη
38,en,el_GR,communicable disease,μεταδοτική ασθένεια
39,en,el_GR,community spread,εξάπλωση στην κοινότητα
40,en,el_GR,community transmission,μετάδοση στην κοινότητα
41,en,el_GR,compromised immune system,εξασθενημένο ανοσοποιητικό σύστημα
42,en,el_GR,contagion,μετάδοση ασθένειας
43,en,el_GR,contagious,μεταδοτική ασθένεια
44,en,el_GR,contagiousness,μεταδοτικότητα
45,en,el_GR,corona,κορόνα
46,en,el_GR,corona virus,κορονοϊός
47,en,el_GR,corona virus epidemic,επιδημία κορονοϊού
48,en,el_GR,corona virus outbreak,εμφάνιση κορονοϊού
49,en,el_GR,corona virus scare,φόβος κορονοϊού
50,en,el_GR,coronavirus,κορονοϊός
51,en,el_GR,coronavirus cases,κρούσματα κορονοϊού
52,en,el_GR,coronavirus outbreak,εμφάνιση κορονοϊού
53,en,el_GR,coronavirus pandemic,πανδημία κορονοϊού
54,en,el_GR,coronavirus scare,φόβος κορονοϊού
55,en,el_GR,cough,βήχας
56,en,el_GR,cough etiquette,σωστός τρόπος βήχα
57,en,el_GR,coughing,βήξιμο
58,en,el_GR,cov 19,cov 19
59,en,el_GR,cov19,cov19
60,en,el_GR,COVID,COVID
61,en,el_GR,COVID-19 crisis,κρίση COVID-19
62,en,el_GR,covid-19,covid-19
63,en,el_GR,covid19,covid19
64,en,el_GR,COVID-19 epidemic,επιδημία COVID-19
65,en,el_GR,COVID-19 outbreak,εμφάνιση COVID-19
66,en,el_GR,COVID-19 pandemic,πανδημία COVID-19
67,en,el_GR,COVID 19,COVID 19
68,en,el_GR,current crisis,τρέχουσα κρίση
69,en,el_GR,current health crisis,τρέχουσα κρίση υγείας
70,en,el_GR,current outbreak,τρέχουσα εμφάνιση
71,en,el_GR,current pandemic,τρέχουσα πανδημία
72,en,el_GR,CV,CV
73,en,el_GR,CV-19,CV-19
74,en,el_GR,deadly,θανατηφόρο
75,en,el_GR,deadly virus,θανατηφόρος ιός
76,en,el_GR,death rate,ποσοστό θνησιμότητας
77,en,el_GR,death toll,απολογισμός νεκρών
78,en,el_GR,decontaminate,απολυμαίνω
79,en,el_GR,detectable,ανιχνεύσιμο
80,en,el_GR,detergent,απορρυπαντικό
