id,sourceLang,targetLang,sourceString,targetString
1,en,es_XX,1918 flu,La gripe de 1918
2,en,es_XX,acute bronchitis,Bronquitis aguda
3,en,es_XX,acute respiratory disease,enfermedades respiratorias agudas
4,en,es_XX,AIDS,SIDA
5,en,es_XX,airborne droplets,gotas suspendidas en el aire
6,en,es_XX,airway,vía respiratoria
7,en,es_XX,alcohol-based,a base de alcohol
8,en,es_XX,alcohol-based hand rub,desinfectante de manos a base de alcohol
9,en,es_XX,alcohol-based hand sanitizer,desinfectante de manos a base de alcohol
10,en,es_XX,alveolar disease,enfermedad alveolar
11,en,es_XX,an epidemic,una epidemia
12,en,es_XX,annual flu,gripe anual
13,en,es_XX,anti-inflammatory drug,antiinflamatorio
14,en,es_XX,antiviral drug,antiviral
15,en,es_XX,antiviral treatment,tratamiento antiviral
16,en,es_XX,assay,ensayo
17,en,es_XX,asymptomatic,asintomático
18,en,es_XX,avian flu,gripe aviar
19,en,es_XX,Black Plague,Peste negra
20,en,es_XX,blood pressure,presión sanguínea
21,en,es_XX,body fluid,fluido corporal
22,en,es_XX,breathing,respiración
23,en,es_XX,bubonic plague,peste bubónica
24,en,es_XX,c19,c19
25,en,es_XX,cv19,cv19
26,en,es_XX,case fatality rate,tasa de letalidad
27,en,es_XX,causative agent,agente causal
28,en,es_XX,CDC,CDC
29,en,es_XX,chemical disinfection,desinfección química
30,en,es_XX,chest x-ray,radiografía de tórax
31,en,es_XX,clinical diagnosis,diagnóstico clínico
32,en,es_XX,clinical trial,ensayo clínico
33,en,es_XX,close contact,contacto cercano
34,en,es_XX,cvirus,cvirus
35,en,es_XX,chronic respiratory disease,enfermedades respiratorias crónicas
36,en,es_XX,common cold,resfriado común
37,en,es_XX,common flu,gripe común
38,en,es_XX,communicable disease,enfermedad infecciosa
39,en,es_XX,community spread,propagación en la comunidad
40,en,es_XX,community transmission,transmisión del virus en la comunidad
41,en,es_XX,compromised immune system,sistema inmune comprometido
42,en,es_XX,contagion,contagio
43,en,es_XX,contagious,contagioso
44,en,es_XX,contagiousness,contagioso
45,en,es_XX,corona,corona
46,en,es_XX,corona virus,corona virus
47,en,es_XX,corona virus epidemic,epidemia de virus corona
48,en,es_XX,corona virus outbreak,brote de virus corona
49,en,es_XX,corona virus scare,posible corona virus
50,en,es_XX,coronavirus,coronavirus
51,en,es_XX,coronavirus cases,casos de coronavirus
52,en,es_XX,coronavirus outbreak,brote de coronavirus
53,en,es_XX,coronavirus pandemic,pandemia de coronavirus
54,en,es_XX,coronavirus scare,posible coronavirus
55,en,es_XX,cough,tos
56,en,es_XX,cough etiquette,etiqueta de tos
57,en,es_XX,coughing,toser
58,en,es_XX,cov 19,cov 19
59,en,es_XX,cov19,cov19
60,en,es_XX,COVID,COVID
61,en,es_XX,COVID-19 crisis,crisis de COVID-19
62,en,es_XX,covid-19,covid-19
63,en,es_XX,covid19,covid19
64,en,es_XX,COVID-19 epidemic,epidemia de COVID-19
65,en,es_XX,COVID-19 outbreak,brote de COVID-19
66,en,es_XX,COVID-19 pandemic,pandemia de COVID-19
67,en,es_XX,COVID 19,COVID 19
68,en,es_XX,current crisis,crisis actual
69,en,es_XX,current health crisis,crisis sanitaria actual
70,en,es_XX,current outbreak,brote actual
71,en,es_XX,current pandemic,pandemia actual
72,en,es_XX,CV,CV
73,en,es_XX,CV-19,CV-19
