id,sourceLang,targetLang,sourceString,targetString
1,en,et_EE,1918 flu,1918. aasta gripp
2,en,et_EE,acute bronchitis,äge bronhiit
3,en,et_EE,acute respiratory disease,äge hingamisteede haigus
4,en,et_EE,AIDS,AIDS
5,en,et_EE,airborne droplets,lenduvad piisad
6,en,et_EE,airway,hingamisteed
7,en,et_EE,alcohol-based,alkoholipõhine
8,en,et_EE,alcohol-based hand rub,alkoholipõhine käte antiseptik
9,en,et_EE,alcohol-based hand sanitizer,alkoholipõhine käte antiseptik
10,en,et_EE,alveolar disease,alveolaarne haigus
11,en,et_EE,an epidemic,epideemia
12,en,et_EE,annual flu,hooajaline gripp
13,en,et_EE,anti-inflammatory drug,põletikuvastane ravim
14,en,et_EE,antiviral drug,viirusevastane ravim
15,en,et_EE,antiviral treatment,viirusevastane ravi
16,en,et_EE,assay,test
17,en,et_EE,asymptomatic,asümptomaatiline
18,en,et_EE,avian flu,linnugripp
19,en,et_EE,Black Plague,must katk
20,en,et_EE,blood pressure,vererõhk
21,en,et_EE,body fluid,kehavedelik
22,en,et_EE,breathing,hingamine
23,en,et_EE,bubonic plague,muhkkatk
24,en,et_EE,c19,c19
25,en,et_EE,cv19,cv19
26,en,et_EE,case fatality rate,suremus
27,en,et_EE,causative agent,haigustekitaja
28,en,et_EE,CDC,Haiguste kontrolli ja tõrje keskus
29,en,et_EE,chemical disinfection,keemiline desinfitseerimine
30,en,et_EE,chest x-ray,rindkere röntgen
31,en,et_EE,clinical diagnosis,kliiniline diagnoos
32,en,et_EE,clinical trial,kliiniline uuring
33,en,et_EE,close contact,lähikontakt
34,en,et_EE,cvirus,viirus
35,en,et_EE,chronic respiratory disease,kroonilline hingamisteede haigus
36,en,et_EE,common cold,tavaline külmetus
37,en,et_EE,common flu,tavaline gripp
38,en,et_EE,communicable disease,nakkushaigus
39,en,et_EE,community spread,kogukondlik levik
40,en,et_EE,community transmission,kogukondlik edasikandumine
41,en,et_EE,compromised immune system,nõrgenenud immuunsüsteem
42,en,et_EE,contagion,nakatumine
43,en,et_EE,contagious,nakkav
44,en,et_EE,contagiousness,nakkavus
45,en,et_EE,corona,koroona
46,en,et_EE,corona virus,koroonaviirus
47,en,et_EE,corona virus epidemic,koroonaviiruse epideemia
48,en,et_EE,corona virus outbreak,koroonaviiruse puhang
49,en,et_EE,corona virus scare,koroonaviiruse hirm
50,en,et_EE,coronavirus,koroonaviirus
51,en,et_EE,coronavirus cases,koroonaviiruse juhtumid
