id,sourceLang,targetLang,sourceString,targetString
1,en,fa_IR,1918 flu,آنفلوانزای 1918
2,en,fa_IR,acute bronchitis,برونشیت حاد
3,en,fa_IR,acute respiratory disease,بیماری حاد تنفسی
4,en,fa_IR,AIDS,AIDS
5,en,fa_IR,airborne droplets,قطرات ریز انتقال یافته توسط هوا
6,en,fa_IR,airway,مجرای تنفسی
7,en,fa_IR,alcohol-based,دارای پایه الکلی
8,en,fa_IR,alcohol-based hand rub,ضدعفونی کننده دست دارای پایه الکلی
9,en,fa_IR,alcohol-based hand sanitizer,ضدعفونی کننده دست دارای پایه الکلی
10,en,fa_IR,alveolar disease,بیماری آلوئولی
11,en,fa_IR,an epidemic,یک اپیدمی
12,en,fa_IR,annual flu,آنفلوانزای سالانه
13,en,fa_IR,anti-inflammatory drug,داروی ضد التهاب
14,en,fa_IR,antiviral drug,داروی ضد ویروس
15,en,fa_IR,antiviral treatment,درمان ضد ویروسی
16,en,fa_IR,assay,سنجش
17,en,fa_IR,asymptomatic,بدون علامت
18,en,fa_IR,avian flu,آنفلوانزای پرندگان
19,en,fa_IR,Black Plague,طاعون سیاه
20,en,fa_IR,blood pressure,فشار خون
21,en,fa_IR,body fluid,مایعات بدن
22,en,fa_IR,breathing,تنفس
23,en,fa_IR,bubonic plague,طاعون خیارکی
24,en,fa_IR,c19,c19
25,en,fa_IR,cv19,cv19
26,en,fa_IR,case fatality rate,نرخ مرگ ومیر
27,en,fa_IR,causative agent,عامل ایجاد کننده
28,en,fa_IR,CDC,CDC
29,en,fa_IR,chemical disinfection,ضدعفونی کردن شیمیایی
30,en,fa_IR,chest x-ray,عکس قفسه سینه
31,en,fa_IR,clinical diagnosis,تشخیص بالینی
32,en,fa_IR,clinical trial,کارآزمایی بالینی
33,en,fa_IR,close contact,تماس نزدیک
34,en,fa_IR,cvirus,cvirus
35,en,fa_IR,chronic respiratory disease,بیماری مزمن تنفسی
36,en,fa_IR,common cold,سرماخوردگی
37,en,fa_IR,common flu,آنفلوانزای معمولی
38,en,fa_IR,communicable disease,بیماری واگیر
39,en,fa_IR,community spread,گسترش اجتماعی
40,en,fa_IR,community transmission,انتقال اجتماعی
41,en,fa_IR,compromised immune system,سیستم ایمنی ضعیف
42,en,fa_IR,contagion,واگیری
43,en,fa_IR,contagious,واگیردار
44,en,fa_IR,contagiousness,واگیری
45,en,fa_IR,corona,کرونا
46,en,fa_IR,corona virus,کرونا ویروس
47,en,fa_IR,corona virus epidemic,اپیدمی کرونا ویروس
48,en,fa_IR,corona virus outbreak,شیوع کرونا ویروس
49,en,fa_IR,corona virus scare,ترس از کرونا ویروس
50,en,fa_IR,coronavirus,کرونا ویروس
51,en,fa_IR,coronavirus cases,موارد کرونا ویروس
52,en,fa_IR,coronavirus outbreak,شیوع کرونا ویروس
53,en,fa_IR,coronavirus pandemic,پاندمی کرونا ویروس
54,en,fa_IR,coronavirus scare,ترس از کرونا ویروس
55,en,fa_IR,cough,سرفه
56,en,fa_IR,cough etiquette,اتیکت سرفه
57,en,fa_IR,coughing,سرفه
58,en,fa_IR,cov 19,cov 19
59,en,fa_IR,cov19,cov19
60,en,fa_IR,COVID,COVID
61,en,fa_IR,COVID-19 crisis,بحران COVID-19
62,en,fa_IR,covid-19,covid-19
63,en,fa_IR,covid19,covid19
64,en,fa_IR,COVID-19 epidemic,اپیدمی COVID-19
65,en,fa_IR,COVID-19 outbreak,شیوع COVID-19
66,en,fa_IR,COVID-19 pandemic,پاندمی COVID-19
67,en,fa_IR,COVID 19,COVID-19
68,en,fa_IR,current crisis,بحران جاری
