id,sourceLang,targetLang,sourceString,targetString
1,en,fi_FI,1918 flu,1918 influenssa
2,en,fi_FI,acute bronchitis,akuutti keuhkoputkentulehdus
3,en,fi_FI,acute respiratory disease,akuutti hengityselinsairaus
4,en,fi_FI,AIDS,AIDS
5,en,fi_FI,airborne droplets,ilmassa kulkevat pisarat
6,en,fi_FI,airway,hengitystie
7,en,fi_FI,alcohol-based,alkoholipohjainen
8,en,fi_FI,alcohol-based hand rub,alkoholipohjainen käsidesi
9,en,fi_FI,alcohol-based hand sanitizer,alkoholipohjainen desinfektiohuuhde
10,en,fi_FI,alveolar disease,alveolaarinen sairaus
11,en,fi_FI,an epidemic,epidemia
12,en,fi_FI,annual flu,kausi-influenssa
13,en,fi_FI,anti-inflammatory drug,tulehduskipulääke
14,en,fi_FI,antiviral drug,viruslääke
15,en,fi_FI,antiviral treatment,virustentorjuntahoito
16,en,fi_FI,assay,koe
17,en,fi_FI,asymptomatic,oireeton
18,en,fi_FI,avian flu,lintuinfluenssa
19,en,fi_FI,Black Plague,Musta surma
20,en,fi_FI,blood pressure,verenpaine
21,en,fi_FI,body fluid,ruumiinneste
22,en,fi_FI,breathing,hengitys
23,en,fi_FI,bubonic plague,paiserutto
24,en,fi_FI,c19,c19
25,en,fi_FI,cv19,cv19
26,en,fi_FI,case fatality rate,kuolevuus
27,en,fi_FI,causative agent,taudinaiheuttaja
28,en,fi_FI,CDC,CDC
29,en,fi_FI,chemical disinfection,kemiallinen desinfiointi
30,en,fi_FI,chest x-ray,rintakehän röntgenkuvaus
31,en,fi_FI,clinical diagnosis,kliininen diagnoosi
32,en,fi_FI,clinical trial,kliininen tutkimus
33,en,fi_FI,close contact,läheinen kosketus
34,en,fi_FI,cvirus,c-virus
35,en,fi_FI,chronic respiratory disease,krooninen hengityselinsairaus
36,en,fi_FI,common cold,vilustuminen
37,en,fi_FI,common flu,flunssa
38,en,fi_FI,communicable disease,tartuntatauti
39,en,fi_FI,community spread,leviäminen yhteisössä
40,en,fi_FI,community transmission,tartunnat yhteisössä
41,en,fi_FI,compromised immune system,heikentynyt immuunijärjestelmä
42,en,fi_FI,contagion,tartunta
43,en,fi_FI,contagious,tarttuva
44,en,fi_FI,contagiousness,tarttuvuus
45,en,fi_FI,corona,korona
46,en,fi_FI,corona virus,koronavirus
47,en,fi_FI,corona virus epidemic,koronavirusepidemia
48,en,fi_FI,corona virus outbreak,koronavirusaalto
49,en,fi_FI,corona virus scare,koronaviruksen pelko
50,en,fi_FI,coronavirus,koronavirus
51,en,fi_FI,coronavirus cases,koronavirustapaukset
52,en,fi_FI,coronavirus outbreak,koronavirusaalto
53,en,fi_FI,coronavirus pandemic,koronaviruspandemia
54,en,fi_FI,coronavirus scare,koronaviruksen pelko
55,en,fi_FI,cough,yskä
56,en,fi_FI,cough etiquette,yskimisetiketti
57,en,fi_FI,coughing,yskiminen
58,en,fi_FI,cov 19,cov 19
59,en,fi_FI,cov19,cov19
60,en,fi_FI,COVID,COVID
61,en,fi_FI,COVID-19 crisis,COVID-19 -kriisi
62,en,fi_FI,covid-19,covid-19
63,en,fi_FI,covid19,covid19
64,en,fi_FI,COVID-19 epidemic,COVID-19 -epidemia
65,en,fi_FI,COVID-19 outbreak,COVID-19 -aalto
66,en,fi_FI,COVID-19 pandemic,COVID-19 -pandemia
67,en,fi_FI,COVID 19,COVID 19
68,en,fi_FI,current crisis,nykyinen kriisi
69,en,fi_FI,current health crisis,nykyinen terveyskriisi
70,en,fi_FI,current outbreak,nykyinen aalto
71,en,fi_FI,current pandemic,nykyinen pandemia
72,en,fi_FI,CV,CV
73,en,fi_FI,CV-19,CV-19
74,en,fi_FI,deadly,tappava
75,en,fi_FI,deadly virus,tappava virus
76,en,fi_FI,death rate,kuolleisuusaste
77,en,fi_FI,death toll,kuolleiden määrä
78,en,fi_FI,decontaminate,dekontaminointi
79,en,fi_FI,detectable,havaittava
80,en,fi_FI,detergent,puhdistusaine
81,en,fi_FI,difficulty breathing,hengitysvaikeudet
82,en,fi_FI,diabetes,diabetes
83,en,fi_FI,diagnosable disease,diagnosoitava tauti
84,en,fi_FI,diagnostic protocol,diagnostinen protokolla
85,en,fi_FI,diagnostic testing,diagnostinen testaus
86,en,fi_FI,disease itself,itse tauti
87,en,fi_FI,disease outbreak,tautiaalto
88,en,fi_FI,disinfectant,desinfiointiaine
89,en,fi_FI,disposable,kertakäyttöinen
90,en,fi_FI,droplet transmission,pisaratartunta
91,en,fi_FI,droplets,pisarat
92,en,fi_FI,dry cough,kuiva yskä
93,en,fi_FI,dry surface contamination,kuiva pintakontaminaatio
94,en,fi_FI,ebola,ebola
95,en,fi_FI,effective treatment,tehokas hoito
96,en,fi_FI,electron microscope,elektronimikroskooppi
