id,sourceLang,targetLang,sourceString,targetString
1,en,fr_XX,1918 flu,Grippe de 1918
2,en,fr_XX,acute bronchitis,bronchite aiguë
3,en,fr_XX,acute respiratory disease,maladie respiratoire aiguë
4,en,fr_XX,AIDS,SIDA
5,en,fr_XX,airborne droplets,Gouttelettes en suspension dans l'air
6,en,fr_XX,airway,aérien
7,en,fr_XX,alcohol-based,à base d'alcool
8,en,fr_XX,alcohol-based hand rub,désinfectant pour les mains à base d'alcool
9,en,fr_XX,alcohol-based hand sanitizer,désinfectant pour les mains à base d'alcool
10,en,fr_XX,alveolar disease,maladie alvéolaire
11,en,fr_XX,an epidemic,une épidémie
12,en,fr_XX,annual flu,grippe annuelle
13,en,fr_XX,anti-inflammatory drug,médicament anti-inflammatoire
14,en,fr_XX,antiviral drug,médicament antiviral
15,en,fr_XX,antiviral treatment,traitement antiviral
16,en,fr_XX,assay,test
17,en,fr_XX,asymptomatic,asymptomatique
18,en,fr_XX,avian flu,grippe aviaire
19,en,fr_XX,Black Plague,Peste noire
20,en,fr_XX,blood pressure,tension artérielle
21,en,fr_XX,body fluid,fluide corporel
22,en,fr_XX,breathing,respiration
23,en,fr_XX,bubonic plague,peste bubonique
24,en,fr_XX,c19,c19
25,en,fr_XX,cv19,cv19
26,en,fr_XX,case fatality rate,taux de létalité
27,en,fr_XX,causative agent,agent responsable
28,en,fr_XX,CDC,CDC
29,en,fr_XX,chemical disinfection,désinfection chimique
30,en,fr_XX,chest x-ray,radiographie du thorax
31,en,fr_XX,clinical diagnosis,diagnostic clinique
32,en,fr_XX,clinical trial,essai clinique
33,en,fr_XX,close contact,contact rapproché
34,en,fr_XX,cvirus,virus c
35,en,fr_XX,chronic respiratory disease,maladie respiratoire chronique
36,en,fr_XX,common cold,rhume
37,en,fr_XX,common flu,grippe ordinaire
38,en,fr_XX,communicable disease,maladie transmissible
39,en,fr_XX,community spread,propagation communautaire
40,en,fr_XX,community transmission,transmission communautaire
41,en,fr_XX,compromised immune system,système immunitaire affaibli
42,en,fr_XX,contagion,contagion
43,en,fr_XX,contagious,contagieux
44,en,fr_XX,contagiousness,contagiosité
45,en,fr_XX,corona,corona
46,en,fr_XX,corona virus,coronavirus
47,en,fr_XX,corona virus epidemic,épidémie du coronavirus
48,en,fr_XX,corona virus outbreak,épidémie du coronavirus
49,en,fr_XX,corona virus scare,peur du coronavirus
50,en,fr_XX,coronavirus,coronavirus
51,en,fr_XX,coronavirus cases,cas de coronavirus
52,en,fr_XX,coronavirus outbreak,épidémie de coronavirus
53,en,fr_XX,coronavirus pandemic,pandémie de coronavirus
54,en,fr_XX,coronavirus scare,peur du coronavirus
55,en,fr_XX,cough,toux
56,en,fr_XX,cough etiquette,règles d'hygiène en cas de toux
57,en,fr_XX,coughing,tousser
58,en,fr_XX,cov 19,cov 19
59,en,fr_XX,cov19,cov19
60,en,fr_XX,COVID,COVID
61,en,fr_XX,COVID-19 crisis,crise du COVID-19
62,en,fr_XX,covid-19,covid-19
63,en,fr_XX,covid19,covid19
64,en,fr_XX,COVID-19 epidemic,épidémie de COVID-19
65,en,fr_XX,COVID-19 outbreak,épidémie de COVID-19
66,en,fr_XX,COVID-19 pandemic,pandémie de COVID-19
67,en,fr_XX,COVID 19,COVID 19
68,en,fr_XX,current crisis,crise actuelle
69,en,fr_XX,current health crisis,crise sanitaire actuelle
70,en,fr_XX,current outbreak,épidémie actuelle
71,en,fr_XX,current pandemic,pandémie actuelle
72,en,fr_XX,CV,CV
73,en,fr_XX,CV-19,CV-19
74,en,fr_XX,deadly,mortel
75,en,fr_XX,deadly virus,virus mortel
76,en,fr_XX,death rate,taux de mortalité
77,en,fr_XX,death toll,nombre de décès
78,en,fr_XX,decontaminate,décontaminer
79,en,fr_XX,detectable,détectable
80,en,fr_XX,detergent,détergent
81,en,fr_XX,difficulty breathing,difficulté à respirer
82,en,fr_XX,diabetes,diabète
83,en,fr_XX,diagnosable disease,maladie diagnostiquable
84,en,fr_XX,diagnostic protocol,protocole de diagnostic
85,en,fr_XX,diagnostic testing,test de diagnostic
86,en,fr_XX,disease itself,la maladie elle-même
87,en,fr_XX,disease outbreak,épidémie
88,en,fr_XX,disinfectant,désinfectant
89,en,fr_XX,disposable,jetable
90,en,fr_XX,droplet transmission,transmission par gouttelettes
91,en,fr_XX,droplets,gouttelettes
92,en,fr_XX,dry cough,toux sèche
93,en,fr_XX,dry surface contamination,contamination de surface sèche
94,en,fr_XX,ebola,Ebola
95,en,fr_XX,effective treatment,traitement efficace
96,en,fr_XX,electron microscope,microscope électronique
97,en,fr_XX,emergency department,service d'urgence
98,en,fr_XX,epidemic,épidémie
99,en,fr_XX,epidemic curve,courbe épidémique
100,en,fr_XX,epidemic peak,pic épidémique
101,en,fr_XX,epidemiologist,épidémiologiste
102,en,fr_XX,exposure,exposition
103,en,fr_XX,extreme caution,extrême prudence
104,en,fr_XX,eye protection,protection des yeux
105,en,fr_XX,face mask,masque facial
106,en,fr_XX,face masks,masques faciaux
107,en,fr_XX,family cluster,regroupement familial
108,en,fr_XX,fatality rate,taux de mortalité
109,en,fr_XX,fecal contamination,contamination fécale
110,en,fr_XX,fever,fièvre
111,en,fr_XX,flatten the infection curve,aplatir la courbe d'infection
112,en,fr_XX,flu,grippe
113,en,fr_XX,food safety,sécurité alimentaire
114,en,fr_XX,formaldehyde,formaldéhyde
115,en,fr_XX,gastroenteritis,gastro-entérite
116,en,fr_XX,germicide,germicide
117,en,fr_XX,global pandemic,pandémie mondiale
118,en,fr_XX,global warming,réchauffement climatique
