id,sourceLang,targetLang,sourceString,targetString
1,en,gu_IN,1918 flu,1918નો ફ્લૂ
2,en,gu_IN,acute bronchitis,એક્યૂટ બ્રોંકાઇટિસ
3,en,gu_IN,acute respiratory disease,તીવ્ર શ્વસન રોગ
4,en,gu_IN,AIDS,એઇડ્સ
5,en,gu_IN,airborne droplets,વાયુજન્ય ટીપા
6,en,gu_IN,airway,વાયુ માર્ગે
7,en,gu_IN,alcohol-based,આલ્કોહોલ આધારિત
8,en,gu_IN,alcohol-based hand rub,આલ્કોહોલ આધારિત હેન્ડ રબ
9,en,gu_IN,alcohol-based hand sanitizer,આલ્કોહોલ આધારિત હેન્ડ સેનેટાઇઝર
10,en,gu_IN,alveolar disease,ઍલ્વીઓલરનો રોગ
11,en,gu_IN,an epidemic,રોગચાળો
12,en,gu_IN,annual flu,એન્યુઅલ ફ્લૂ
13,en,gu_IN,anti-inflammatory drug,ઍન્ટિ-ઇન્ફ્લૅમટરી ડ્રગ
14,en,gu_IN,antiviral drug,ઍન્ટિવાઇરલ ડ્રગ
15,en,gu_IN,antiviral treatment,ઍન્ટિવાઇરલ ટ્રીટમેન્ટ
16,en,gu_IN,assay,પરીક્ષણ
17,en,gu_IN,asymptomatic,એસીમ્પ્ટોમેટિક
18,en,gu_IN,avian flu,એવિઅન ફ્લૂ
19,en,gu_IN,Black Plague,બ્લેક પ્લેગ
20,en,gu_IN,blood pressure,બ્લડ પ્રેશર
21,en,gu_IN,body fluid,શરીરમાં રહેલું પ્રવાહી
22,en,gu_IN,breathing,શ્વાસોચ્છવાસ
23,en,gu_IN,bubonic plague,બ્યુબોનિક પ્લેગ
24,en,gu_IN,c19,c19
25,en,gu_IN,cv19,cv19
26,en,gu_IN,case fatality rate,કેસ મૃત્યુદર
27,en,gu_IN,causative agent,કાર્યકારી એજન્ટ
28,en,gu_IN,CDC,CDC
29,en,gu_IN,chemical disinfection,રાસાયણિક જીવાણુ નાશકક્રિયા
30,en,gu_IN,chest x-ray,છાતીનો એક્સ-રે
31,en,gu_IN,clinical diagnosis,ક્લિનિકલ નિદાન
32,en,gu_IN,clinical trial,ક્લિનિકલ ટ્રાયલ
33,en,gu_IN,close contact,નજીકનો સંપર્ક
34,en,gu_IN,cvirus,સીવાઇરસ
35,en,gu_IN,chronic respiratory disease,શ્વસન સંબંધી જૂનો રોગ
36,en,gu_IN,common cold,સામાન્ય શરદી
37,en,gu_IN,common flu,સામાન્ય ફ્લૂ
38,en,gu_IN,communicable disease,સંક્રમણક્ષમ રોગ
39,en,gu_IN,community spread,કોમ્યુનિટીમાં ફેલાવ
40,en,gu_IN,community transmission,કોમ્યુનિટી ટ્રાંસ્મિશન
41,en,gu_IN,compromised immune system,નબળું ઇમ્યૂન સિસ્ટમ
42,en,gu_IN,contagion,ચેપ લાગવો
43,en,gu_IN,contagious,ચેપી
44,en,gu_IN,contagiousness,કન્ટેજસ્નિસ
45,en,gu_IN,corona,કોરોના
46,en,gu_IN,corona virus,કોરોના વાઇરસ
47,en,gu_IN,corona virus epidemic,કોરોના વાઇરસનો રોગચાળો
48,en,gu_IN,corona virus outbreak,કોરોના વાઇરસનો કહેર
49,en,gu_IN,corona virus scare,કોરોના વાઇરસની દહેશત
50,en,gu_IN,coronavirus,કોરોનાવાઇરસ
51,en,gu_IN,coronavirus cases,કોરોનાવાઇરસના કેસ
52,en,gu_IN,coronavirus outbreak,કોરોનાવાઇરસનો કહેર
53,en,gu_IN,coronavirus pandemic,કોરોનાવાઇરસની મહામારી
54,en,gu_IN,coronavirus scare,કોરોનાવાઇરસની દહેશત
55,en,gu_IN,cough,કફ
56,en,gu_IN,cough etiquette,ઉધરસ ખાવાની રીત
57,en,gu_IN,coughing,ઉધરસ ખાવી
58,en,gu_IN,cov 19,cov 19
59,en,gu_IN,cov19,cov19
60,en,gu_IN,COVID,COVID
61,en,gu_IN,COVID-19 crisis,COVID-19ની કટોકટી
62,en,gu_IN,covid-19,covid-19
63,en,gu_IN,covid19,covid19
64,en,gu_IN,COVID-19 epidemic,COVID-19નો રોગચાળો
