id,sourceLang,targetLang,sourceString,targetString
1,en,hr_HR,1918 flu,gripa 1918.
2,en,hr_HR,acute bronchitis,akutni bronhitis
3,en,hr_HR,acute respiratory disease,akutna respiratorna bolest
4,en,hr_HR,AIDS,AIDS
5,en,hr_HR,airborne droplets,kapljice nošene zrakom
6,en,hr_HR,airway,dišni put
7,en,hr_HR,alcohol-based,na bazi alkohola
8,en,hr_HR,alcohol-based hand rub,sredstvo za čišćenje ruku na bazi alkohola
9,en,hr_HR,alcohol-based hand sanitizer,sredstvo za dezinfekciju ruku na bazi alkohola
10,en,hr_HR,alveolar disease,alveolarna bolest
11,en,hr_HR,an epidemic,epidemija
12,en,hr_HR,annual flu,sezonska gripa
13,en,hr_HR,anti-inflammatory drug,protuupalni lijek
14,en,hr_HR,antiviral drug,antivirusni lijek
15,en,hr_HR,antiviral treatment,antivirusna terapija
16,en,hr_HR,assay,analiza
17,en,hr_HR,asymptomatic,asimptomatski
18,en,hr_HR,avian flu,ptičja gripa
19,en,hr_HR,Black Plague,crna smrt
20,en,hr_HR,blood pressure,krvni tlak
21,en,hr_HR,body fluid,tjelesna tekućina
22,en,hr_HR,breathing,disanje
23,en,hr_HR,bubonic plague,bubonska kuga
24,en,hr_HR,c19,c19
25,en,hr_HR,cv19,cv19
26,en,hr_HR,case fatality rate,stopa smrtnosti za bolest
27,en,hr_HR,causative agent,uzročnik
28,en,hr_HR,CDC,CDC
29,en,hr_HR,chemical disinfection,kemijska dezinfekcija
30,en,hr_HR,chest x-ray,rendgen pluća
31,en,hr_HR,clinical diagnosis,klinička dijagnoza
32,en,hr_HR,clinical trial,kliničko ispitivanje
33,en,hr_HR,close contact,bliski kontakt
34,en,hr_HR,cvirus,kvirus
35,en,hr_HR,chronic respiratory disease,kronična respiratorna bolest
36,en,hr_HR,common cold,prehlada
37,en,hr_HR,common flu,gripa
38,en,hr_HR,communicable disease,prenosiva bolest
39,en,hr_HR,community spread,širenje u zajednici
40,en,hr_HR,community transmission,prijenos u zajednici
41,en,hr_HR,compromised immune system,ugrožen imunološki sustav
42,en,hr_HR,contagion,zaraza
43,en,hr_HR,contagious,zarazan
44,en,hr_HR,contagiousness,zaraznost
45,en,hr_HR,corona,korona
46,en,hr_HR,corona virus,korona virus
47,en,hr_HR,corona virus epidemic,epidemija korona virusa
48,en,hr_HR,corona virus outbreak,izbijanje epidemije korona virusa
49,en,hr_HR,corona virus scare,strah od širenja korona virusa
50,en,hr_HR,coronavirus,korona virus
51,en,hr_HR,coronavirus cases,slučajevi zaraze korona virusom
52,en,hr_HR,coronavirus outbreak,izbijanje epidemije koronavirusa
53,en,hr_HR,coronavirus pandemic,pandemija koronavirusa
54,en,hr_HR,coronavirus scare,strah od širenja koronavirusa
55,en,hr_HR,cough,kašalj
56,en,hr_HR,cough etiquette,ponašanje pri kašljanju
57,en,hr_HR,coughing,kašljanje
58,en,hr_HR,cov 19,cov 19
59,en,hr_HR,cov19,cov19
60,en,hr_HR,COVID,COVID
61,en,hr_HR,COVID-19 crisis,kriza zbog virusa COVID-19
62,en,hr_HR,covid-19,covid-19
63,en,hr_HR,covid19,covid19
64,en,hr_HR,COVID-19 epidemic,epidemija COVID-19
65,en,hr_HR,COVID-19 outbreak,izbijanje epidemije COVID-19
66,en,hr_HR,COVID-19 pandemic,pandemija COVID-19
67,en,hr_HR,COVID 19,COVID 19
68,en,hr_HR,current crisis,postojeća kriza
69,en,hr_HR,current health crisis,postojeća zdravstvena kriza
70,en,hr_HR,current outbreak,postojeće izbijanje epidemije
71,en,hr_HR,current pandemic,postojeća pandemija
72,en,hr_HR,CV,CV
73,en,hr_HR,CV-19,CV-19
74,en,hr_HR,deadly,smrtonosan
75,en,hr_HR,deadly virus,smrtonosan virus
76,en,hr_HR,death rate,stopa smrtnosti
77,en,hr_HR,death toll,broj umrlih
