id,sourceLang,targetLang,sourceString,targetString
1,en,ht_HT,1918 flu,Grip 1918
2,en,ht_HT,acute bronchitis,bwonchit egi
3,en,ht_HT,acute respiratory disease,maladi respiratwa egi
4,en,ht_HT,AIDS,SIDA
5,en,ht_HT,airborne droplets,ti gout nan lè a
6,en,ht_HT,airway,vwa ayeryen
7,en,ht_HT,alcohol-based,abaz alkòl
8,en,ht_HT,alcohol-based hand rub,netwayan pou men abaz alkòl
9,en,ht_HT,alcohol-based hand sanitizer,dezenfektan pou men abaz alkòl
10,en,ht_HT,alveolar disease,maladi alveyolè
11,en,ht_HT,an epidemic,yon epidemi
12,en,ht_HT,annual flu,grip chak ane
13,en,ht_HT,anti-inflammatory drug,medikaman anti-enflamatwa
14,en,ht_HT,antiviral drug,medikaman antiviral
15,en,ht_HT,antiviral treatment,trètman antiviral
16,en,ht_HT,assay,esè
17,en,ht_HT,asymptomatic,san sentom
18,en,ht_HT,avian flu,grip avyè
19,en,ht_HT,Black Plague,Lapès nwa
20,en,ht_HT,blood pressure,tansyon
21,en,ht_HT,body fluid,Likid kòporèl
22,en,ht_HT,breathing,respirasyon
23,en,ht_HT,bubonic plague,epidemi bibonik
24,en,ht_HT,c19,c19
25,en,ht_HT,cv19,cv19
26,en,ht_HT,case fatality rate,pousantaj ka mòtèl
27,en,ht_HT,causative agent,ajan responsab
28,en,ht_HT,CDC,CDC
29,en,ht_HT,chemical disinfection,dezenfektan chimik
30,en,ht_HT,chest x-ray,radyografi pilmonè
31,en,ht_HT,clinical diagnosis,dyagnostik klinik
32,en,ht_HT,clinical trial,esè klinik
33,en,ht_HT,close contact,kontak kole
34,en,ht_HT,cvirus,cvirus
35,en,ht_HT,chronic respiratory disease,maladi respiratwa kwonik
36,en,ht_HT,common cold,rim nòmal
37,en,ht_HT,common flu,grip nòmal
38,en,ht_HT,communicable disease,maladi transmisib
39,en,ht_HT,community spread,pwopagasyon kominotè
40,en,ht_HT,community transmission,transmisyon kominotè
41,en,ht_HT,compromised immune system,sistèm iminitè konpwomi
42,en,ht_HT,contagion,kontajyon
43,en,ht_HT,contagious,kontajye
44,en,ht_HT,contagiousness,kapasite kontajyon
45,en,ht_HT,corona,kowona
46,en,ht_HT,corona virus,kowona viris
47,en,ht_HT,corona virus epidemic,epidemi kowona viris
48,en,ht_HT,corona virus outbreak,Epidemi kowona viris
49,en,ht_HT,corona virus scare,laperèz kowona viris
50,en,ht_HT,coronavirus,kowonaviris
51,en,ht_HT,coronavirus cases,ka kowonaviris
52,en,ht_HT,coronavirus outbreak,epidemi kowonaviris
53,en,ht_HT,coronavirus pandemic,pandemi kowonaviris
54,en,ht_HT,coronavirus scare,laperèz kowonaviris
55,en,ht_HT,cough,tous
56,en,ht_HT,cough etiquette,konpòtman tous
57,en,ht_HT,coughing,touse
58,en,ht_HT,cov 19,cov 19
59,en,ht_HT,cov19,cov19
60,en,ht_HT,COVID,COVID
61,en,ht_HT,COVID-19 crisis,kriz COVID-19
62,en,ht_HT,covid-19,kovid-19
63,en,ht_HT,covid19,kovid19
64,en,ht_HT,COVID-19 epidemic,epidemi COVID-19
65,en,ht_HT,COVID-19 outbreak,epidemi COVID-19
66,en,ht_HT,COVID-19 pandemic,pandemi COVID-19
67,en,ht_HT,COVID 19,COVID 19
68,en,ht_HT,current crisis,kriz aktyèl
69,en,ht_HT,current health crisis,kriz sante aktyèl
70,en,ht_HT,current outbreak,epidemi aktyèl
71,en,ht_HT,current pandemic,pandemi aktyèl
72,en,ht_HT,CV,CV
73,en,ht_HT,CV-19,CV-19
74,en,ht_HT,deadly,mòtèl
75,en,ht_HT,deadly virus,viris mòtèl
76,en,ht_HT,death rate,pousantaj moun mouri
77,en,ht_HT,death toll,kantite moun mouri
78,en,ht_HT,decontaminate,dekontamine
79,en,ht_HT,detectable,detektab
80,en,ht_HT,detergent,detèjan
81,en,ht_HT,difficulty breathing,difikilte pou respire
82,en,ht_HT,diabetes,dyabèt / sik
83,en,ht_HT,diagnosable disease,maladi ki ka dyagnostike
84,en,ht_HT,diagnostic protocol,pwotokòl dyagnostik
85,en,ht_HT,diagnostic testing,egzamen dyagnostik
86,en,ht_HT,disease itself,pwòp maladi
87,en,ht_HT,disease outbreak,epidemi maladi
88,en,ht_HT,disinfectant,dezenfektan
89,en,ht_HT,disposable,jetab
90,en,ht_HT,droplet transmission,transmisyon gout
91,en,ht_HT,droplets,gout
92,en,ht_HT,dry cough,tous sèk
93,en,ht_HT,dry surface contamination,kontaminasyon sifas sèk
94,en,ht_HT,ebola,ebola
95,en,ht_HT,effective treatment,tretman efikas
96,en,ht_HT,electron microscope,mikwoskòp elektwonik
97,en,ht_HT,emergency department,depatman ijans
98,en,ht_HT,epidemic,epidemi
