id,sourceLang,targetLang,sourceString,targetString
1,en,hu_HU,1918 flu,1918 influenza
2,en,hu_HU,acute bronchitis,akut hörghurut
3,en,hu_HU,acute respiratory disease,akut légúti betegség
4,en,hu_HU,AIDS,AIDS
5,en,hu_HU,airborne droplets,levegőben terjedő cseppek
6,en,hu_HU,airway,légúti
7,en,hu_HU,alcohol-based,alkohol-alapú
8,en,hu_HU,alcohol-based hand rub,alkohol alapú kéztörlő
9,en,hu_HU,alcohol-based hand sanitizer,alkohol alapú kézfertőtlenítő
10,en,hu_HU,alveolar disease,alveoláris betegség
11,en,hu_HU,an epidemic,egy járvány
12,en,hu_HU,annual flu,éves influenza
13,en,hu_HU,anti-inflammatory drug,gyulladáscsökkentő gyógyszer
14,en,hu_HU,antiviral drug,vírusellenes gyógyszer
15,en,hu_HU,antiviral treatment,vírusellenes kezelés
16,en,hu_HU,assay,vizsgálat
17,en,hu_HU,asymptomatic,tünetmentes
18,en,hu_HU,avian flu,madárinfluenza
19,en,hu_HU,Black Plague,Fekete Pestis
20,en,hu_HU,blood pressure,vérnyomás
21,en,hu_HU,body fluid,testnedv
22,en,hu_HU,breathing,légzés
23,en,hu_HU,bubonic plague,bubópestis
24,en,hu_HU,c19,c19
25,en,hu_HU,cv19,cv19
26,en,hu_HU,case fatality rate,halálozási arány
27,en,hu_HU,causative agent,kórokozó
28,en,hu_HU,CDC,CDC
29,en,hu_HU,chemical disinfection,kémiai fertőtlenítés
30,en,hu_HU,chest x-ray,mellkas röntgen
31,en,hu_HU,clinical diagnosis,klinikai diagnózis
32,en,hu_HU,clinical trial,klinikai vizsgálat
33,en,hu_HU,close contact,közeli kapcsolat
34,en,hu_HU,cvirus,cvírus
35,en,hu_HU,chronic respiratory disease,krónikus légúti betegség
36,en,hu_HU,common cold,átlagos megfázás
37,en,hu_HU,common flu,átlagos influenza
38,en,hu_HU,communicable disease,fertőző betegség
39,en,hu_HU,community spread,közösségi terjedés
40,en,hu_HU,community transmission,közösségi átvitel
41,en,hu_HU,compromised immune system,sérült immunrendszer
42,en,hu_HU,contagion,fertőzés
43,en,hu_HU,contagious,fertőző
44,en,hu_HU,contagiousness,fertőzőképesség
45,en,hu_HU,corona,korona
46,en,hu_HU,corona virus,koronavírus
47,en,hu_HU,corona virus epidemic,koronavírus járvány
48,en,hu_HU,corona virus outbreak,coronavírus kitörés
49,en,hu_HU,corona virus scare,koronavírus-félelem
50,en,hu_HU,coronavirus,koronavírus
51,en,hu_HU,coronavirus cases,koronavírus esetek
52,en,hu_HU,coronavirus outbreak,coronavírus kitörés
53,en,hu_HU,coronavirus pandemic,koronavírus járvány
54,en,hu_HU,coronavirus scare,koronavírus-félelem
55,en,hu_HU,cough,köhögés
56,en,hu_HU,cough etiquette,köhögési etikett
57,en,hu_HU,coughing,köhögés
58,en,hu_HU,cov 19,cov 19
59,en,hu_HU,cov19,cov19
60,en,hu_HU,COVID,COVID
61,en,hu_HU,COVID-19 crisis,COVID-19 krízis
62,en,hu_HU,covid-19,covid-19
63,en,hu_HU,covid19,covid19
64,en,hu_HU,COVID-19 epidemic,COVID-19 járvány
65,en,hu_HU,COVID-19 outbreak,COVID-19 kitörés
66,en,hu_HU,COVID-19 pandemic,COVID-19 járvány
67,en,hu_HU,COVID 19,COVID 19
68,en,hu_HU,current crisis,jelenlegi krízis
69,en,hu_HU,current health crisis,jelenlegi egészségügyi krízis
70,en,hu_HU,current outbreak,jelenlegi kitörés
71,en,hu_HU,current pandemic,jelenlegi járvány
72,en,hu_HU,CV,CV
73,en,hu_HU,CV-19,CV-19
74,en,hu_HU,deadly,halálos
75,en,hu_HU,deadly virus,halálos vírus
76,en,hu_HU,death rate,halálozási ráta
77,en,hu_HU,death toll,halálos áldozatok száma
78,en,hu_HU,decontaminate,fertőtlenít
79,en,hu_HU,detectable,kimutatható
80,en,hu_HU,detergent,tisztítószer
81,en,hu_HU,difficulty breathing,nehéz légzés
82,en,hu_HU,diabetes,cukorbetegség
83,en,hu_HU,diagnosable disease,diagnosztizálható betegség
84,en,hu_HU,diagnostic protocol,diagnosztikai protokoll
85,en,hu_HU,diagnostic testing,diagnosztikai tesztelés
86,en,hu_HU,disease itself,maga a betegség
87,en,hu_HU,disease outbreak,betegség kitörése
88,en,hu_HU,disinfectant,fertőtlenítő
89,en,hu_HU,disposable,egyszer használatos
90,en,hu_HU,droplet transmission,cseppek továbbítása
91,en,hu_HU,droplets,cseppek
92,en,hu_HU,dry cough,száraz köhögés
93,en,hu_HU,dry surface contamination,száraz felület szennyeződése
94,en,hu_HU,ebola,Ebola
95,en,hu_HU,effective treatment,hatékony kezelés
96,en,hu_HU,electron microscope,elektron mikroszkóp
97,en,hu_HU,emergency department,sürgősségi osztály
98,en,hu_HU,epidemic,járvány
99,en,hu_HU,epidemic curve,járványgörbe
100,en,hu_HU,epidemic peak,járványcsúcs
101,en,hu_HU,epidemiologist,epidemiológus
102,en,hu_HU,exposure,kitettség
103,en,hu_HU,extreme caution,rendkívüli óvatosság
104,en,hu_HU,eye protection,Szemvédelem
105,en,hu_HU,face mask,arc maszk
106,en,hu_HU,face masks,arcmaszkok
107,en,hu_HU,family cluster,családi klaszter
108,en,hu_HU,fatality rate,halálozási arány
109,en,hu_HU,fecal contamination,széklet-szennyeződés
110,en,hu_HU,fever,láz
111,en,hu_HU,flatten the infection curve,fertőzési görbe lapítása
112,en,hu_HU,flu,influenza
113,en,hu_HU,food safety,élelmiszerbiztonság
114,en,hu_HU,formaldehyde,formaldehid
115,en,hu_HU,gastroenteritis,gyomorbél-hurut
116,en,hu_HU,germicide,fertőtlenítő szer
117,en,hu_HU,global pandemic,globális járvány
118,en,hu_HU,global warming,globális felmelegedés
119,en,hu_HU,good respiratory hygiene,jó légzési higiénia
120,en,hu_HU,Guangdong,Guangdong
