id,sourceLang,targetLang,sourceString,targetString
1,en,hy_AM,1918 flu,1918թ․ գրիպ
2,en,hy_AM,acute bronchitis,սուր բրոնխիտ
3,en,hy_AM,acute respiratory disease,սուր շնչառական հիվանդություն
4,en,hy_AM,AIDS,ՁԻԱՀ
5,en,hy_AM,airborne droplets,օդակաթիլային
6,en,hy_AM,airway,շնչառական ուղիներ
7,en,hy_AM,alcohol-based,ալկոհոլային հիմքով
8,en,hy_AM,alcohol-based hand rub,ալկոհոլային հիմքով ձեռքի քսուկ
9,en,hy_AM,alcohol-based hand sanitizer,ալկոհոլային հիմքով ախտահանիչ
10,en,hy_AM,alveolar disease,ալվեոլային հիվանդություն
11,en,hy_AM,an epidemic,համաճարակ
12,en,hy_AM,annual flu,սեզոնային գրիպ
13,en,hy_AM,anti-inflammatory drug,հակաբորբոքային դեղամիջոց
14,en,hy_AM,antiviral drug,հակավիրուսային դեղամիջոց
15,en,hy_AM,antiviral treatment,հակավիրուսային բուժում
16,en,hy_AM,assay,փորձ
17,en,hy_AM,asymptomatic,ասիմպտոմ
18,en,hy_AM,avian flu,թռչնագրիպ
19,en,hy_AM,Black Plague,Սև Մահ
20,en,hy_AM,blood pressure,արյան ճնշում
21,en,hy_AM,body fluid,կենսաբանական հեղուկ
22,en,hy_AM,breathing,շնչառություն
23,en,hy_AM,bubonic plague,բուբոնային ժանտախտ
24,en,hy_AM,c19,c19
25,en,hy_AM,cv19,cv19
26,en,hy_AM,case fatality rate,մահացության ցուցանիշ
27,en,hy_AM,causative agent,հարուցիչ
28,en,hy_AM,CDC,Հիվանդությունների վերահսկման և կանխարգելման կենտրոն (ՀՎԿԿ)
29,en,hy_AM,chemical disinfection,քիմիական ախտահանում
30,en,hy_AM,chest x-ray,կրծքավանդակի ռենտգեն
31,en,hy_AM,clinical diagnosis,կլինիկական ախտորոշում
32,en,hy_AM,clinical trial,կլինիկական փորձարկում
33,en,hy_AM,close contact,սերտ շփում
34,en,hy_AM,cvirus,C-վարակ
35,en,hy_AM,chronic respiratory disease,խրոնիկ ռեսպիրատորային հիվանդություն
36,en,hy_AM,common cold,մրսածություն
37,en,hy_AM,common flu,հասարակ գրիպ
38,en,hy_AM,communicable disease,ինֆեկցիոն հիվանդություն
39,en,hy_AM,community spread,համայնքային տարածում
40,en,hy_AM,community transmission,համայնքային փոխանցում
41,en,hy_AM,compromised immune system,թուլացած իմունային համակարգ
42,en,hy_AM,contagion,վարակ
43,en,hy_AM,contagious,վարակիչ
44,en,hy_AM,contagiousness,վարակիչություն
45,en,hy_AM,corona,կորոնա
46,en,hy_AM,corona virus,կորոնա վիրուս
47,en,hy_AM,corona virus epidemic,կորոնավիրուսի համաճարակ
48,en,hy_AM,corona virus outbreak,կորոնավիրուսի բռնկում
49,en,hy_AM,corona virus scare,կորոնավիրուսային տագնապ
50,en,hy_AM,coronavirus,կորոնավիրուս
51,en,hy_AM,coronavirus cases,կորոնավիրուսի դեպքեր
52,en,hy_AM,coronavirus outbreak,կորոնավիրուսի բռնկում
53,en,hy_AM,coronavirus pandemic,կորոնավիրուսի պանդեմիա
54,en,hy_AM,coronavirus scare,կորոնավիրուսային տագնապ
55,en,hy_AM,cough,հազ
56,en,hy_AM,cough etiquette,հազալու վերվելակարգ
57,en,hy_AM,coughing,հազալ
58,en,hy_AM,cov 19,cov 19
59,en,hy_AM,cov19,cov19
60,en,hy_AM,COVID,COVID
61,en,hy_AM,COVID-19 crisis,COVID-19-ի ճգնաժամ
62,en,hy_AM,covid-19,covid-19
63,en,hy_AM,covid19,covid19
64,en,hy_AM,COVID-19 epidemic,COVID-19-ի համաճարակ
65,en,hy_AM,COVID-19 outbreak,COVID-19-ի բռնկում
66,en,hy_AM,COVID-19 pandemic,COVID-19-ի պանդեմիա
67,en,hy_AM,COVID 19,COVID 19
68,en,hy_AM,current crisis,ներկա ճգնաժամ
69,en,hy_AM,current health crisis,ներկա առողջական ճգնաժամ
70,en,hy_AM,current outbreak,ներկա բռնկում
71,en,hy_AM,current pandemic,ներկա պանդեմիա
72,en,hy_AM,CV,CV
73,en,hy_AM,CV-19,CV-19
74,en,hy_AM,deadly,մահացու
75,en,hy_AM,deadly virus,մահացու վիրուս
76,en,hy_AM,death rate,մահացություն
77,en,hy_AM,death toll,զոհերի քանակ
78,en,hy_AM,decontaminate,ախտահանել
79,en,hy_AM,detectable,հայտնաբերելի
80,en,hy_AM,detergent,մաքրող միջոց
81,en,hy_AM,difficulty breathing,դժվար շնչառություն
82,en,hy_AM,diabetes,շաքարային դիաբետ
83,en,hy_AM,diagnosable disease,ախտորոշվող հիվանդություն
84,en,hy_AM,diagnostic protocol,ախտորոշման արձանագրություն
85,en,hy_AM,diagnostic testing,ախտորոշիչ թեստավորում
86,en,hy_AM,disease itself,հիվանդությունն ինքնին
87,en,hy_AM,disease outbreak,հիվանդության բռնկում
88,en,hy_AM,disinfectant,ախտահանող միջոց
89,en,hy_AM,disposable,մեկանգամյա
90,en,hy_AM,droplet transmission,կաթիլային ճանապարհով փոխանցում
91,en,hy_AM,droplets,կաթիլներ
92,en,hy_AM,dry cough,չոր հազ
93,en,hy_AM,dry surface contamination,չոր մակերեսի ախտոտվածություն
94,en,hy_AM,ebola,էբոլա
95,en,hy_AM,effective treatment,արդյունավետ բուժում
96,en,hy_AM,electron microscope,էլեկտրոնային մանրադիտակ
97,en,hy_AM,emergency department,շտապ օգնության բաժանմունք
98,en,hy_AM,epidemic,համաճարակ
99,en,hy_AM,epidemic curve,համաճարակի կոր
100,en,hy_AM,epidemic peak,համաճարակի գագաթնակետ
101,en,hy_AM,epidemiologist,համաճարակաբան
102,en,hy_AM,exposure,ազդեցություն
103,en,hy_AM,extreme caution,ծայրահեղ զգուշության
104,en,hy_AM,eye protection,աչքերի պաշտպանություն
105,en,hy_AM,face mask,դիմակ
106,en,hy_AM,face masks,դիմակներ
107,en,hy_AM,family cluster,ընտանեկան խումբ
108,en,hy_AM,fatality rate,մահացության ցուցանիշ
109,en,hy_AM,fecal contamination,ֆեկալ աղտոտում
110,en,hy_AM,fever,տենդ
