id,sourceLang,targetLang,sourceString,targetString
1,en,id_ID,1918 flu,Flu 1918
2,en,id_ID,acute bronchitis,bronkitis akut
3,en,id_ID,acute respiratory disease,penyakit pernapasan akut
4,en,id_ID,AIDS,AIDS
5,en,id_ID,airborne droplets,tetesan yang ada di udara
6,en,id_ID,airway,jalur pernapasan
7,en,id_ID,alcohol-based,berbasis alkohol
8,en,id_ID,alcohol-based hand rub,pengusap tangan berbasis alkohol
9,en,id_ID,alcohol-based hand sanitizer,pembersih tangan berbasis alkohol
10,en,id_ID,alveolar disease,pernyakit alveolar
11,en,id_ID,an epidemic,wabah
12,en,id_ID,annual flu,flu tahunan
13,en,id_ID,anti-inflammatory drug,obat anti radang
14,en,id_ID,antiviral drug,obat antivirus
15,en,id_ID,antiviral treatment,pengobatan antivirus
16,en,id_ID,assay,pengujian kadar logam
17,en,id_ID,asymptomatic,tanpa gejala
18,en,id_ID,avian flu,flu burung
19,en,id_ID,Black Plague,Wabah Hitam
20,en,id_ID,blood pressure,tekanan darah
21,en,id_ID,body fluid,fluida tubuh
22,en,id_ID,breathing,bernapas
23,en,id_ID,bubonic plague,penyakit pes
24,en,id_ID,c19,c19
25,en,id_ID,cv19,cv19
26,en,id_ID,case fatality rate,tingkat kasus kematian
27,en,id_ID,causative agent,agent penyebab
28,en,id_ID,CDC,CDC
29,en,id_ID,chemical disinfection,desinfektasi kimia
30,en,id_ID,chest x-ray,rontgen dada
31,en,id_ID,clinical diagnosis,diagnosis klinik
32,en,id_ID,clinical trial,percobaan klinik
33,en,id_ID,close contact,kontak dekat
34,en,id_ID,cvirus,virus c
35,en,id_ID,chronic respiratory disease,penyakit pernapasan kronis
36,en,id_ID,common cold,demam biasa
37,en,id_ID,common flu,flu biasa
38,en,id_ID,communicable disease,penyakit menular
39,en,id_ID,community spread,penyabaran komunitas
40,en,id_ID,community transmission,transmisi komunitas
41,en,id_ID,compromised immune system,sistem imun yang dikompromikan
42,en,id_ID,contagion,penularan
43,en,id_ID,contagious,menular
44,en,id_ID,contagiousness,tingkat penularan
45,en,id_ID,corona,korona
46,en,id_ID,corona virus,virus korona
47,en,id_ID,corona virus epidemic,wabah virus korona
48,en,id_ID,corona virus outbreak,wabah besar virus korona
49,en,id_ID,corona virus scare,ketakutan virus korona
50,en,id_ID,coronavirus,virus korona
51,en,id_ID,coronavirus cases,kasus virus korona
52,en,id_ID,coronavirus outbreak,wabah besar virus korona
53,en,id_ID,coronavirus pandemic,wabah virus korona
54,en,id_ID,coronavirus scare,ketakutan virus korona
55,en,id_ID,cough,batuk
56,en,id_ID,cough etiquette,etika batuk
57,en,id_ID,coughing,batuk
58,en,id_ID,cov 19,cov 19
59,en,id_ID,cov19,cov19
60,en,id_ID,COVID,COVID
61,en,id_ID,COVID-19 crisis,krisis COVID-19
62,en,id_ID,covid-19,covid-19
63,en,id_ID,covid19,covid19
