id,sourceLang,targetLang,sourceString,targetString
1,en,ig_NG,1918 flu,Flu nke 1918
2,en,ig_NG,acute bronchitis,nnukwu bronchitis
3,en,ig_NG,acute respiratory disease,nnukwu ọrịa okuku ume
4,en,ig_NG,AIDS,AIDS
5,en,ig_NG,airborne droplets,ihe ntụsa na efe n'ikuku
6,en,ig_NG,airway,ụzọ ikuku
7,en,ig_NG,alcohol-based,nke eji mmanya eme
8,en,ig_NG,alcohol-based hand rub,nke eji mmanya eme a na ete n'aka
9,en,ig_NG,alcohol-based hand sanitizer,ihe nsacha aka nke eji mmanya eme
10,en,ig_NG,alveolar disease,ọrịa alveolar
11,en,ig_NG,an epidemic,ntiwapụ ọrịa
12,en,ig_NG,annual flu,flu kwa afọ
13,en,ig_NG,anti-inflammatory drug,ọgwụ na egbochi mkpali
14,en,ig_NG,antiviral drug,ọgwụ mgbochi nje
15,en,ig_NG,antiviral treatment,ọgwụgwọ mgbochi nje
16,en,ig_NG,assay,nyocha
17,en,ig_NG,asymptomatic,anaghị egosi ahụ mgbanwe
18,en,ig_NG,avian flu,avian flu
19,en,ig_NG,Black Plague,Ọrịa Mkpochapụ Ojii
20,en,ig_NG,blood pressure,ike ọbara
21,en,ig_NG,body fluid,mmiri anụahụ
22,en,ig_NG,breathing,iku ume
23,en,ig_NG,bubonic plague,ọrịa mkpochapụ bubonic
24,en,ig_NG,c19,c19
25,en,ig_NG,cv19,cv19
26,en,ig_NG,case fatality rate,ọnụọgụgụ ọnwụ
27,en,ig_NG,causative agent,ihe na ebute ihe
28,en,ig_NG,CDC,CDC
29,en,ig_NG,chemical disinfection,nhicha eji kemịkalụ
30,en,ig_NG,chest x-ray,x-ray obi
31,en,ig_NG,clinical diagnosis,nchọpụta ụlọ ọgwụ
32,en,ig_NG,clinical trial,nnwale ụlọ ọgwụ
33,en,ig_NG,close contact,onye mkpọtụrụ nọ nso
34,en,ig_NG,cvirus,cvirus
35,en,ig_NG,chronic respiratory disease,ọrịa okuku ume na adịghị ala ala
36,en,ig_NG,common cold,oyi nkịtị
37,en,ig_NG,common flu,flu nkịtị
38,en,ig_NG,communicable disease,ọrịa na efe efe
39,en,ig_NG,community spread,nkesa ogbe
40,en,ig_NG,community transmission,nnyefe ogbe
41,en,ig_NG,compromised immune system,sistemụ mgbochi ahụ mebiri emebi
42,en,ig_NG,contagion,mbusasị ọrịa
43,en,ig_NG,contagious,na efesasị efesa
44,en,ig_NG,contagiousness,nfesasị efesa
45,en,ig_NG,corona,corona
46,en,ig_NG,corona virus,nje corona
47,en,ig_NG,corona virus epidemic,ntiwapụ nje corona
48,en,ig_NG,corona virus outbreak,ndapụta nje corona
49,en,ig_NG,corona virus scare,ihe egwu nje corona
50,en,ig_NG,coronavirus,coronavirus
51,en,ig_NG,coronavirus cases,okwu coronavirus
52,en,ig_NG,coronavirus outbreak,ndapụta coronavirus
53,en,ig_NG,coronavirus pandemic,ntiwapụ coronavirus
54,en,ig_NG,coronavirus scare,ihe egwu coronavirus
55,en,ig_NG,cough,ụkwara
56,en,ig_NG,cough etiquette,iwu ụkwara
57,en,ig_NG,coughing,ịkwa ụkwara
58,en,ig_NG,cov 19,cov 19
59,en,ig_NG,cov19,cov19
60,en,ig_NG,COVID,COVID
61,en,ig_NG,COVID-19 crisis,nsogbu COVID-19
62,en,ig_NG,covid-19,covid-19
63,en,ig_NG,covid19,covid19
64,en,ig_NG,COVID-19 epidemic,ntiwapụ COVID-19
65,en,ig_NG,COVID-19 outbreak,ndapụta COVID-19
66,en,ig_NG,COVID-19 pandemic,ọgbaghara COVID-19
67,en,ig_NG,COVID 19,COVID 19
68,en,ig_NG,current crisis,nsogbu dị ugbu a
69,en,ig_NG,current health crisis,nsogbu ahụike dị ugbu a
70,en,ig_NG,current outbreak,ndapụta dị ugbu a
71,en,ig_NG,current pandemic,ọgbaghara dị ugbu a
72,en,ig_NG,CV,CV
73,en,ig_NG,CV-19,CV-19
74,en,ig_NG,deadly,na egbu egbu
75,en,ig_NG,deadly virus,nje na egbu egbu
76,en,ig_NG,death rate,ọnụọgụgụ ọnwụ
77,en,ig_NG,death toll,ọnụọgụgụ ndị nwụrụ anwụ
78,en,ig_NG,decontaminate,hichapụ nje
79,en,ig_NG,detectable,a na achọpụtanwu
80,en,ig_NG,detergent,ncha
81,en,ig_NG,difficulty breathing,nhịahụ n'iku ume
82,en,ig_NG,diabetes,ọrịa mamịrị
83,en,ig_NG,diagnosable disease,ọrịa enwere ike ịchọpụtanwu
84,en,ig_NG,diagnostic protocol,usoro nchọpụta
85,en,ig_NG,diagnostic testing,nnwale nchọpụta
86,en,ig_NG,disease itself,ọrịa n'onwe ya
87,en,ig_NG,disease outbreak,ndapụta ọrịa
88,en,ig_NG,disinfectant,ihe mgbochi nje
89,en,ig_NG,disposable,ihe ntufu
90,en,ig_NG,droplet transmission,nnyefe ihe ntụsa
91,en,ig_NG,droplets,ihe ntụsa
92,en,ig_NG,dry cough,ụkwara kpọrọ nkụ
93,en,ig_NG,dry surface contamination,ofufe elu kpọrọ nkụ
94,en,ig_NG,ebola,ebola
95,en,ig_NG,effective treatment,ọgwụgwọ na arụ ọrụ
96,en,ig_NG,electron microscope,mikroscopu elektrọn
97,en,ig_NG,emergency department,ngalaba ihe mberede
98,en,ig_NG,epidemic,ntiwapụ ọrịa
99,en,ig_NG,epidemic curve,usoro ntiwapụ ọrịa
100,en,ig_NG,epidemic peak,isi ntiwapụ ọrịa
101,en,ig_NG,epidemiologist,ọkachamara na ntiwapụ ọrịa
102,en,ig_NG,exposure,mkpughe
103,en,ig_NG,extreme caution,nnukwu mkpachapụ anya
104,en,ig_NG,eye protection,mkpuchi anya
105,en,ig_NG,face mask,ihe mkpuchi ihu
106,en,ig_NG,face masks,ihe ndị mkpuchi ihu
107,en,ig_NG,family cluster,ụyọkọ ezinụlọ
108,en,ig_NG,fatality rate,ọnụọgụgụ ọnwụ
109,en,ig_NG,fecal contamination,ofufe sitere na nsi
110,en,ig_NG,fever,ahụ ọkụ
111,en,ig_NG,flatten the infection curve,tidaa usoro ọfụfe ahụ
112,en,ig_NG,flu,flu
113,en,ig_NG,food safety,mkpuchido nri
114,en,ig_NG,formaldehyde,formaldehyde
115,en,ig_NG,gastroenteritis,gastroenteritis
116,en,ig_NG,germicide,germicide
117,en,ig_NG,global pandemic,ọgbaghara ozuru ụwa
118,en,ig_NG,global warming,okpomọkụ ozuru ụwa
119,en,ig_NG,good respiratory hygiene,ezigbo ịdị ọcha okuku ume
120,en,ig_NG,Guangdong,Guangdong
121,en,ig_NG,H1N1,H1N1
122,en,ig_NG,H1N1 virus,nje H1N1
123,en,ig_NG,hand disinfectant,ihe mgbochi nje nke aka
124,en,ig_NG,hand sanitizer,ihe nsacha aka nke aka
125,en,ig_NG,health care provider,onye na enye nlekọta ahụike
126,en,ig_NG,health crisis,nsogbu ahụike
127,en,ig_NG,health plan carrier,ihe ndọkpụ atụmatụ ahụike
128,en,ig_NG,health services,ọrụ ahụike
129,en,ig_NG,heart failure,mbibi mkpụrụobibi
130,en,ig_NG,high fever,nnukwu ahụ ọkụ
131,en,ig_NG,HIV,HIV
132,en,ig_NG,hospitalize,tinye n'ụlọ ọgwụ
133,en,ig_NG,household bleach,ihe nsacha ezinụlọ
134,en,ig_NG,Hubei,Hubei
135,en,ig_NG,hydrogen peroxide,hydrogen peroxide
136,en,ig_NG,hygiene,ịdị ọcha
137,en,ig_NG,immune system,sistemụ mgbochi ahụ
138,en,ig_NG,immunity,nchekwa
139,en,ig_NG,immunocompromised,sistemụ mgbochi ahụ na adịghị mma
140,en,ig_NG,immunologist,onye na ahụta maka mgbochi ahụ
141,en,ig_NG,incubation,ọbụbụ
142,en,ig_NG,incubation period,oge ọbụbụ
143,en,ig_NG,indirect contact,mmetụta sitere n'aka ọzọ
144,en,ig_NG,infect,fesa
145,en,ig_NG,infection,ọrịa
146,en,ig_NG,infectious,na efe efe
147,en,ig_NG,infectivity,ọfụfe
148,en,ig_NG,influenza,influenza
149,en,ig_NG,initial transmission event,mmemme nnyefe izizi
150,en,ig_NG,intensive care equipment,akụrụngwa nlekọta dị oke mkpa
151,en,ig_NG,intermediate host,onye mbugharị nọ n'etiti
152,en,ig_NG,intrauterine,intrauterine
153,en,ig_NG,intubation,intubation
154,en,ig_NG,isolation,nnọpụ iche
155,en,ig_NG,Isopropanol,Isopropanol
156,en,ig_NG,laboratory test kit,ngwungwu nnwale ụlọ nyocha
157,en,ig_NG,laboratory testing,nnwale ụlọ nyocha
158,en,ig_NG,lack of testing,enweghị nnwale
159,en,ig_NG,lack of tests,enweghị nnwale
160,en,ig_NG,latest updates,mmelite kachasị ọhụrụ
161,en,ig_NG,liver failure,mbibi imeju
162,en,ig_NG,local public health authority,ikike ahụike ọhaneze
163,en,ig_NG,lockdown,mkpọchi
164,en,ig_NG,lungs,akpa ume
165,en,ig_NG,masks,ihe mkpuchi ihu
166,en,ig_NG,measles,akpata
167,en,ig_NG,mechanical ventilation,iku ume eji igwe akwado
168,en,ig_NG,media coverage,mkpuchi ndị mgbasa ozi
169,en,ig_NG,medical care,nlekọta ahụike
170,en,ig_NG,MERS,MERS
171,en,ig_NG,MERS CoV,MERS CoV
172,en,ig_NG,microbiologist,ọkachamara na nje
173,en,ig_NG,mild cough,obere ụkwara
174,en,ig_NG,mortality rate,ọnụọgụgụ ọnwụ
175,en,ig_NG,multi-organ failure,mbibi ọtụtụ-ngwa ahụ
176,en,ig_NG,nasal congestion,mkpuchi imi
177,en,ig_NG,neutral detergent,ncha nọpụrụ iche
178,en,ig_NG,new normal,ihe nkịtị ọhụrụ
179,en,ig_NG,novel corona virus,nje corona dị ọhụrụ
180,en,ig_NG,novel coronavirus,coronavirus dị ọhụrụ
181,en,ig_NG,novel coronavirus outbreak,ndapụta coronavirus dị ọhụrụ
182,en,ig_NG,novel virus,nje dị ọhụrụ
183,en,ig_NG,online medical consultation,ịchọ ndụmọdụ ahụike n'ịntanetị
184,en,ig_NG,onset,ozugbo
185,en,ig_NG,outbreak,ndapụta
186,en,ig_NG,outbreak readiness,nkwadobe ndapụta
187,en,ig_NG,overall case fatality,nchịkọta ọnụọgụgụ ọnwụ
188,en,ig_NG,pandemic,ọgbaghara
189,en,ig_NG,pangolin,pangolin
