id,sourceLang,targetLang,sourceString,targetString
1,en,is_IS,1918 flu,1918 flensa
2,en,is_IS,acute bronchitis,bráð berkjubólga
3,en,is_IS,acute respiratory disease,bráður öndunarfærasjúkdómur
4,en,is_IS,AIDS,AIDS
5,en,is_IS,airborne droplets,svífandi smádropar
6,en,is_IS,airway,öndunarvegur
7,en,is_IS,alcohol-based,alkóhólbundinn
8,en,is_IS,alcohol-based hand rub,alkóhólbundinn handáburður
9,en,is_IS,alcohol-based hand sanitizer,alkóhólbundið handhreinsiefni
10,en,is_IS,alveolar disease,tannbergs sjúkdómur
11,en,is_IS,an epidemic,faraldur
12,en,is_IS,annual flu,árleg flensa
13,en,is_IS,anti-inflammatory drug,bólgueyðandi lyf
14,en,is_IS,antiviral drug,veirueyðandi lyf
15,en,is_IS,antiviral treatment,veirueyðandi meðferð
16,en,is_IS,assay,próf
17,en,is_IS,asymptomatic,einkennalaus
18,en,is_IS,avian flu,fuglaflensa
19,en,is_IS,Black Plague,Svartidauði
20,en,is_IS,blood pressure,blóðþrýstingur
21,en,is_IS,body fluid,líkamsvessi
22,en,is_IS,breathing,anda
23,en,is_IS,bubonic plague,svartidauði
24,en,is_IS,c19,c19
25,en,is_IS,cv19,cv19
26,en,is_IS,case fatality rate,tilvik dauðsfalla
27,en,is_IS,causative agent,orsakavaldur
28,en,is_IS,CDC,Sóttvarnalæknir
29,en,is_IS,chemical disinfection,sótthreinsun með efnum
30,en,is_IS,chest x-ray,röntgenmynd af brjósti
31,en,is_IS,clinical diagnosis,klínísk greining
32,en,is_IS,clinical trial,klínísk rannsókn
33,en,is_IS,close contact,mikil nánd
34,en,is_IS,cvirus,cvírus
35,en,is_IS,chronic respiratory disease,langvinnur öndunarfærasjúkdómur
36,en,is_IS,common cold,algengt kvef
37,en,is_IS,common flu,algeng flensa
38,en,is_IS,communicable disease,smitsjúkdómur
39,en,is_IS,community spread,dreifing í samfélagi
40,en,is_IS,community transmission,smit í samfélagi
41,en,is_IS,compromised immune system,ónæmiskerfi í hættu
42,en,is_IS,contagion,smitun
43,en,is_IS,contagious,smitandi
44,en,is_IS,contagiousness,smitun
45,en,is_IS,corona,kóróna
46,en,is_IS,corona virus,kórónavírus
47,en,is_IS,corona virus epidemic,kórónavírus faraldur
48,en,is_IS,corona virus outbreak,kórónavírus faraldur
49,en,is_IS,corona virus scare,hræðsla við kórónavírus
50,en,is_IS,coronavirus,kórónavírus
51,en,is_IS,coronavirus cases,tilfelli kórónavíruss
52,en,is_IS,coronavirus outbreak,kórónavírus faraldur
53,en,is_IS,coronavirus pandemic,kórónavírus heimsfaraldur
54,en,is_IS,coronavirus scare,hræðsla við kórónavírus
55,en,is_IS,cough,hósti
56,en,is_IS,cough etiquette,siðareglur við hósta
57,en,is_IS,coughing,hóstandi
58,en,is_IS,cov 19,cov 19
59,en,is_IS,cov19,cov19
60,en,is_IS,COVID,COVID
61,en,is_IS,COVID-19 crisis,COVID-19 hættuástand
62,en,is_IS,covid-19,covid-19
63,en,is_IS,covid19,covid19
64,en,is_IS,COVID-19 epidemic,COVID-19 faraldur
65,en,is_IS,COVID-19 outbreak,COVID-19 faraldur
66,en,is_IS,COVID-19 pandemic,COVID-19 heimsfaraldur
67,en,is_IS,COVID 19,COVID 19
68,en,is_IS,current crisis,núverandi hættuástand
69,en,is_IS,current health crisis,núverandi heilsu hættuástand
70,en,is_IS,current outbreak,núverandi faraldur
71,en,is_IS,current pandemic,núverandi heimsfaraldur
72,en,is_IS,CV,CV
73,en,is_IS,CV-19,CV-19
74,en,is_IS,deadly,banvænn
75,en,is_IS,deadly virus,banvænn vírus
76,en,is_IS,death rate,dánarhlutfall
77,en,is_IS,death toll,mannfall
78,en,is_IS,decontaminate,afmengun
79,en,is_IS,detectable,greinanlegt
80,en,is_IS,detergent,þvottaefni
81,en,is_IS,difficulty breathing,öndunarerfiðleikar
82,en,is_IS,diabetes,sykursýki
83,en,is_IS,diagnosable disease,greinanlegur sjúkdómur
84,en,is_IS,diagnostic protocol,greiningarferli
85,en,is_IS,diagnostic testing,greiningarpróf
86,en,is_IS,disease itself,sjúkdómurinn sjálfur
87,en,is_IS,disease outbreak,faraldur sjúkdóms
88,en,is_IS,disinfectant,sótthreinsiefni
89,en,is_IS,disposable,einnota
90,en,is_IS,droplet transmission,útbreiðsla smádropa
91,en,is_IS,droplets,smádropar
92,en,is_IS,dry cough,þurr hósti
93,en,is_IS,dry surface contamination,þurr yfirborðsmengun
94,en,is_IS,ebola,ebóla
95,en,is_IS,effective treatment,árangursrík meðferð
96,en,is_IS,electron microscope,rafeindasmásjá
97,en,is_IS,emergency department,bráðadeild
98,en,is_IS,epidemic,faraldur
99,en,is_IS,epidemic curve,faraldurs kúrfa
100,en,is_IS,epidemic peak,hámark faraldurs
101,en,is_IS,epidemiologist,sóttvarnalæknir
102,en,is_IS,exposure,útsetning
103,en,is_IS,extreme caution,mikil varúð
104,en,is_IS,eye protection,augnvernd
105,en,is_IS,face mask,andlitsgríma
106,en,is_IS,face masks,andlitsgrímur
107,en,is_IS,family cluster,fjölskylduklasi
108,en,is_IS,fatality rate,dánartíðni
109,en,is_IS,fecal contamination,saur mengun
110,en,is_IS,fever,hiti
111,en,is_IS,flatten the infection curve,fletja út sýkingarkúrfuna
112,en,is_IS,flu,flensa
113,en,is_IS,food safety,matar öryggi
114,en,is_IS,formaldehyde,formaldehýð
115,en,is_IS,gastroenteritis,meltingarfærabólga
116,en,is_IS,germicide,sýklaeyðandi
117,en,is_IS,global pandemic,heimsfaraldur
118,en,is_IS,global warming,hnatthlýnun
119,en,is_IS,good respiratory hygiene,gott öndunarfæra hreinlæti
120,en,is_IS,Guangdong,Guangdong
121,en,is_IS,H1N1,H1N1
122,en,is_IS,H1N1 virus,H1N1 vírus
123,en,is_IS,hand disinfectant,sótthreinsiefni handa
124,en,is_IS,hand sanitizer,handspritt
125,en,is_IS,health care provider,veitandi heilsugæslu
126,en,is_IS,health crisis,heilsukrísa
127,en,is_IS,health plan carrier,flutningsaðili heilsuáætlunar
128,en,is_IS,health services,heilbrigðisþjónusta
129,en,is_IS,heart failure,hjartabilun
130,en,is_IS,high fever,hár hiti
131,en,is_IS,HIV,HIV
132,en,is_IS,hospitalize,á sjúkrahús
133,en,is_IS,household bleach,klór til heimilisnota
134,en,is_IS,Hubei,Hubei
135,en,is_IS,hydrogen peroxide,vetnisperoxíð
136,en,is_IS,hygiene,hreinlæti
137,en,is_IS,immune system,ónæmiskerfi
138,en,is_IS,immunity,ónæmi
139,en,is_IS,immunocompromised,ónæmisbældum
140,en,is_IS,immunologist,ónæmisfræðingur
141,en,is_IS,incubation,ræktun
142,en,is_IS,incubation period,ræktunartímabil
143,en,is_IS,indirect contact,óbeint samband
144,en,is_IS,infect,smita
145,en,is_IS,infection,smitun
146,en,is_IS,infectious,smitandi
147,en,is_IS,infectivity,smitvirkni
148,en,is_IS,influenza,inflúensa
149,en,is_IS,initial transmission event,upphaflegur sendingar atburður
150,en,is_IS,intensive care equipment,gjörgæslubúnaður
151,en,is_IS,intermediate host,millihýsill
152,en,is_IS,intrauterine,innanlegs
153,en,is_IS,intubation,tilfærsla
154,en,is_IS,isolation,einangrun
155,en,is_IS,Isopropanol,Ísóprópanól
156,en,is_IS,laboratory test kit,rannsóknarstofu prófunarbúnaður
157,en,is_IS,laboratory testing,rannsóknarstofu próf
158,en,is_IS,lack of testing,skortur á prófum
159,en,is_IS,lack of tests,skortur á prófum
160,en,is_IS,latest updates,nýjustu uppfærslurnar
161,en,is_IS,liver failure,lifrarbilun
162,en,is_IS,local public health authority,staðbundin heilbrigðiseftirlit sveitarfélaga
163,en,is_IS,lockdown,lokun
164,en,is_IS,lungs,lungum
165,en,is_IS,masks,grímur
166,en,is_IS,measles,mislingar
167,en,is_IS,mechanical ventilation,vélræn loftræsting
