id,sourceLang,targetLang,sourceString,targetString
1,en,it_IT,1918 flu,influenza del 1918
2,en,it_IT,acute bronchitis,bronchite acuta
3,en,it_IT,acute respiratory disease,Sindrome respiratoria acuta
4,en,it_IT,AIDS,AIDS
5,en,it_IT,airborne droplets,goccioline trasportate dall'aria
6,en,it_IT,airway,via aerea
7,en,it_IT,alcohol-based,a base di alcool
8,en,it_IT,alcohol-based hand rub,igienizzante per le mani a base alcolica
9,en,it_IT,alcohol-based hand sanitizer,disinfettante per le mani a base alcolica
10,en,it_IT,alveolar disease,malattia alveolare
11,en,it_IT,an epidemic,un'epidemia
12,en,it_IT,annual flu,influenza stagionale
13,en,it_IT,anti-inflammatory drug,farmaco antinfiammatorio
14,en,it_IT,antiviral drug,farmaco antivirale
15,en,it_IT,antiviral treatment,trattamento antivirale
16,en,it_IT,assay,saggio
17,en,it_IT,asymptomatic,asintomatica
18,en,it_IT,avian flu,influenza aviaria
19,en,it_IT,Black Plague,peste nera
20,en,it_IT,blood pressure,pressione sanguigna
21,en,it_IT,body fluid,fluido corporeo
22,en,it_IT,breathing,respirazione
23,en,it_IT,bubonic plague,peste bubbonica
24,en,it_IT,c19,C19
25,en,it_IT,cv19,CV19
26,en,it_IT,case fatality rate,tasso di letalità
27,en,it_IT,causative agent,agente scatenante
28,en,it_IT,CDC,CDC
29,en,it_IT,chemical disinfection,disinfezione chimica
30,en,it_IT,chest x-ray,radiografia del torace
31,en,it_IT,clinical diagnosis,diagnosi clinica
32,en,it_IT,clinical trial,test clinico
33,en,it_IT,close contact,a stretto contatto
34,en,it_IT,cvirus,cvirus
35,en,it_IT,chronic respiratory disease,malattia respiratoria cronica
36,en,it_IT,common cold,raffreddore
37,en,it_IT,common flu,influenza comune
38,en,it_IT,communicable disease,malattia trasmissibile
39,en,it_IT,community spread,diffusione comunitaria
40,en,it_IT,community transmission,trasmissione comunitaria
41,en,it_IT,compromised immune system,sistema immunitario compromesso
42,en,it_IT,contagion,contagio
43,en,it_IT,contagious,contagioso
44,en,it_IT,contagiousness,contagiosità
45,en,it_IT,corona,corona
46,en,it_IT,corona virus,coronavirus
47,en,it_IT,corona virus epidemic,epidemia di coronavirus
48,en,it_IT,corona virus outbreak,epidemia di coronavirus
49,en,it_IT,corona virus scare,paura del coronavirus
50,en,it_IT,coronavirus,coronavirus
51,en,it_IT,coronavirus cases,casi di coronavirus
52,en,it_IT,coronavirus outbreak,focolaio di coronavirus
53,en,it_IT,coronavirus pandemic,pandemia di coronavirus
54,en,it_IT,coronavirus scare,paura del coronavirus
55,en,it_IT,cough,tosse
56,en,it_IT,cough etiquette,comportamento in caso di tosse
57,en,it_IT,coughing,tossendo
58,en,it_IT,cov 19,cov 19
59,en,it_IT,cov19,cov19
60,en,it_IT,COVID,COVID
61,en,it_IT,COVID-19 crisis,Crisi COVID-19
62,en,it_IT,covid-19,covid-19
63,en,it_IT,covid19,covid19
64,en,it_IT,COVID-19 epidemic,Epidemia di COVID-19
65,en,it_IT,COVID-19 outbreak,Focolaio di COVID-19
66,en,it_IT,COVID-19 pandemic,Pandemia di COVID-19
67,en,it_IT,COVID 19,COVID 19
68,en,it_IT,current crisis,crisi attuale
69,en,it_IT,current health crisis,attuale crisi sanitaria
70,en,it_IT,current outbreak,focolaio attuale
71,en,it_IT,current pandemic,pandemia attuale
72,en,it_IT,CV,CV
73,en,it_IT,CV-19,CV-19
74,en,it_IT,deadly,mortale
75,en,it_IT,deadly virus,virus mortale
76,en,it_IT,death rate,tasso di mortalità
77,en,it_IT,death toll,bilancio delle vittime
78,en,it_IT,decontaminate,decontaminare
79,en,it_IT,detectable,rilevabile
80,en,it_IT,detergent,detergente
81,en,it_IT,difficulty breathing,respirazione difficoltosa
82,en,it_IT,diabetes,diabete
83,en,it_IT,diagnosable disease,malattia diagnosticabile
84,en,it_IT,diagnostic protocol,protocollo diagnostico
85,en,it_IT,diagnostic testing,test diagnostico
86,en,it_IT,disease itself,la malattia stessa
87,en,it_IT,disease outbreak,epidemia di malattia
88,en,it_IT,disinfectant,disinfettante
89,en,it_IT,disposable,monouso
90,en,it_IT,droplet transmission,trasmissione tramite goccioline
91,en,it_IT,droplets,goccioline
92,en,it_IT,dry cough,tosse secca
93,en,it_IT,dry surface contamination,contaminazione della superficie asciutta
94,en,it_IT,ebola,ebola
95,en,it_IT,effective treatment,trattamento efficace
96,en,it_IT,electron microscope,microscopio elettronico
97,en,it_IT,emergency department,dipartimento per le emergenze
98,en,it_IT,epidemic,epidemico
99,en,it_IT,epidemic curve,curva epidemica
100,en,it_IT,epidemic peak,picco dell'epidemia
101,en,it_IT,epidemiologist,epidemiologo
102,en,it_IT,exposure,esposizione
103,en,it_IT,extreme caution,estrema cautela
104,en,it_IT,eye protection,protezione per gli occhi
105,en,it_IT,face mask,maschera per il viso
106,en,it_IT,face masks,maschere per il viso
107,en,it_IT,family cluster,gruppo familiare
108,en,it_IT,fatality rate,tasso di mortalità
109,en,it_IT,fecal contamination,contaminazione fecale
110,en,it_IT,fever,febbre
111,en,it_IT,flatten the infection curve,appiattire la curva dell'infezione
112,en,it_IT,flu,influenza
113,en,it_IT,food safety,sicurezza alimentare
114,en,it_IT,formaldehyde,formaldeide
115,en,it_IT,gastroenteritis,gastroenterite
116,en,it_IT,germicide,germicida
117,en,it_IT,global pandemic,pandemia globale
118,en,it_IT,global warming,riscaldamento globale
119,en,it_IT,good respiratory hygiene,buona igiene respiratoria
120,en,it_IT,Guangdong,Guangdong
121,en,it_IT,H1N1,H1N1
122,en,it_IT,H1N1 virus,Virus H1N1
123,en,it_IT,hand disinfectant,disinfettante per le mani
124,en,it_IT,hand sanitizer,disinfettante per le mani
125,en,it_IT,health care provider,assistente sanitario
126,en,it_IT,health crisis,crisi sanitaria
127,en,it_IT,health plan carrier,assicurazione sanitaria
128,en,it_IT,health services,servizi sanitari
129,en,it_IT,heart failure,arresto cardiaco
130,en,it_IT,high fever,febbre alta
131,en,it_IT,HIV,HIV
132,en,it_IT,hospitalize,ospedalizzare
133,en,it_IT,household bleach,candeggina per uso domestico
134,en,it_IT,Hubei,Hubei
135,en,it_IT,hydrogen peroxide,perossido di idrogeno
136,en,it_IT,hygiene,igiene
137,en,it_IT,immune system,sistema immunitario
138,en,it_IT,immunity,immunità
139,en,it_IT,immunocompromised,immunodeficiente
140,en,it_IT,immunologist,immunologo
141,en,it_IT,incubation,incubazione
142,en,it_IT,incubation period,periodo di incubazione
