id,sourceLang,targetLang,sourceString,targetString
1,en,jv_ID,1918 flu,flu 1918
2,en,jv_ID,acute bronchitis,bronkitis akut
3,en,jv_ID,acute respiratory disease,penyakit ambegan akut
4,en,jv_ID,AIDS,AIDS
5,en,jv_ID,airborne droplets,tetesan saka udhara
6,en,jv_ID,airway,saluran ambegan
7,en,jv_ID,alcohol-based,bahan dasar alkohol
8,en,jv_ID,alcohol-based hand rub,sabun tangan bahan dhasare alkohol
9,en,jv_ID,alcohol-based hand sanitizer,sanitizer tangan bahan dhasare alkohol
10,en,jv_ID,alveolar disease,penyakit alveolar
11,en,jv_ID,an epidemic,wabah
12,en,jv_ID,annual flu,flu biasa
13,en,jv_ID,anti-inflammatory drug,obat anti-inflamasi
14,en,jv_ID,antiviral drug,obat antivirus
15,en,jv_ID,antiviral treatment,prawatan antivirus
16,en,jv_ID,assay,uji kadar logam
17,en,jv_ID,asymptomatic,asimtomatik
18,en,jv_ID,avian flu,flu avian
19,en,jv_ID,Black Plague,Wabah Bahaya
20,en,jv_ID,blood pressure,tekanan getih
21,en,jv_ID,body fluid,cairan awak
22,en,jv_ID,breathing,ambegan
23,en,jv_ID,bubonic plague,wabah pes
24,en,jv_ID,c19,c19
25,en,jv_ID,cv19,cv19
26,en,jv_ID,case fatality rate,tingkat fatalitas kasus
27,en,jv_ID,causative agent,agen penyebab
28,en,jv_ID,CDC,CDC
29,en,jv_ID,chemical disinfection,disinfektan kimia
30,en,jv_ID,chest x-ray,x-ray dada
31,en,jv_ID,clinical diagnosis,diagnosis klinis
32,en,jv_ID,clinical trial,percobaan klinis
33,en,jv_ID,close contact,kontak cedhak
34,en,jv_ID,cvirus,cvirus
35,en,jv_ID,chronic respiratory disease,penyakit ambegan kronis
36,en,jv_ID,common cold,pilek biasa
37,en,jv_ID,common flu,flu biasa
38,en,jv_ID,communicable disease,penyakit nular
39,en,jv_ID,community spread,sebarane komunitas
40,en,jv_ID,community transmission,transmisi komunitas
41,en,jv_ID,compromised immune system,sistem imun keganggu
42,en,jv_ID,contagion,pangulan
43,en,jv_ID,contagious,ngula
44,en,jv_ID,contagiousness,pangulan
45,en,jv_ID,corona,corona
46,en,jv_ID,corona virus,virus corona
47,en,jv_ID,corona virus epidemic,wabah virus corona
48,en,jv_ID,corona virus outbreak,kedadeyan linuwih virus corona
49,en,jv_ID,corona virus scare,kaweden virus corona
50,en,jv_ID,coronavirus,virus corona
51,en,jv_ID,coronavirus cases,kasus virus corona
52,en,jv_ID,coronavirus outbreak,kedadeyan linuwih virus corona
53,en,jv_ID,coronavirus pandemic,pandemik virus corona
54,en,jv_ID,coronavirus scare,kaweden virus corona
55,en,jv_ID,cough,watuk
56,en,jv_ID,cough etiquette,tata carane watuk
57,en,jv_ID,coughing,watuk
58,en,jv_ID,cov 19,cov 19
59,en,jv_ID,cov19,cov19
60,en,jv_ID,COVID,COVID
61,en,jv_ID,COVID-19 crisis,krisis COVID-19
62,en,jv_ID,covid-19,covid-19
63,en,jv_ID,covid19,covid19
64,en,jv_ID,COVID-19 epidemic,wabah COVID-19
65,en,jv_ID,COVID-19 outbreak,kadadeyan linuwih COVID-19
66,en,jv_ID,COVID-19 pandemic,pandemik COVID-19
67,en,jv_ID,COVID 19,COVID 19
68,en,jv_ID,current crisis,krisis wektu iki
69,en,jv_ID,current health crisis,krisis kesehatan wektu iki
70,en,jv_ID,current outbreak,kadadeyan linuwih wektu iki
71,en,jv_ID,current pandemic,pandemik wektu iki
72,en,jv_ID,CV,CV
73,en,jv_ID,CV-19,CV-19
74,en,jv_ID,deadly,mateni
75,en,jv_ID,deadly virus,virus mateni
76,en,jv_ID,death rate,tingkat kepaten
77,en,jv_ID,death toll,korban mati
78,en,jv_ID,decontaminate,menehi disinfektan
79,en,jv_ID,detectable,bisa dilacak
80,en,jv_ID,detergent,detergen
81,en,jv_ID,difficulty breathing,susah ambegan
82,en,jv_ID,diabetes,diabetes
83,en,jv_ID,diagnosable disease,penyakit sing bisa didiagnosa
84,en,jv_ID,diagnostic protocol,protokol diagnosa
85,en,jv_ID,diagnostic testing,nguji diagnosa
86,en,jv_ID,disease itself,penyakit iku dhewe
87,en,jv_ID,disease outbreak,kedadeyan linuwih penyakit
88,en,jv_ID,disinfectant,disinfektan
89,en,jv_ID,disposable,dienggo sepisan
90,en,jv_ID,droplet transmission,nyebar saka cipratan
91,en,jv_ID,droplets,cipratan
92,en,jv_ID,dry cough,watuk garing
93,en,jv_ID,dry surface contamination,kontaminasi lumah garing
94,en,jv_ID,ebola,ebola
95,en,jv_ID,effective treatment,prawatan efektif
96,en,jv_ID,electron microscope,mikroskop elekton
97,en,jv_ID,emergency department,departemen darurat
98,en,jv_ID,epidemic,wabah
99,en,jv_ID,epidemic curve,kurva wabah
100,en,jv_ID,epidemic peak,puncak wabah
101,en,jv_ID,epidemiologist,epidemiologi
102,en,jv_ID,exposure,pangiriman
103,en,jv_ID,extreme caution,bebaya nemen
104,en,jv_ID,eye protection,nglindhungi mripat
105,en,jv_ID,face mask,masker rai
