id,sourceLang,targetLang,sourceString,targetString
1,en,ka_GE,1918 flu,1918 გრიპი
2,en,ka_GE,acute bronchitis,მწვავე ბრონქიტი
3,en,ka_GE,acute respiratory disease,მწვავე რესპირატორული დაავადება
4,en,ka_GE,AIDS,შიდსი
5,en,ka_GE,airborne droplets,ჰაერწვეთოვანი გზით გავრცელება
6,en,ka_GE,airway,სასუნთქი გზები
7,en,ka_GE,alcohol-based,სპირტზე დამზადებული
8,en,ka_GE,alcohol-based hand rub,სპირტზე დამზადებული ხელის დასამუშავებელი საშუალება
9,en,ka_GE,alcohol-based hand sanitizer,სპირტზე დამზადებული ხელის მადეზინფიცირებადი საშუალება
10,en,ka_GE,alveolar disease,ალვეოკოკოზი
11,en,ka_GE,an epidemic,ეპიდემია
12,en,ka_GE,annual flu,ყოველწლიური გრიპი
13,en,ka_GE,anti-inflammatory drug,ანთების საწინაღმდეგო საშუალება
14,en,ka_GE,antiviral drug,ანტივირუსული საშუალება
15,en,ka_GE,antiviral treatment,ანტივირუსული მკურნალობა
16,en,ka_GE,assay,ანალიზი
17,en,ka_GE,asymptomatic,უსიმპტომო
18,en,ka_GE,avian flu,ფრინველის გრიპი
19,en,ka_GE,Black Plague,შავი ჭირი
20,en,ka_GE,blood pressure,სისხლის წნევა
21,en,ka_GE,body fluid,სითხის დონე სხეულში
22,en,ka_GE,breathing,სუნთქვა
23,en,ka_GE,bubonic plague,ბუბონური შავი ჭირი
24,en,ka_GE,c19,c19
25,en,ka_GE,cv19,cv19
26,en,ka_GE,case fatality rate,დაავადების ლეტალურობის მაჩვენებელი
27,en,ka_GE,causative agent,ეტიოლოგიური ფაქტორი
28,en,ka_GE,CDC,დაავადებათა კონტროლის ცენტრი
29,en,ka_GE,chemical disinfection,ქიმიური დეზინფექცია
30,en,ka_GE,chest x-ray,გულმკერდის რენტგენი
31,en,ka_GE,clinical diagnosis,კლინიკური დიაგნოზი
32,en,ka_GE,clinical trial,კლინიკური კვლევა
33,en,ka_GE,close contact,ახლო კონტაქტი
34,en,ka_GE,cvirus,c-ვირუსი
35,en,ka_GE,chronic respiratory disease,ქრონიკული რესპირატორული დაავადება
36,en,ka_GE,common cold,ზედა სასუნთქი გზების ვირუსული ინფექცია
37,en,ka_GE,common flu,ჩვეულებრივი გრიპი
38,en,ka_GE,communicable disease,ინფექციური დაავადება
39,en,ka_GE,community spread,საზოგადოებაში გავრცელება
40,en,ka_GE,community transmission,საზოგადოებაში გადაცემა
41,en,ka_GE,compromised immune system,სუსტი იმუნური სისტემა
42,en,ka_GE,contagion,ინფექციური აგენტი
43,en,ka_GE,contagious,გადამდები
44,en,ka_GE,contagiousness,გადამდებობა
45,en,ka_GE,corona,კორონა
46,en,ka_GE,corona virus,კორონა ვირუსი
47,en,ka_GE,corona virus epidemic,კორონა ვირუსის ეპიდემია
48,en,ka_GE,corona virus outbreak,კორონა ვირუსის ეპიდაფეთქება
49,en,ka_GE,corona virus scare,კორონა ვირუსის შიში
50,en,ka_GE,coronavirus,კორონავირუსი
51,en,ka_GE,coronavirus cases,კორონავირუსის შემთხვევები
52,en,ka_GE,coronavirus outbreak,კორონავირუსის ეპიდაფეთქება
53,en,ka_GE,coronavirus pandemic,კორონავირუსის პანდემია
54,en,ka_GE,coronavirus scare,კორონავირუსის შიში
55,en,ka_GE,cough,ხველა
56,en,ka_GE,cough etiquette,ხველის ეტიკეტი
57,en,ka_GE,coughing,ხველება
58,en,ka_GE,cov 19,cov 19
59,en,ka_GE,cov19,cov19
60,en,ka_GE,COVID,COVID
61,en,ka_GE,COVID-19 crisis,COVID-19-ის კრიზისი
62,en,ka_GE,covid-19,covid-19
