id,sourceLang,targetLang,sourceString,targetString
1,en,kk_KZ,1918 flu,1918 ж. тұмау
2,en,kk_KZ,acute bronchitis,жіті бронхит
3,en,kk_KZ,acute respiratory disease,жіті респираторлық ауру
4,en,kk_KZ,AIDS,ЖҚТБ
5,en,kk_KZ,airborne droplets,ауамен таралатын тамшылар
6,en,kk_KZ,airway,тыныс алу жолдары
7,en,kk_KZ,alcohol-based,құрамында спирт бар
8,en,kk_KZ,alcohol-based hand rub,құрамында спирт бар қолға арналған антисептик
9,en,kk_KZ,alcohol-based hand sanitizer,құрамында спирт бар қолға арналған зарарсыздандырғыш құрал
10,en,kk_KZ,alveolar disease,альвеококкоз
11,en,kk_KZ,an epidemic,эпидемия
12,en,kk_KZ,annual flu,жыл сайынғы тұмау
13,en,kk_KZ,anti-inflammatory drug,қабынуға қарсы дәрі-дәрмектер
14,en,kk_KZ,antiviral drug,вирусқа қарсы дәрі-дәрмектер
15,en,kk_KZ,antiviral treatment,вирусқа қарсы ем
16,en,kk_KZ,assay,тест
17,en,kk_KZ,asymptomatic,асимптомдық
18,en,kk_KZ,avian flu,құс тұмауы
19,en,kk_KZ,Black Plague,оба ауруы
20,en,kk_KZ,blood pressure,қан қысымы
21,en,kk_KZ,body fluid,денедегі сұйықтық
22,en,kk_KZ,breathing,тыныс алу
23,en,kk_KZ,bubonic plague,бубон обасы
24,en,kk_KZ,c19,c19
25,en,kk_KZ,cv19,cv19
26,en,kk_KZ,case fatality rate,өлім-жітім
27,en,kk_KZ,causative agent,ауру қоздырғыш
28,en,kk_KZ,CDC,Ауруды бақылау орталығы
29,en,kk_KZ,chemical disinfection,химиялық зарарсыздандыру
30,en,kk_KZ,chest x-ray,флюорография
31,en,kk_KZ,clinical diagnosis,клиникалық диагноз
32,en,kk_KZ,clinical trial,клиникалық зерттеу
33,en,kk_KZ,close contact,тығыз байланыс
34,en,kk_KZ,cvirus,коронавирус
35,en,kk_KZ,chronic respiratory disease,созылмалы респираторлық ауру
