id,sourceLang,targetLang,sourceString,targetString
1,en,kn_IN,1918 flu,1918 ಪ್ಲೂ
2,en,kn_IN,acute bronchitis,ತೀವ್ರವಾದ ಬ್ರಾಂಕೈಟಿಸ್
3,en,kn_IN,acute respiratory disease,ತೀವ್ರ ಉಸಿರಾಟದ ಕಾಯಿಲೆ
4,en,kn_IN,AIDS,ಏಡ್ಸ್
5,en,kn_IN,airborne droplets,ಏರ್‌ಬೊನ್ ಹನಿಗಳು
6,en,kn_IN,airway,ವಾಯುಮಾರ್ಗ
7,en,kn_IN,alcohol-based,ಆಲ್ಕೋಹಾಲ್-ಆಧಾರಿತ
8,en,kn_IN,alcohol-based hand rub,ಆಲ್ಕೋಹಾಲ್-ಆಧಾರಿತ ಹ್ಯಾಂಡ್ ರಬ್
9,en,kn_IN,alcohol-based hand sanitizer,ಆಲ್ಕೋಹಾಲ್ ಆಧಾರಿತ ಹ್ಯಾಂಡ್ ಸ್ಯಾನಿಟೈಜರ್
10,en,kn_IN,alveolar disease,ಅಲ್ವಿಯೋಲಾರ್ ಕಾಯಿಲೆ
11,en,kn_IN,an epidemic,ಒಂದು ಸಾಂಕ್ರಾಮಿಕ
12,en,kn_IN,annual flu,ವಾರ್ಷಿಕ ಜ್ವರ
13,en,kn_IN,anti-inflammatory drug,ಉರಿಯೂತದ ಔಷಧ
14,en,kn_IN,antiviral drug,ಆಂಟಿವೈರಲ್ ಔಷಧ
15,en,kn_IN,antiviral treatment,ಆಂಟಿವೈರಲ್ ಚಿಕಿತ್ಸೆ
16,en,kn_IN,assay,ಆಸ್ಸೆ
17,en,kn_IN,asymptomatic,ಲಕ್ಷಣರಹಿತ
18,en,kn_IN,avian flu,ಏವಿಯನ್ ಪ್ಲೂ
19,en,kn_IN,Black Plague,ಬ್ಲಾಕ್ ಪ್ಲೇಗ್
20,en,kn_IN,blood pressure,ರಕ್ತದೊತ್ತಡ
21,en,kn_IN,body fluid,ದೇಹದ ದ್ರವ
22,en,kn_IN,breathing,ಉಸಿರಾಡುವಿಕೆ
23,en,kn_IN,bubonic plague,ಬುಬೊನಿಕ್ ಪ್ಲೇಗ್
24,en,kn_IN,c19,c19
25,en,kn_IN,cv19,cv19
26,en,kn_IN,case fatality rate,ಪ್ರಕರಣದ ಮರಣದ ಪ್ರಮಾಣ
27,en,kn_IN,causative agent,ಕಾಸಿಟಿವ್ ಏಜೆಂಟ್
28,en,kn_IN,CDC,CDC
29,en,kn_IN,chemical disinfection,ರಾಸಾಯನಿಕ ಸೋಂಕುಗಳೆತ
30,en,kn_IN,chest x-ray,ಎದೆಯ ಎಕ್ಸ್-ರೇ
31,en,kn_IN,clinical diagnosis,ವೈದ್ಯಕೀಯ ಪರೀಕ್ಷಿಸುವಿಕೆ
32,en,kn_IN,clinical trial,ವೈದ್ಯಕೀಯ ಪ್ರಯೋಗ
33,en,kn_IN,close contact,ನಿಕಟ ಸಂಪರ್ಕ
34,en,kn_IN,cvirus,ಸಿವೈರಸ್
35,en,kn_IN,chronic respiratory disease,ದೀರ್ಘಕಾಲದ ಉಸಿರಾಟದ ಕಾಯಿಲೆ
36,en,kn_IN,common cold,ಸಾಮಾನ್ಯ ನೆಗಡಿ
37,en,kn_IN,common flu,ಸಾಮಾನ್ಯ ಪ್ಲೂ
38,en,kn_IN,communicable disease,ಸಾಂಕ್ರಾಮಿಕ ರೋಗ
39,en,kn_IN,community spread,ಸಮುದಾಯ ಹರಡುವಿಕೆ
40,en,kn_IN,community transmission,ಸಮುದಾಯ ಪ್ರಸರಣ
41,en,kn_IN,compromised immune system,ರಾಜಿ ಮಾಡಿರುವ ಪ್ರತಿರಕ್ಷಣಾ ವ್ಯವಸ್ಥೆ
42,en,kn_IN,contagion,ಅಂಟುರೋಗ
43,en,kn_IN,contagious,ಅಂಟು ರೋಗಗಳು
44,en,kn_IN,contagiousness,ಅಂಟುರೋಗಗಳು
45,en,kn_IN,corona,ಕೊರೊನಾ
46,en,kn_IN,corona virus,ಕೊರೊನಾ ವೈರಸ್
47,en,kn_IN,corona virus epidemic,ಕರೋನಾ ವೈರಸ್ ಸಾಂಕ್ರಾಮಿಕ
48,en,kn_IN,corona virus outbreak,ಕರೋನಾ ವೈರಸ್ ಸ್ಫೋಟೋ
49,en,kn_IN,corona virus scare,ಕರೋನಾ ವೈರಸ್ ಸ್ಫೋಟ
50,en,kn_IN,coronavirus,ಕೊರೊನಾವೈರಸ್
51,en,kn_IN,coronavirus cases,ಕರೋನಾವೈರಸ್ ಪ್ರಕರಣಗಳು
52,en,kn_IN,coronavirus outbreak,ಕೊರೊನಾವೈರಸ್ ಸ್ಫೋಟ
53,en,kn_IN,coronavirus pandemic,ಕರೋನಾವೈರಸ್ ಪಿಡುಗು
54,en,kn_IN,coronavirus scare,ಕರೋನಾವೈರಸ್ ಭೀತಿ
55,en,kn_IN,cough,ಕೆಮ್ಮು
56,en,kn_IN,cough etiquette,ಕೆಮ್ಮಿನ ಶಿಷ್ಟತೆ
57,en,kn_IN,coughing,ಕೆಮ್ಮುವಿಕೆ
58,en,kn_IN,cov 19,ಕೋವ್ 19
59,en,kn_IN,cov19,ಕೋವ್19
60,en,kn_IN,COVID,ಕೋವಿಡ್
61,en,kn_IN,COVID-19 crisis,ಕೋವಿಡ್-19 ಬಿಕ್ಕಟ್ಟು
62,en,kn_IN,covid-19,ಕೋವಿಡ್-19
63,en,kn_IN,covid19,ಕೋವಿಡ್19
64,en,kn_IN,COVID-19 epidemic,ಕೋವಿಡ್-19 ಸಾಂಕ್ರಾಮಿಕ
65,en,kn_IN,COVID-19 outbreak,ಕೋವಿಡ್-19 ಸ್ಫೋಟ
66,en,kn_IN,COVID-19 pandemic,ಕೋವಿಡ್-19 ಪಿಡುಗು
67,en,kn_IN,COVID 19,ಕೋವಿಡ್ 19
68,en,kn_IN,current crisis,ಪ್ರಸ್ತುತ ಬಿಕ್ಕಟ್ಟು
69,en,kn_IN,current health crisis,ಪ್ರಸ್ತುತ ಆರೋಗ್ಯ ಬಿಕ್ಕಟ್ಟು
70,en,kn_IN,current outbreak,ಪ್ರಸ್ತುತ ಸ್ಫೋಟ
71,en,kn_IN,current pandemic,ಪ್ರಸ್ತುತ ಪಿಡುಗು
72,en,kn_IN,CV,CV
73,en,kn_IN,CV-19,CV-19
74,en,kn_IN,deadly,ಮಾರಕ
75,en,kn_IN,deadly virus,ಮಾರಕ ವೈರಸ್
76,en,kn_IN,death rate,ಮರಣ ಪ್ರಮಾಣ
77,en,kn_IN,death toll,ಸಾವಿನ ಸಂಖ್ಯೆ
78,en,kn_IN,decontaminate,ಶುಚಿಗೊಳಿಸು
79,en,kn_IN,detectable,ಪತ್ತೆಹಚ್ಚಬಹುದಾದ
80,en,kn_IN,detergent,ಡಿಟರ್ಜೆಂಟ್
81,en,kn_IN,difficulty breathing,ಉಸಿರಾಟದ ತೊಂದರೆ
82,en,kn_IN,diabetes,ಮಧುಮೇಹ
83,en,kn_IN,diagnosable disease,ರೋಗನಿರ್ಣಯ ಮಾಡಬಹುದಾದ ಕಾಯಿಲೆ
84,en,kn_IN,diagnostic protocol,ರೋಗನಿರ್ಣಯದ ಪ್ರೋಟೋಕಾಲ್
85,en,kn_IN,diagnostic testing,ರೋಗನಿರ್ಣಯದ ಪರೀಕ್ಷೆ
86,en,kn_IN,disease itself,ಸ್ವತಃ ರೋಗ
87,en,kn_IN,disease outbreak,ಕಾಯಿಲೆ ಸ್ಛೋಟ
88,en,kn_IN,disinfectant,ಸೋಂಕುನಿವಾರಕ
89,en,kn_IN,disposable,ವಿಲೇವಾರಿ ಮಾಡಬಹುದಾದ
90,en,kn_IN,droplet transmission,ಹನಿ ಪ್ರಸರಣ
91,en,kn_IN,droplets,ಹನಿಗಳು
92,en,kn_IN,dry cough,ಒಣ ಕೆಮ್ಮು
93,en,kn_IN,dry surface contamination,ಒಣ ಮೇಲ್ಮೈ ಮಾಲಿನ್ಯ
94,en,kn_IN,ebola,ಎಬೋಲಾ
95,en,kn_IN,effective treatment,ಪರಿಣಾಮಕಾರಿ ಚಿಕಿತ್ಸೆ
96,en,kn_IN,electron microscope,ಎಲೆಕ್ಟ್ರಾನ್ ಸೂಕ್ಷ್ಮದರ್ಶಕ
97,en,kn_IN,emergency department,ತುರ್ತುಪರಿಸ್ಥಿತಿ ವಿಭಾಗ
98,en,kn_IN,epidemic,ಸಾಂಕ್ರಾಮಿಕ
99,en,kn_IN,epidemic curve,ಸಾಂಕ್ರಾಮಿಕ ತಿರುವು
100,en,kn_IN,epidemic peak,ಸಾಂಕ್ರಾಮಿಕ ಗರಿಷ್ಠತೆ
101,en,kn_IN,epidemiologist,ಸಾಂಕ್ರಾಮಿಕ ರೋಗಶಾಸ್ತ್ರಜ್ಞ
102,en,kn_IN,exposure,ಒಡ್ಡುವಿಕೆ
103,en,kn_IN,extreme caution,ತೀವ್ರ ಎಚ್ಚರಿಕೆ
104,en,kn_IN,eye protection,ಕಣ್ಣಿನ ರಕ್ಷಣೆ
105,en,kn_IN,face mask,ಮುಖವಾಡ
106,en,kn_IN,face masks,ಮುಖದ ಮುಖವಾಡಗಳು
107,en,kn_IN,family cluster,ಕುಟುಂಬ ಗುಂಪು
108,en,kn_IN,fatality rate,ಮರಣದ ದರ
109,en,kn_IN,fecal contamination,ಮಲದ ಮಾಲಿನ್ಯ
110,en,kn_IN,fever,ಜ್ವರ
111,en,kn_IN,flatten the infection curve,ಸೋಂಕು ರೇಖೆಯನ್ನು ಸಮತಟ್ಟಾಗಿಸಿ
112,en,kn_IN,flu,ಪ್ಲೂ
113,en,kn_IN,food safety,ಆಹಾರ ಸುರಕ್ಷತೆ
114,en,kn_IN,formaldehyde,ಫಾರ್ಮಾಲ್ಡಿಹೈಡ್
115,en,kn_IN,gastroenteritis,ಜಠರದ ಉರಿತ
116,en,kn_IN,germicide,ರೋಗಾಣುನಾಶ
117,en,kn_IN,global pandemic,ಜಾಗತಿಕ ಸಾಂಕ್ರಾಮಿಕ
118,en,kn_IN,global warming,ಜಾಗತಿಕ ತಾಪಮಾನ ಏರಿಕೆ
119,en,kn_IN,good respiratory hygiene,ಉತ್ತಮ ಉಸಿರಾಟದ ನೈರ್ಮಲ್ಯ
120,en,kn_IN,Guangdong,ಗುವಾಂಗ್‌ಡಾಂಗ್
121,en,kn_IN,H1N1,ಹೆಚ್1ಎನ್1
122,en,kn_IN,H1N1 virus,ಹೆಚ್1ಎನ್1 ವೈರಸ್
123,en,kn_IN,hand disinfectant,ಕೈ ಸೋಂಕುನಿವಾರಕ
124,en,kn_IN,hand sanitizer,ಹ್ಯಾಂಡ್ ಸ್ಯಾನಿಟೈಜರ್
125,en,kn_IN,health care provider,ಆರೋಗ್ಯ ರಕ್ಷಣೆ ನೀಡುಗರು
126,en,kn_IN,health crisis,ಆರೋಗ್ಯ ಬಿಕ್ಕಟ್ಟು
127,en,kn_IN,health plan carrier,ಆರೋಗ್ಯ ಯೋಜನೆ ವಾಹಕ
128,en,kn_IN,health services,ಆರೋಗ್ಯ ಸೇವೆಗಳು
129,en,kn_IN,heart failure,ಹೃದಯಾಘಾತ
130,en,kn_IN,high fever,ಹೆಚ್ಚಿನ ಜ್ವರ
131,en,kn_IN,HIV,ಹೆಚ್‌ಐವಿ
132,en,kn_IN,hospitalize,ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲು
133,en,kn_IN,household bleach,ಮನೆಯ ಬ್ಲೀಚ್
134,en,kn_IN,Hubei,ಹುಬೈ
135,en,kn_IN,hydrogen peroxide,ಹೈಡ್ರೋಜನ್ ಪೆರಾಕ್ಸೈಡ್
136,en,kn_IN,hygiene,ನೈರ್ಮಲ್ಯ
137,en,kn_IN,immune system,ಪ್ರತಿರೋಧಕ ವ್ಯವಸ್ಥೆ
138,en,kn_IN,immunity,ಪ್ರತಿರೋಧಕತೆ
