id,sourceLang,targetLang,sourceString,targetString
1,en,lg_UG,1918 flu,Senyiga wa 1918
2,en,lg_UG,acute bronchitis,Oburwadde bwomawugwe
3,en,lg_UG,acute respiratory disease,Oburwade obukwagagana nekubo lyokusizamu
4,en,lg_UG,AIDS,Mukenenya
5,en,lg_UG,airborne droplets,Omatondo agaletebwa nendwadde yomumpewo
6,en,lg_UG,airway,Ekubo lyenyonyi
7,en,lg_UG,alcohol-based,Kivamu mwenge
8,en,lg_UG,alcohol-based hand rub,Kivamu mwenge ngakyakusiga mungalo
9,en,lg_UG,alcohol-based hand sanitizer,Kivamu mwenge ngakita vayirasi mungalo
10,en,lg_UG,alveolar disease,Ndwadde yambusuwa mawugwe
11,en,lg_UG,an epidemic,Endwadde esasanye wano mbitundu
12,en,lg_UG,annual flu,Senyiga womwaka
13,en,lg_UG,anti-inflammatory drug,Edagara erilwanyisa ebyenzisa
14,en,lg_UG,antiviral drug,Edagara erita vayirasi
15,en,lg_UG,antiviral treatment,Enzijanjaba ya vayirasi
16,en,lg_UG,assay,Ebiwandikidwa
17,en,lg_UG,asymptomatic,obubonero
18,en,lg_UG,avian flu,Senyiga webinyonyi
19,en,lg_UG,Black Plague,Endwadde eletebwa ensekele
20,en,lg_UG,blood pressure,Engeri omusayi bwegutambulamu
21,en,lg_UG,body fluid,Amazi gomubiri
22,en,lg_UG,breathing,okusa
23,en,lg_UG,bubonic plague,Oburwadde bwamagumba
24,en,lg_UG,c19,c19
25,en,lg_UG,cv19,cv19
26,en,lg_UG,case fatality rate,Egeri yekizibu bwegenda yeyongera
27,en,lg_UG,causative agent,Ekiletera endwadde
28,en,lg_UG,CDC,CDC
29,en,lg_UG,chemical disinfection,Edagara elita obuwuka
30,en,lg_UG,chest x-ray,Okeberebwa mukifuba
31,en,lg_UG,clinical diagnosis,Okebejebwa mbulwariro obutono
32,en,lg_UG,clinical trial,Okugezako mbulwariro obutono
33,en,lg_UG,close contact,Okuba ngamwelinanye
34,en,lg_UG,cvirus,korona vayirasi
35,en,lg_UG,chronic respiratory disease,Oburwadde bwomawugwe
36,en,lg_UG,common cold,Obunyogovu obwabulijjo
37,en,lg_UG,common flu,Senyiga owabulijjo
38,en,lg_UG,communicable disease,Endwadde namuta
39,en,lg_UG,community spread,Ensansanya mbatuzze
40,en,lg_UG,community transmission,Engeri bwesasana mbatuzze
41,en,lg_UG,compromised immune system,Engeri omubiri bwegwelwanako
42,en,lg_UG,contagion,kontagiyoni
43,en,lg_UG,contagious,bwebukwata
44,en,lg_UG,contagiousness,enkwata
45,en,lg_UG,corona,korona
46,en,lg_UG,corona virus,Korona vayirasi
47,en,lg_UG,corona virus epidemic,Endwadde yakorona vayirasi esasanye
48,en,lg_UG,corona virus outbreak,Endwadde ya korona vayirasi eggude enakku zino
49,en,lg_UG,corona virus scare,Entisa yobulwadde bwa korona vayirasi
50,en,lg_UG,coronavirus,Korona vayirasi
51,en,lg_UG,coronavirus cases,Ensonga ezikwata kukilwadde kya korona vayirasi
52,en,lg_UG,coronavirus outbreak,Endwadde ya korona vayirasi eggude enakku zino
53,en,lg_UG,coronavirus pandemic,Ekilwadde kya korona vayirasi
54,en,lg_UG,coronavirus scare,Entisa yobulwadde bwa korona vayirasi
55,en,lg_UG,cough,kukolora
56,en,lg_UG,cough etiquette,Ekizibu kyokolora
57,en,lg_UG,coughing,okukolora
58,en,lg_UG,cov 19,cov 19
59,en,lg_UG,cov19,cov19
60,en,lg_UG,COVID,COVID
61,en,lg_UG,COVID-19 crisis,Ensasage ya COVID-19
62,en,lg_UG,covid-19,covid-19
63,en,lg_UG,covid19,covid19
64,en,lg_UG,COVID-19 epidemic,Ekilwadde kya COVID -19
65,en,lg_UG,COVID-19 outbreak,Entandikwa ya COVID-19
66,en,lg_UG,COVID-19 pandemic,Obulwadde bwa Covid-19
67,en,lg_UG,COVID 19,COVID 19
68,en,lg_UG,current crisis,Ensasage yakakati
69,en,lg_UG,current health crisis,Ensasage yakakati munsonga yebyebulamu
70,en,lg_UG,current outbreak,Ensasanya yekisera kino
71,en,lg_UG,current pandemic,Ekilwadde kyekisera kino
72,en,lg_UG,CV,CV
73,en,lg_UG,CV-19,CV-19
74,en,lg_UG,deadly,Namutaa
75,en,lg_UG,deadly virus,Vayirasi namutaa
76,en,lg_UG,death rate,Engeri enfa jyetambulamu
77,en,lg_UG,death toll,Abafu benkanaki
78,en,lg_UG,decontaminate,Okwewala okusigibwa
79,en,lg_UG,detectable,Kisoboka okukazura
80,en,lg_UG,detergent,Sabuni ezita obuwukka
81,en,lg_UG,difficulty breathing,Obuzibu mukusa
82,en,lg_UG,diabetes,Endwadde yasukali
83,en,lg_UG,diagnosable disease,Endwadde esoboka okwekebejebwa
84,en,lg_UG,diagnostic protocol,Amakubo mukwekebeja
85,en,lg_UG,diagnostic testing,Engeri yokukebera
86,en,lg_UG,disease itself,Ekilwadde kyenyini
87,en,lg_UG,disease outbreak,Ekilwadde kyekisera kino
88,en,lg_UG,disinfectant,Ekitaa obuwukka
89,en,lg_UG,disposable,Kisulibwa oluvanyuma yokukozesebwa
90,en,lg_UG,droplet transmission,Engeri yensansanya yebivambantu nga byamatondo
91,en,lg_UG,droplets,amatondo
92,en,lg_UG,dry cough,Okukorola ngakukalu
93,en,lg_UG,dry surface contamination,Okusigibwa ngakuva mbifo ebikalu
94,en,lg_UG,ebola,ebola
95,en,lg_UG,effective treatment,Enzijanjaba entufu
96,en,lg_UG,electron microscope,Ekyuma ekyekebeja
97,en,lg_UG,emergency department,Ekitundu ekikwatibwa kunsonga ezikudewo ngazamangu
98,en,lg_UG,epidemic,Ensasanya
99,en,lg_UG,epidemic curve,Engeri ensasana bweri
100,en,lg_UG,epidemic peak,Wa ensasana wetuse
101,en,lg_UG,epidemiologist,Ajanjaba ebyamaso
102,en,lg_UG,exposure,Okwemanyiza
103,en,lg_UG,extreme caution,Okulabula okwamanyi
104,en,lg_UG,eye protection,Okukuma amaso
105,en,lg_UG,face mask,Masiki ebika fesii
106,en,lg_UG,face masks,Masiki zomu fesii
107,en,lg_UG,family cluster,Ebibinja byomumaka
108,en,lg_UG,fatality rate,Egeri yekizibu bwegenda yeyongera
109,en,lg_UG,fecal contamination,Eneri bwekisigibwa mu fesii
110,en,lg_UG,fever,omusujja
111,en,lg_UG,flatten the infection curve,Kendeza kunkwatibwa kwekilwadde
112,en,lg_UG,flu,senyiga
113,en,lg_UG,food safety,Enkuma yemere enungi
114,en,lg_UG,formaldehyde,formaldehyde
115,en,lg_UG,gastroenteritis,gastroenteritis
116,en,lg_UG,germicide,Ekita obuwukka
117,en,lg_UG,global pandemic,Ekilwadde kunsiyona
118,en,lg_UG,global warming,Ebugumu kunsiyona
119,en,lg_UG,good respiratory hygiene,Engeri enungi eyokukuma enzisayo
120,en,lg_UG,Guangdong,Guangdong
121,en,lg_UG,H1N1,H1N1
122,en,lg_UG,H1N1 virus,H1N1 vayirasi
123,en,lg_UG,hand disinfectant,Ekita obuwuka bwomungaro
124,en,lg_UG,hand sanitizer,Ekita vayirasi yomungaro
125,en,lg_UG,health care provider,Akwasibwako ensonga yebyobulamu
126,en,lg_UG,health crisis,Ensasage mbyobulamu
127,en,lg_UG,health plan carrier,Engeri ku pulani yentambuza kubyobulamu
128,en,lg_UG,health services,Empereza kubyobulamu
129,en,lg_UG,heart failure,Omutima okulemererwa okukola
130,en,lg_UG,high fever,Omusujja omunji
131,en,lg_UG,HIV,Akawuka akaleta obulwadde bwasilimu
