id,sourceLang,targetLang,sourceString,targetString
1,en,lo_LA,1918 flu,ໄຂ້ຫວັດໃຫຍ່ປີ 1918
2,en,lo_LA,acute bronchitis,ອັກເສບປອດຮຸນແຮງ
3,en,lo_LA,acute respiratory disease,ພະຍາດທາງເດີນຫາຍໃຈຮຸນແຮງ
4,en,lo_LA,AIDS,AIDS
5,en,lo_LA,airborne droplets,ລະອອງນ້ຳໃນອາກາດ
6,en,lo_LA,airway,ທາງອາກາດ
7,en,lo_LA,alcohol-based,ສານເຫຼົ້າ
8,en,lo_LA,alcohol-based hand rub,ນ້ຳຢາລ້າງມືທີ່ມີສານເຫຼົ້າ
9,en,lo_LA,alcohol-based hand sanitizer,ເຈວລ້າງມືທີ່ມີສານເຫຼົ້າ
10,en,lo_LA,alveolar disease,ພະຍາດຖົງລົມ
11,en,lo_LA,an epidemic,ໂຣກລະບາດ
12,en,lo_LA,annual flu,ໄຂ້ຫວັດປະຈຳປີ
13,en,lo_LA,anti-inflammatory drug,ຢາປ້ອງກັນການອັກເສບ
14,en,lo_LA,antiviral drug,ຢາປ້ອງກັນໄວຣັສ
15,en,lo_LA,antiviral treatment,ການປິ່ນປົວດ້ວຍຢາປ້ອງກັນໄວຣັສ
16,en,lo_LA,assay,ການທົດສອບ
17,en,lo_LA,asymptomatic,ບໍ່ສະແດງອາການ
18,en,lo_LA,avian flu,ໄຂ້ຫວັດນົກ
19,en,lo_LA,Black Plague,ໂຣກລະບາດແບັກເພລກິວ
20,en,lo_LA,blood pressure,ຄວາມດັນເລືອດ
21,en,lo_LA,body fluid,ຂອງແຫຼວໃນຮ່າງກາຍ
22,en,lo_LA,breathing,ການຫາຍໃຈ
23,en,lo_LA,bubonic plague,ໂຣກລະບາດບູໂບນິກ
24,en,lo_LA,c19,c19
25,en,lo_LA,cv19,cv19
26,en,lo_LA,case fatality rate,ອັດຕາກໍລະນີເສຍຊີວິດ
27,en,lo_LA,causative agent,ຕົ້ນກຳເນີດສາເຫດ
28,en,lo_LA,CDC,CDC
29,en,lo_LA,chemical disinfection,ການຂ້າເຊື້ອດ້ວຍສານເຄມີ
30,en,lo_LA,chest x-ray,ສ່ອງໄຟເອັກຊະເຣໜ້າເອີກ
31,en,lo_LA,clinical diagnosis,ການບົ່ງມະຕິທາງການແພດ
32,en,lo_LA,clinical trial,ການທົດລອງທາງການແພດ
33,en,lo_LA,close contact,ສຳຜັດໃກ້ຊິດ
34,en,lo_LA,cvirus,ຊີໄວຣັສ
35,en,lo_LA,chronic respiratory disease,ພະຍາດທາງເດີນຫາຍໃຈຊຳເຮື້ອ
36,en,lo_LA,common cold,ໄຂ້ຫວັດທົ່ວໄປ
37,en,lo_LA,common flu,ໄຂ້ຫວັດໃຫຍ່ທົ່ວໄປ
38,en,lo_LA,communicable disease,ພະຍາດຕິດຕໍ່
39,en,lo_LA,community spread,ແຜ່ເຊື້ອເຂົ້າສູ່ຊຸມຊົນ
40,en,lo_LA,community transmission,ການສົ່ງຕໍ່ເຊື້ອເຂົ້າສູ່ຊຸມຊົນ
41,en,lo_LA,compromised immune system,ລະບົບພູມຕ້ານທານຫຼຸດນ້ອຍລົງ
42,en,lo_LA,contagion,ການຕິດເຊື້ອພະຍາດ
43,en,lo_LA,contagious,ຕິດເຊື້ອພະຍາດ
44,en,lo_LA,contagiousness,ຕິດເຊື້ອພະຍາດເປັນຈຳນວນຫຼາຍ
45,en,lo_LA,corona,ໂຄໂຣນາ
46,en,lo_LA,corona virus,ໄວຣັສ ໂຄໂຣນາ
47,en,lo_LA,corona virus epidemic,ໂຣກລະບາດໄວຣັສ ໂຄໂຣນາ
48,en,lo_LA,corona virus outbreak,ການລະບາດຂອງໄວຣັສ ໂຄໂຣນາ
49,en,lo_LA,corona virus scare,ອາການຢ້ານໄວຣັສ ໂຄໂຣນາ
50,en,lo_LA,coronavirus,ໄວຣັສໂຄໂຣນາ
51,en,lo_LA,coronavirus cases,ກໍລະນີຕິດເຊື້ອໄວຣັສໂຄໂຣນາ
52,en,lo_LA,coronavirus outbreak,ການລະບາດຂອງໄວຣັສໂຄໂຣນາ
53,en,lo_LA,coronavirus pandemic,ການລະບາດໃຫຍ່ຂອງໄວຣັສໂຄໂຣນາ
54,en,lo_LA,coronavirus scare,ອາການຢ້ານໄວຣັສໂຄໂຣນາ
55,en,lo_LA,cough,ອາການໄອ
56,en,lo_LA,cough etiquette,ມາລະຍາດໃນການໄອ
57,en,lo_LA,coughing,ໄອ
