id,sourceLang,targetLang,sourceString,targetString
1,en,lt_LT,1918 flu,1918 m. gripas
2,en,lt_LT,acute bronchitis,ūminis bronchitas
3,en,lt_LT,acute respiratory disease,ūminė kvėpavimo takų liga
4,en,lt_LT,AIDS,AIDS
5,en,lt_LT,airborne droplets,ore esantys oro lašeliai
6,en,lt_LT,airway,kvėpavimo takai
7,en,lt_LT,alcohol-based,alkoholio pagrindu
8,en,lt_LT,alcohol-based hand rub,rankų valiklis alkoholio pagrindu
9,en,lt_LT,alcohol-based hand sanitizer,rankų dezinfekcinė priemonė alkoholio pagrindu
10,en,lt_LT,alveolar disease,alveolių liga
11,en,lt_LT,an epidemic,epidemija
12,en,lt_LT,annual flu,kasmetinis gripas
13,en,lt_LT,anti-inflammatory drug,priešuždegiminis vaistas
14,en,lt_LT,antiviral drug,antivirusinis vaistas
15,en,lt_LT,antiviral treatment,antivirusinis gydymas
16,en,lt_LT,assay,tyrimas
17,en,lt_LT,asymptomatic,besimptomis
18,en,lt_LT,avian flu,paukščių gripas
19,en,lt_LT,Black Plague,Juodasis maras
20,en,lt_LT,blood pressure,kraujo spaudimas
21,en,lt_LT,body fluid,kūno skystis
22,en,lt_LT,breathing,kvėpavimas
23,en,lt_LT,bubonic plague,buboninis maras
24,en,lt_LT,c19,c19
25,en,lt_LT,cv19,cv19
26,en,lt_LT,case fatality rate,atvejų mirtingumo koeficientas
27,en,lt_LT,causative agent,sukėlėjas
28,en,lt_LT,CDC,CDC
29,en,lt_LT,chemical disinfection,cheminė dezinfekcija
30,en,lt_LT,chest x-ray,krūtinės ląstos rentgenas
31,en,lt_LT,clinical diagnosis,klinikinė diagnozė
32,en,lt_LT,clinical trial,klinikinis tyrimas
33,en,lt_LT,close contact,artimas kontaktas
34,en,lt_LT,cvirus,C virusas
35,en,lt_LT,chronic respiratory disease,lėtinė kvėpavimo takų liga
36,en,lt_LT,common cold,įprastas peršalimas
37,en,lt_LT,common flu,įprastas gripas
38,en,lt_LT,communicable disease,užkrečiama liga
39,en,lt_LT,community spread,paplitimas bendruomenėje
40,en,lt_LT,community transmission,perdavimas bendruomenėje
41,en,lt_LT,compromised immune system,pažeista imuninė sistema
42,en,lt_LT,contagion,užkratas
43,en,lt_LT,contagious,užkrečiama
44,en,lt_LT,contagiousness,užkrečiamumas
45,en,lt_LT,corona,korona
46,en,lt_LT,corona virus,koronavirusas
47,en,lt_LT,corona virus epidemic,koronaviruso epidemija
