id,sourceLang,targetLang,sourceString,targetString
1,en,lv_LV,1918 flu,1918. gada gripa
2,en,lv_LV,acute bronchitis,akūts bronhīts
3,en,lv_LV,acute respiratory disease,akūta respiratora slimība
4,en,lv_LV,AIDS,AIDS
5,en,lv_LV,airborne droplets,gaisa pilieni
6,en,lv_LV,airway,elpceļš
7,en,lv_LV,alcohol-based,spirta bāzes
8,en,lv_LV,alcohol-based hand rub,spirta bāzes roku dezinfekcijas līdzeklis
9,en,lv_LV,alcohol-based hand sanitizer,spirta bāzes roku dezinfekcijas līdzeklis
10,en,lv_LV,alveolar disease,alveolāra slimība
11,en,lv_LV,an epidemic,epidēmija
12,en,lv_LV,annual flu,ikgadēja gripa
13,en,lv_LV,anti-inflammatory drug,pretiekaisuma zāles
14,en,lv_LV,antiviral drug,pretvīrusu zāles
15,en,lv_LV,antiviral treatment,pretvīrusu ārstēšana
16,en,lv_LV,assay,pārbaude
17,en,lv_LV,asymptomatic,asimptomātisks
18,en,lv_LV,avian flu,putnu gripa
19,en,lv_LV,Black Plague,Melnā nāve
20,en,lv_LV,blood pressure,asinsspiediens
21,en,lv_LV,body fluid,ķermeņa šķidrumi
22,en,lv_LV,breathing,elpošana
23,en,lv_LV,bubonic plague,buboņu mēris
24,en,lv_LV,c19,c19
25,en,lv_LV,cv19,cv19
26,en,lv_LV,case fatality rate,mirstības rādītāji
27,en,lv_LV,causative agent,ierosinātājs
28,en,lv_LV,CDC,CDC
29,en,lv_LV,chemical disinfection,ķīmiska dezinficēšana
30,en,lv_LV,chest x-ray,krūšu rentgens
31,en,lv_LV,clinical diagnosis,klīniska diagnoze
32,en,lv_LV,clinical trial,klīnisks izmēģinājums
33,en,lv_LV,close contact,tuvs kontakts
34,en,lv_LV,cvirus,c vīruss
35,en,lv_LV,chronic respiratory disease,hroniska respiratora slimība
36,en,lv_LV,common cold,saaukstēšanās
37,en,lv_LV,common flu,gripa
38,en,lv_LV,communicable disease,infekcijas slimība
39,en,lv_LV,community spread,izplatība kopienā
40,en,lv_LV,community transmission,pārnese kopienā
41,en,lv_LV,compromised immune system,novājināta imūnsistēma
42,en,lv_LV,contagion,infekcija
43,en,lv_LV,contagious,infekciozs
44,en,lv_LV,contagiousness,infekciozitāte
45,en,lv_LV,corona,korona
46,en,lv_LV,corona virus,koronavīruss
47,en,lv_LV,corona virus epidemic,koronavīrusa epidēmija
48,en,lv_LV,corona virus outbreak,koronavīrusa uzliesmojums
49,en,lv_LV,corona virus scare,bailes no koronavīrusa
50,en,lv_LV,coronavirus,koronavīruss
51,en,lv_LV,coronavirus cases,koronavīrusa gadījumi
52,en,lv_LV,coronavirus outbreak,koronavīrusa uzliesmojums
53,en,lv_LV,coronavirus pandemic,koronavīrusa pandēmija
54,en,lv_LV,coronavirus scare,bailes no koronavīrusa
55,en,lv_LV,cough,klepus
56,en,lv_LV,cough etiquette,klepošanas etiķete
57,en,lv_LV,coughing,klepošana
58,en,lv_LV,cov 19,cov 19
59,en,lv_LV,cov19,cov19
60,en,lv_LV,COVID,COVID
61,en,lv_LV,COVID-19 crisis,COVID-19 krīze
62,en,lv_LV,covid-19,covid-19
63,en,lv_LV,covid19,covid19
64,en,lv_LV,COVID-19 epidemic,COVID-19 epidēmija
65,en,lv_LV,COVID-19 outbreak,COVID-19 uzliesmojums
66,en,lv_LV,COVID-19 pandemic,COVID-19 pandēmija
67,en,lv_LV,COVID 19,COVID 19
68,en,lv_LV,current crisis,pašreizējā krīze
69,en,lv_LV,current health crisis,pašreizējā veselības aprūpes nozares krīze
70,en,lv_LV,current outbreak,pašreizējais uzliesmojums
71,en,lv_LV,current pandemic,pašreizējā pandēmija
72,en,lv_LV,CV,CV
73,en,lv_LV,CV-19,CV-19
74,en,lv_LV,deadly,nāvējošs
75,en,lv_LV,deadly virus,nāvējošs vīruss
76,en,lv_LV,death rate,mirstības līmenis
77,en,lv_LV,death toll,nāves gadījumu skaits
78,en,lv_LV,decontaminate,dezinficēt
79,en,lv_LV,detectable,nosakāms
80,en,lv_LV,detergent,mazgāšanas līdzeklis
81,en,lv_LV,difficulty breathing,apgrūtināta elpošana
82,en,lv_LV,diabetes,diabēts
83,en,lv_LV,diagnosable disease,diagnosticējama slimība
84,en,lv_LV,diagnostic protocol,diagnostikas protokols
85,en,lv_LV,diagnostic testing,diagnostiskā testēšana
86,en,lv_LV,disease itself,pati slimība
87,en,lv_LV,disease outbreak,slimības uzliesmojums
88,en,lv_LV,disinfectant,dezinfekcijas līdzeklis
89,en,lv_LV,disposable,vienreizlietojams
90,en,lv_LV,droplet transmission,izplatība pilienu veidā
91,en,lv_LV,droplets,pilieni
92,en,lv_LV,dry cough,sauss klepus
93,en,lv_LV,dry surface contamination,sausas virsmas kontaminācija
94,en,lv_LV,ebola,ebola
95,en,lv_LV,effective treatment,efektīva ārstēšana
96,en,lv_LV,electron microscope,elektronmikroskops
97,en,lv_LV,emergency department,neatliekamās palīdzības dienests
98,en,lv_LV,epidemic,epidēmija
99,en,lv_LV,epidemic curve,epidēmijas līkne
100,en,lv_LV,epidemic peak,epidēmijas pīķis
101,en,lv_LV,epidemiologist,epidemiologs
102,en,lv_LV,exposure,iedarbība
103,en,lv_LV,extreme caution,īpaša piesardzība
104,en,lv_LV,eye protection,acu aizsardzība
105,en,lv_LV,face mask,sejas maska
106,en,lv_LV,face masks,sejas maskas
107,en,lv_LV,family cluster,ģimeņu kopa
