id,sourceLang,targetLang,sourceString,targetString
1,en,mk_MK,1918 flu,Грип од 1918 година
2,en,mk_MK,acute bronchitis,акутен борнхит
3,en,mk_MK,acute respiratory disease,акутно респираторно заболување
4,en,mk_MK,AIDS,СИДА
5,en,mk_MK,airborne droplets,капки во воздухот
6,en,mk_MK,airway,дишен пат
7,en,mk_MK,alcohol-based,алкохолно
8,en,mk_MK,alcohol-based hand rub,алкохолно средство за раце
9,en,mk_MK,alcohol-based hand sanitizer,алкохолно дезинфекциско средство за рацете
10,en,mk_MK,alveolar disease,алвеоларно заболување
11,en,mk_MK,an epidemic,епидемија
12,en,mk_MK,annual flu,сезонски грип
13,en,mk_MK,anti-inflammatory drug,лек против воспаленија
14,en,mk_MK,antiviral drug,лек против вирус
15,en,mk_MK,antiviral treatment,третман против вирус
16,en,mk_MK,assay,анализа
17,en,mk_MK,asymptomatic,асимптоматично
18,en,mk_MK,avian flu,птичји грип
19,en,mk_MK,Black Plague,Црна чума
20,en,mk_MK,blood pressure,крвен притисок
21,en,mk_MK,body fluid,телесна течност
22,en,mk_MK,breathing,дишење
23,en,mk_MK,bubonic plague,Бубонска чума
24,en,mk_MK,c19,c19
25,en,mk_MK,cv19,cv19
26,en,mk_MK,case fatality rate,стапка на фаталност на случаи
27,en,mk_MK,causative agent,каузативен агенс
28,en,mk_MK,CDC,CDC
29,en,mk_MK,chemical disinfection,хемиска дезинфекција
30,en,mk_MK,chest x-ray,рендген на гради
31,en,mk_MK,clinical diagnosis,клиничка дијагноза
32,en,mk_MK,clinical trial,клиничко испитување
33,en,mk_MK,close contact,близок контакт
34,en,mk_MK,cvirus,к-вирус
35,en,mk_MK,chronic respiratory disease,хронично респираторно заболување
36,en,mk_MK,common cold,обична настинка
37,en,mk_MK,common flu,обичен грип
38,en,mk_MK,communicable disease,заразно заболување
39,en,mk_MK,community spread,ширење во заедницата
40,en,mk_MK,community transmission,пренесување во заедницата
41,en,mk_MK,compromised immune system,нарушен имунолошки систем
42,en,mk_MK,contagion,зараза
43,en,mk_MK,contagious,заразно
44,en,mk_MK,contagiousness,заразност
45,en,mk_MK,corona,корона
46,en,mk_MK,corona virus,коронавирус
47,en,mk_MK,corona virus epidemic,епидемија на коронавирус
48,en,mk_MK,corona virus outbreak,епидемија на коронавирус
49,en,mk_MK,corona virus scare,страв од коронавирус
50,en,mk_MK,coronavirus,коронавирус
51,en,mk_MK,coronavirus cases,случаи на коронавирус
52,en,mk_MK,coronavirus outbreak,епидемија на коронавирус
53,en,mk_MK,coronavirus pandemic,пандемија на коронавирус
54,en,mk_MK,coronavirus scare,страв од коронавирус
55,en,mk_MK,cough,кашлица
56,en,mk_MK,cough etiquette,бонтон за кашлање
57,en,mk_MK,coughing,кашлање
58,en,mk_MK,cov 19,cov 19
59,en,mk_MK,cov19,cov19
60,en,mk_MK,COVID,COVID
61,en,mk_MK,COVID-19 crisis,криза со COVID-19
62,en,mk_MK,covid-19,covid-19
63,en,mk_MK,covid19,covid19
64,en,mk_MK,COVID-19 epidemic,епидемија на COVID-19
65,en,mk_MK,COVID-19 outbreak,епидемија на COVID-19
66,en,mk_MK,COVID-19 pandemic,пандемија на COVID-19
67,en,mk_MK,COVID 19,COVID 19
68,en,mk_MK,current crisis,моментална криза
69,en,mk_MK,current health crisis,моментална здравствена криза
70,en,mk_MK,current outbreak,моментална епидемија
71,en,mk_MK,current pandemic,моментална пандемија
72,en,mk_MK,CV,CV
73,en,mk_MK,CV-19,CV-19
74,en,mk_MK,deadly,смртоносно
75,en,mk_MK,deadly virus,смртоносен вирус
76,en,mk_MK,death rate,стапка на смртност
77,en,mk_MK,death toll,број на смртни случаи
78,en,mk_MK,decontaminate,деконтаминирај
79,en,mk_MK,detectable,забележлив
80,en,mk_MK,detergent,детергент
81,en,mk_MK,difficulty breathing,тешкотии со дишењето
82,en,mk_MK,diabetes,дијабетес
83,en,mk_MK,diagnosable disease,дијагностицирачко заболување
84,en,mk_MK,diagnostic protocol,дијагностички протокол
85,en,mk_MK,diagnostic testing,дијагностичко тестирање
86,en,mk_MK,disease itself,самото заболување
87,en,mk_MK,disease outbreak,епидемија на заболување
88,en,mk_MK,disinfectant,средство за дезинфекција
89,en,mk_MK,disposable,за една употреба
90,en,mk_MK,droplet transmission,пренос на капки
91,en,mk_MK,droplets,капки
92,en,mk_MK,dry cough,сува кашлица
93,en,mk_MK,dry surface contamination,контаминација на сува површина
94,en,mk_MK,ebola,ебола
95,en,mk_MK,effective treatment,ефективен третман
96,en,mk_MK,electron microscope,електронски микроскоп
97,en,mk_MK,emergency department,оддел за итни случаи
98,en,mk_MK,epidemic,епидемија
99,en,mk_MK,epidemic curve,крива на епидемија
100,en,mk_MK,epidemic peak,врв на епидемија
101,en,mk_MK,epidemiologist,епидемиолог
102,en,mk_MK,exposure,изложеност
103,en,mk_MK,extreme caution,крајна претпазливост
104,en,mk_MK,eye protection,заштита на очите
105,en,mk_MK,face mask,маска за лице
106,en,mk_MK,face masks,маски за лице
107,en,mk_MK,family cluster,семејна група
108,en,mk_MK,fatality rate,стапка на фаталност
109,en,mk_MK,fecal contamination,фекална контаминација
110,en,mk_MK,fever,грозница
111,en,mk_MK,flatten the infection curve,опаѓање на крива на инфекција
112,en,mk_MK,flu,грип
113,en,mk_MK,food safety,безбедност на храна
114,en,mk_MK,formaldehyde,формалдехид
115,en,mk_MK,gastroenteritis,гастроентерит
116,en,mk_MK,germicide,гермицид
117,en,mk_MK,global pandemic,глобална пандемија
118,en,mk_MK,global warming,глобално затоплување
119,en,mk_MK,good respiratory hygiene,добра респираторна хигиена
120,en,mk_MK,Guangdong,Гуангдонг
121,en,mk_MK,H1N1,H1N1
122,en,mk_MK,H1N1 virus,вирус H1N1
123,en,mk_MK,hand disinfectant,средство за дезинфекција на рацете
124,en,mk_MK,hand sanitizer,дезинфекциско средство за рацете
125,en,mk_MK,health care provider,давател на здравствена нега
126,en,mk_MK,health crisis,здравствена криза
127,en,mk_MK,health plan carrier,носител на здравствена нега
128,en,mk_MK,health services,здравствени услуги
129,en,mk_MK,heart failure,срцева слабост
130,en,mk_MK,high fever,висока грозница
131,en,mk_MK,HIV,ХИВ
132,en,mk_MK,hospitalize,хоспитализирај
133,en,mk_MK,household bleach,белило за домаќинство
134,en,mk_MK,Hubei,Hubei
135,en,mk_MK,hydrogen peroxide,хидроген пероксид
136,en,mk_MK,hygiene,хигиена
137,en,mk_MK,immune system,имунолошки систем
138,en,mk_MK,immunity,имунитет
139,en,mk_MK,immunocompromised,имунолошко нарушување
140,en,mk_MK,immunologist,имунолог
141,en,mk_MK,incubation,инкубација
142,en,mk_MK,incubation period,период на инкубација
143,en,mk_MK,indirect contact,индиректен контакт
144,en,mk_MK,infect,зарази
145,en,mk_MK,infection,зараза
146,en,mk_MK,infectious,заразно
147,en,mk_MK,infectivity,заразност
148,en,mk_MK,influenza,инфлуенца
149,en,mk_MK,initial transmission event,настан на првично пренесување
150,en,mk_MK,intensive care equipment,опрема за интензивна нега
151,en,mk_MK,intermediate host,непосреден домаќин
152,en,mk_MK,intrauterine,внатре матерично
153,en,mk_MK,intubation,интубација
154,en,mk_MK,isolation,изолација
155,en,mk_MK,Isopropanol,изопропанол
156,en,mk_MK,laboratory test kit,лабораториски тест комплет
157,en,mk_MK,laboratory testing,лабораториско тестирање
158,en,mk_MK,lack of testing,недостиг од тестирање
159,en,mk_MK,lack of tests,недостиг од тестови
160,en,mk_MK,latest updates,најнови настани
161,en,mk_MK,liver failure,срцева на црниот дроб
162,en,mk_MK,local public health authority,локални јавни здравствени власти
163,en,mk_MK,lockdown,тотално затворање
164,en,mk_MK,lungs,бели дробови
165,en,mk_MK,masks,маски
166,en,mk_MK,measles,сипаници
