id,sourceLang,targetLang,sourceString,targetString
1,en,ml_IN,1918 flu,1918 ഫ്ലൂ
2,en,ml_IN,acute bronchitis,അക്യൂട്ട് ബ്രോങ്കൈറ്റിസ്
3,en,ml_IN,acute respiratory disease,ഗുരുതര ശ്വസന സംബന്ധമായ രോഗം
4,en,ml_IN,AIDS,എയ്‌ഡ്‌സ്
5,en,ml_IN,airborne droplets,വായുവിലുള്ള കണികകൾ
6,en,ml_IN,airway,വായുമാർഗ്ഗം
7,en,ml_IN,alcohol-based,ആൽക്കഹോൾ അധിഷ്‌ഠിതം
8,en,ml_IN,alcohol-based hand rub,ആൽക്കഹോൾ അടങ്ങിയ ഹാൻഡ് റബ്ബ്
9,en,ml_IN,alcohol-based hand sanitizer,ആൽക്കഹോൾ അടങ്ങിയ ഹാൻഡ് സാനിറ്റൈസർ
10,en,ml_IN,alveolar disease,ആൽവിയോളർ രോഗം
11,en,ml_IN,an epidemic,സാംക്രമികരോഗം
12,en,ml_IN,annual flu,വാർഷിക ഫ്ലൂ
13,en,ml_IN,anti-inflammatory drug,ആന്റി-ഇൻഫ്ലമേറ്ററി ഡ്രഗ്
14,en,ml_IN,antiviral drug,ആന്റിവൈറൽ മരുന്ന്
15,en,ml_IN,antiviral treatment,ആന്റിവൈറൽ ചികിത്സ
16,en,ml_IN,assay,പരിശോധന
17,en,ml_IN,asymptomatic,പ്രകടമായ ലക്ഷണമില്ലാത്തത്
18,en,ml_IN,avian flu,പക്ഷിപ്പനി
19,en,ml_IN,Black Plague,ബ്ലാക്ക് പ്ലേഗ്
20,en,ml_IN,blood pressure,രക്ത സമ്മർദ്ദം
21,en,ml_IN,body fluid,ശരീര സ്രവം
22,en,ml_IN,breathing,ശ്വസനം
23,en,ml_IN,bubonic plague,ബബോണിക് പ്ലേഗ്
24,en,ml_IN,c19,c19
25,en,ml_IN,cv19,cv19
26,en,ml_IN,case fatality rate,മരണ നിരക്ക് അനുപാതം
27,en,ml_IN,causative agent,രോഗത്തിന് കാരണമാകുന്ന ഏജന്റ്
28,en,ml_IN,CDC,CDC
29,en,ml_IN,chemical disinfection,രാസ അണുനാശിനികൾ
30,en,ml_IN,chest x-ray,നെഞ്ചിന്റെ എക്‌സ്‌-റേ
31,en,ml_IN,clinical diagnosis,ക്ലിനിക്കൽ രോഗനിർണ്ണയം
32,en,ml_IN,clinical trial,ക്ലിനിക്കൽ ട്രയൽ
33,en,ml_IN,close contact,അടുത്ത സമ്പർക്കം
34,en,ml_IN,cvirus,cvirus
35,en,ml_IN,chronic respiratory disease,ഗുരുതര ശ്വസന സംബന്ധമായ രോഗം
36,en,ml_IN,common cold,സാധാരണ ജലദോഷം
37,en,ml_IN,common flu,സാധാരണ ഫ്ലൂ
38,en,ml_IN,communicable disease,പകർച്ചവ്യാധി
39,en,ml_IN,community spread,സാമൂഹിക വ്യാപനം
40,en,ml_IN,community transmission,സമൂഹ വ്യാപനം
41,en,ml_IN,compromised immune system,കുറഞ്ഞ പ്രതിരോധ ശേഷി
42,en,ml_IN,contagion,പകർച്ചവ്യാധി
43,en,ml_IN,contagious,സാംക്രമിക രോഗം
44,en,ml_IN,contagiousness,സാംക്രമികം
45,en,ml_IN,corona,കൊറോണ
46,en,ml_IN,corona virus,കൊറോണ വൈറസ്
47,en,ml_IN,corona virus epidemic,കൊറോണ വൈറസ് മഹാമാരി
48,en,ml_IN,corona virus outbreak,കൊറോണ വൈറസ് വ്യാപനം
49,en,ml_IN,corona virus scare,കൊറോണ വൈറസ് ഭയം
50,en,ml_IN,coronavirus,കൊറോണ വൈറസ്
51,en,ml_IN,coronavirus cases,കൊറോണ വൈറസ് കേസുകൾ
52,en,ml_IN,coronavirus outbreak,കൊറോണ വൈറസ് വ്യാപനം
53,en,ml_IN,coronavirus pandemic,കൊറോണ വൈറസ് പകർച്ചവ്യാധി
54,en,ml_IN,coronavirus scare,കൊറോണ വൈറസ് ഭയം
55,en,ml_IN,cough,ചുമ
56,en,ml_IN,cough etiquette,ചുമയ്‌ക്കുമ്പോൾ ചെയ്യേണ്ട കാര്യങ്ങൾ
57,en,ml_IN,coughing,ചുമയ്‌ക്കൽ
58,en,ml_IN,cov 19,cov 19
59,en,ml_IN,cov19,cov19
60,en,ml_IN,COVID,കോവിഡ്
61,en,ml_IN,COVID-19 crisis,കോവിഡ്-19 പ്രതിസന്ധി
62,en,ml_IN,covid-19,കോവിഡ്-19
63,en,ml_IN,covid19,കോവിഡ്19
64,en,ml_IN,COVID-19 epidemic,കോവിഡ്-19 സാംക്രമികരോഗം
65,en,ml_IN,COVID-19 outbreak,കോവിഡ്-19 വ്യാപനം
66,en,ml_IN,COVID-19 pandemic,കോവിഡ്-19 പകർച്ചവ്യാധി
67,en,ml_IN,COVID 19,കോവിഡ് 19
68,en,ml_IN,current crisis,നിലവിലെ പ്രതിസന്ധി
69,en,ml_IN,current health crisis,നിലവിലെ ആരോഗ്യ പ്രതിസന്ധി
70,en,ml_IN,current outbreak,നിലവിലെ വ്യാപനം
71,en,ml_IN,current pandemic,നിലവിലെ പകർച്ചവ്യാധി
72,en,ml_IN,CV,CV
73,en,ml_IN,CV-19,CV-19
74,en,ml_IN,deadly,മാരകം
75,en,ml_IN,deadly virus,മാരകമായ വൈറസ്
76,en,ml_IN,death rate,മരണ നിരക്ക്
77,en,ml_IN,death toll,മരണ സംഖ്യ
78,en,ml_IN,decontaminate,ശുദ്ധീകരിക്കുക
79,en,ml_IN,detectable,കണ്ടെത്താനാകുന്നത്
80,en,ml_IN,detergent,ഡിറ്റർജന്റ്
81,en,ml_IN,difficulty breathing,ശ്വസിക്കുന്നതിൽ ബുദ്ധിമുട്ട്
82,en,ml_IN,diabetes,പ്രമേഹം
83,en,ml_IN,diagnosable disease,നിർണ്ണയിക്കാനാകുന്ന രോഗം
84,en,ml_IN,diagnostic protocol,ഡയഗ്നോസ്‌റ്റിക് പ്രോട്ടോക്കോൾ
85,en,ml_IN,diagnostic testing,ഡയഗ്നോസ്‌റ്റിക് പരിശോധന
86,en,ml_IN,disease itself,രോഗം
87,en,ml_IN,disease outbreak,രോഗ വ്യാപനം
88,en,ml_IN,disinfectant,അണുനാശിനി
89,en,ml_IN,disposable,ഡിസ്‌പോസിബിൾ
90,en,ml_IN,droplet transmission,ഡ്രോപ്പ്‌ലെറ്റ് വ്യാപനം
91,en,ml_IN,droplets,ഡ്രോപ്പ്‌ലെറ്റുകൾ
92,en,ml_IN,dry cough,വരണ്ട ചുമ
93,en,ml_IN,dry surface contamination,വരണ്ട പ്രതലത്തിലുള്ള രോഗ സംക്രമണം
94,en,ml_IN,ebola,എബോള
95,en,ml_IN,effective treatment,ഫലപ്രദമായ ചികിത്സ
96,en,ml_IN,electron microscope,ഇലക്‌‌ട്രോൺ മൈക്രോസ്‌കോപ്പ്
97,en,ml_IN,emergency department,അത്യാഹിത വിഭാഗം
98,en,ml_IN,epidemic,പകർച്ചവ്യാധി
99,en,ml_IN,epidemic curve,സാംക്രമികരോഗത്തിന്റെ ആവൃത്തി
100,en,ml_IN,epidemic peak,സാംക്രമികരോഗത്തിന്റെ മൂർധന്യാവസ്ഥ
101,en,ml_IN,epidemiologist,എപ്പിഡെമിയോളജിസ്‌റ്റ്
102,en,ml_IN,exposure,സംക്രമണം
103,en,ml_IN,extreme caution,അതീവ ജാഗ്രത
104,en,ml_IN,eye protection,നേത്ര സംരക്ഷണം
105,en,ml_IN,face mask,മുഖാവരണം
106,en,ml_IN,face masks,മുഖാവരണങ്ങൾ
107,en,ml_IN,family cluster,ഫാമിലി ക്ലസ്‌റ്റർ
108,en,ml_IN,fatality rate,മരണ നിരക്ക്
109,en,ml_IN,fecal contamination,വിസർജ്ജ്യത്തിലൂടെയുള്ള സംക്രമണം
110,en,ml_IN,fever,പനി
111,en,ml_IN,flatten the infection curve,രോഗബാധയുടെ വ്യാപനം തടയുക
112,en,ml_IN,flu,ഫ്ലൂ
113,en,ml_IN,food safety,ഭക്ഷ്യ സുരക്ഷ
114,en,ml_IN,formaldehyde,ഫോർമാൾഡിഹൈഡ്
115,en,ml_IN,gastroenteritis,ഗാസ്‌ട്രോഎന്ററിറ്റിസ്
116,en,ml_IN,germicide,അണുനാശിനി
117,en,ml_IN,global pandemic,ആഗോള പകർച്ചവ്യാധി
