id,sourceLang,targetLang,sourceString,targetString
1,en,mn_MN,1918 flu,1918 оны ханиад
2,en,mn_MN,acute bronchitis,цочмог бронхит
3,en,mn_MN,acute respiratory disease,амьсгалын замын цочмог өвчин
4,en,mn_MN,AIDS,ДОХ
5,en,mn_MN,airborne droplets,агаар дусал
6,en,mn_MN,airway,амьсгалын зам
7,en,mn_MN,alcohol-based,спирт агуулсан
8,en,mn_MN,alcohol-based hand rub,спирт агуулсан гар үрэгч
9,en,mn_MN,alcohol-based hand sanitizer,спирт агуулсан гар ариутгагч
10,en,mn_MN,alveolar disease,цулцангийн өвчин
11,en,mn_MN,an epidemic,тахал
12,en,mn_MN,annual flu,жилийн ханиад
13,en,mn_MN,anti-inflammatory drug,өрөвслийн эсрэг эм
14,en,mn_MN,antiviral drug,вирусын эсрэг эм
15,en,mn_MN,antiviral treatment,вирусын эсрэг эмчилгээ
16,en,mn_MN,assay,шинжилгээ хийх
17,en,mn_MN,asymptomatic,шинж тэмдэггүй
18,en,mn_MN,avian flu,шувууны ханиад
19,en,mn_MN,Black Plague,Хар Тахал
20,en,mn_MN,blood pressure,цусны даралт
21,en,mn_MN,body fluid,биеийн шингэн
22,en,mn_MN,breathing,амьсгал
23,en,mn_MN,bubonic plague,булчирхайн тахал
24,en,mn_MN,c19,c19
25,en,mn_MN,cv19,cv19
26,en,mn_MN,case fatality rate,тохиолдлын нас баралтын түвшин
27,en,mn_MN,causative agent,үүсгэгч агент
28,en,mn_MN,CDC,Өвчний хяналт, урьдчилан сэргийлэх төвүүд
29,en,mn_MN,chemical disinfection,химийн халдваргүйжүүлэлт
30,en,mn_MN,chest x-ray,цээжний рентген зураг
31,en,mn_MN,clinical diagnosis,эмнэлзүйн оношлогоо
32,en,mn_MN,clinical trial,эмнэлзүйн туршилт судалгаа
33,en,mn_MN,close contact,ойрын хавьтал
34,en,mn_MN,cvirus,корона вирус
35,en,mn_MN,chronic respiratory disease,амьсгалын замын архаг өвчин
36,en,mn_MN,common cold,ханиад
37,en,mn_MN,common flu,нийтлэг ханиад
