id,sourceLang,targetLang,sourceString,targetString
1,en,mr_IN,1918 flu,1918 फ्लू
2,en,mr_IN,acute bronchitis,गंभीर ब्रॉंकायटीस
3,en,mr_IN,acute respiratory disease,गंभीर स्वरूपाचा श्वसनाचा रोग
4,en,mr_IN,AIDS,एड्स
5,en,mr_IN,airborne droplets,वायुजनित संक्रमण
6,en,mr_IN,airway,हवेद्वारे
7,en,mr_IN,alcohol-based,अल्कोहोल-असलेले
8,en,mr_IN,alcohol-based hand rub,अल्कोहोल-असलेले हॅंड रब
9,en,mr_IN,alcohol-based hand sanitizer,अल्कोहोल-असलेले हॅंड सॅनिटायझर
10,en,mr_IN,alveolar disease,अल्व्होलरचे आजार
11,en,mr_IN,an epidemic,साथीचा रोग
12,en,mr_IN,annual flu,हंगामी फ्लू
13,en,mr_IN,anti-inflammatory drug,दाह कमी करणारे औषध
14,en,mr_IN,antiviral drug,विषाणू प्रतिरोधक औषध
15,en,mr_IN,antiviral treatment,विषाणू प्रतिरोधक उपचार
16,en,mr_IN,assay,एॅसे
17,en,mr_IN,asymptomatic,लक्षणे न दर्शविणारा
18,en,mr_IN,avian flu,एवियन फ्लू
19,en,mr_IN,Black Plague,ब्लॅक प्लेग
20,en,mr_IN,blood pressure,रक्तदाब
21,en,mr_IN,body fluid,शरीरातील द्रव
22,en,mr_IN,breathing,श्वासोच्छवास
23,en,mr_IN,bubonic plague,ब्यूबोनिक प्लेग
24,en,mr_IN,c19,c19
25,en,mr_IN,cv19,cv19
26,en,mr_IN,case fatality rate,रोगामुळे होणार्‍या मृत्यूचा दर
27,en,mr_IN,causative agent,कारणीभूत असणारा घटक
28,en,mr_IN,CDC,CDC
29,en,mr_IN,chemical disinfection,रासायनिक कीटनाशक
30,en,mr_IN,chest x-ray,छातीचा एक्स-रे
31,en,mr_IN,clinical diagnosis,वैद्यकिय निदान
32,en,mr_IN,clinical trial,वैद्यकिय चाचणी
33,en,mr_IN,close contact,जवळील संपर्क
