id,sourceLang,targetLang,sourceString,targetString
1,en,ms_MY,1918 flu,1918 flu
2,en,ms_MY,acute bronchitis,bronkitis akut
3,en,ms_MY,acute respiratory disease,penyakit pernafasan akut
4,en,ms_MY,AIDS,Sindrom Kurang Daya Tahan
5,en,ms_MY,airborne droplets,titisan bawaan udara
6,en,ms_MY,airway,salur udara
7,en,ms_MY,alcohol-based,berasaskan alkohol
8,en,ms_MY,alcohol-based hand rub,penggosok tangan berasasskan alkohol
9,en,ms_MY,alcohol-based hand sanitizer,pembersih tangan berasaskan alkohol
10,en,ms_MY,alveolar disease,penyakit alveolar
11,en,ms_MY,an epidemic,satu wabak
12,en,ms_MY,annual flu,flu tahunan
13,en,ms_MY,anti-inflammatory drug,ubat anti-radang
14,en,ms_MY,antiviral drug,ubat antivirus
15,en,ms_MY,antiviral treatment,rawatan antivirus
16,en,ms_MY,assay,cerakin
17,en,ms_MY,asymptomatic,asimptomatic
18,en,ms_MY,avian flu,selesema burung
19,en,ms_MY,Black Plague,Wabak Hawar
20,en,ms_MY,blood pressure,tekanan darah
21,en,ms_MY,body fluid,cecair badan
22,en,ms_MY,breathing,pernafasan
23,en,ms_MY,bubonic plague,wabak bubon
24,en,ms_MY,c19,c19
25,en,ms_MY,cv19,cv19
26,en,ms_MY,case fatality rate,kadar kematian kes
27,en,ms_MY,causative agent,agen penyebab
28,en,ms_MY,CDC,CDC
29,en,ms_MY,chemical disinfection,disinfektan bahan kimia
30,en,ms_MY,chest x-ray,x-ray dada
31,en,ms_MY,clinical diagnosis,diagnosis klinikal
32,en,ms_MY,clinical trial,percubaan klinikal
33,en,ms_MY,close contact,hubungan rapat
34,en,ms_MY,cvirus,cvirus
35,en,ms_MY,chronic respiratory disease,penyakit pernafasan kronik
36,en,ms_MY,common cold,demam selesema biasa
37,en,ms_MY,common flu,selesema biasa
38,en,ms_MY,communicable disease,penyakit berjangkit
39,en,ms_MY,community spread,penyebaran komuniti
40,en,ms_MY,community transmission,penularan komuniti
41,en,ms_MY,compromised immune system,sistem daya tahan lemah
42,en,ms_MY,contagion,penjangkitan
43,en,ms_MY,contagious,berjangkit
44,en,ms_MY,contagiousness,keadaan berjangkit
45,en,ms_MY,corona,korona
46,en,ms_MY,corona virus,korona virus
47,en,ms_MY,corona virus epidemic,epidemik koronavirus
48,en,ms_MY,corona virus outbreak,wabak koronavirus
49,en,ms_MY,corona virus scare,ketakutan koronavirus
50,en,ms_MY,coronavirus,koronavirus
51,en,ms_MY,coronavirus cases,kes koronavirus
52,en,ms_MY,coronavirus outbreak,wabak koronavirus
53,en,ms_MY,coronavirus pandemic,pandemik koronavirus
54,en,ms_MY,coronavirus scare,ketakutan koronavirus
55,en,ms_MY,cough,batuk
56,en,ms_MY,cough etiquette,adab ketika batuk
57,en,ms_MY,coughing,terbatuk-batuk
58,en,ms_MY,cov 19,COVID-19
59,en,ms_MY,cov19,cov19
60,en,ms_MY,COVID,COVID-19
61,en,ms_MY,COVID-19 crisis,krisis COVID-19
62,en,ms_MY,covid-19,COVID-19
63,en,ms_MY,covid19,COVID-19
64,en,ms_MY,COVID-19 epidemic,COVID-19 epidemik
65,en,ms_MY,COVID-19 outbreak,wabak COVID-19
66,en,ms_MY,COVID-19 pandemic,COVID-19 pandemik
67,en,ms_MY,COVID 19,COVID -19
68,en,ms_MY,current crisis,krisis semasa
69,en,ms_MY,current health crisis,krisis kesihatan semasa
70,en,ms_MY,current outbreak,wabak semasa
71,en,ms_MY,current pandemic,pandemik semasa
72,en,ms_MY,CV,COVID-19
73,en,ms_MY,CV-19,COVID-19
74,en,ms_MY,deadly,maut
75,en,ms_MY,deadly virus,virus pembawa maut
76,en,ms_MY,death rate,kadar kematian
77,en,ms_MY,death toll,jumlah kematianl
78,en,ms_MY,decontaminate,mendekontaminasi
79,en,ms_MY,detectable,boleh dikesan
80,en,ms_MY,detergent,detergen
81,en,ms_MY,difficulty breathing,kesusahan bernafas
82,en,ms_MY,diabetes,diabetes
83,en,ms_MY,diagnosable disease,penyakit didiagnosis
84,en,ms_MY,diagnostic protocol,protokol diagnostik
85,en,ms_MY,diagnostic testing,ujian diagnostik
86,en,ms_MY,disease itself,penyakit itu sendiri
87,en,ms_MY,disease outbreak,wabak penyakit
88,en,ms_MY,disinfectant,disinfektan
89,en,ms_MY,disposable,pakai buang
90,en,ms_MY,droplet transmission,penyebaran melalui titisan
91,en,ms_MY,droplets,titisan
92,en,ms_MY,dry cough,batuk kering
93,en,ms_MY,dry surface contamination,pencemaran permukaan kering
