id,sourceLang,targetLang,sourceString,targetString
1,en,my_MM,1918 flu,1918 တုပ်ကွေး
2,en,my_MM,acute bronchitis,စိုးရိမ်ရအဆင့်ရှိချောင်းဆိုးရင်ကျပ်နာ
3,en,my_MM,acute respiratory disease,စိုးရိမ်ရအဆင့်ရှိအသက်ရှုလမ်းကြောင်းနှင့်ပတ်သက်သောရောဂါ
4,en,my_MM,AIDS,အေအိုင်ဒီအက်စ်
5,en,my_MM,airborne droplets,လေမှအမှုန့်အမွှားလေးများ
6,en,my_MM,airway,လေဝင်အသက်ရှုလမ်းကြောင်း
7,en,my_MM,alcohol-based,အရက်ပျံပါသော
8,en,my_MM,alcohol-based hand rub,အရက်ပျံပါသော လက်ဆေးရည
9,en,my_MM,alcohol-based hand sanitizer,အရက်ပျံပါသော လက်ဆေးရည်
10,en,my_MM,alveolar disease,အသက်ရှုလမ်းကြောင်းနှင့်ဆိုင်သောရောဂါ
11,en,my_MM,an epidemic,ကူးစက်ရောဂါ
12,en,my_MM,annual flu,နှစ်စဥ်တုပ်ကွေးရောဂါ
13,en,my_MM,anti-inflammatory drug,ရောင်ရမ်းမှုကိုကုသသောဆေးဝါး
14,en,my_MM,antiviral drug,ရောဂါပိုးမွှားများကိုသေစေသည့်ဆေးဝါး
15,en,my_MM,antiviral treatment,ရောဂါပိုးမွှားများကိုသတ်ပေးသည့်ကုထုံး
16,en,my_MM,assay,အရည်အသွေးစမ်းသပ်သည်
17,en,my_MM,asymptomatic,ရောဂါလက္ခဏာ
18,en,my_MM,avian flu,အေဗီယမ်ငှက်တုပ်ကွေးရောဂါ
19,en,my_MM,Black Plague,ရှေးပလိပ်ကပ်ရောဂါ
20,en,my_MM,blood pressure,သွေးဖိအား
21,en,my_MM,body fluid,ခန္ဓာကိုယ် မှအရည်
22,en,my_MM,breathing,အသက်ရှုခြင်း
23,en,my_MM,bubonic plague,ပလိပ်ကပ်ရောဂါ
24,en,my_MM,c19,စီ19
25,en,my_MM,cv19,စီဗီ19
26,en,my_MM,case fatality rate,ဖြစ်ပွားမှု၏သေဆုံးမှုနှုန်း
27,en,my_MM,causative agent,ရောဂါဖြစ်ပေါ်စေသောအကြောင်းရင်း
28,en,my_MM,CDC,စီဒီစီ
29,en,my_MM,chemical disinfection,ဓာတုပိုးသဆေး
30,en,my_MM,chest x-ray,ရင်ဘက်ဓာတ်မှန်
31,en,my_MM,clinical diagnosis,ဆေးဝါးကုသမှုစစ်တမ်း
32,en,my_MM,clinical trial,ဆေးဝါးကုသမှုဆိုင်ရာစမ်းသပ်ချက်
33,en,my_MM,close contact,နီးကပ်စွာထိတွေ့ကိုင်တွယ်ခြင်း
34,en,my_MM,cvirus,စီရောဂါပိုးမွှား
35,en,my_MM,chronic respiratory disease,နာတာရှည်အသက်ရှုလမ်းကြောင်းဆိုင်ရာရောဂါ
36,en,my_MM,common cold,သာမာန်အအေးမိခြင်း
37,en,my_MM,common flu,ရိုးရိုးတုပ်ကွေး
38,en,my_MM,communicable disease,ကူးစက်နိုင်​​​ သောရောဂါ
39,en,my_MM,community spread,အုပ်စုလိုက်သို့ပြန့်နှံ့ခြင်း
40,en,my_MM,community transmission,အုပ်စုလိုက်မှတစ်ဆင့်​​​ပို့ဆောင်ခြင်း
41,en,my_MM,compromised immune system,ခုခံအားကျဆင်းသွားခြင်း
42,en,my_MM,contagion,ကူးစက်မှု
43,en,my_MM,contagious,ကူးစက်စေသော
44,en,my_MM,contagiousness,ကူးစက်စေမှု
45,en,my_MM,corona,ကိုရိုနာ
46,en,my_MM,corona virus,ကိုရိုနာဗိုင်းရက်စ်
47,en,my_MM,corona virus epidemic,ကိုရိုနာဗိုင်းရက်စ် ကမ္ဘာ အနှံ့ ဖြစ်ပွားသောရောဂါ
48,en,my_MM,corona virus outbreak,ကိုရိုနာဗိုင်းရက်စ် ဖြစ်ပွားမှု
49,en,my_MM,corona virus scare,ကိုရိုနာဗိုင်းရက်စ် ကြောက်သော
50,en,my_MM,coronavirus,ကိုရိုနာဗိုင်းရက်စ်
51,en,my_MM,coronavirus cases,ကိုရိုနာဗိုင်းရက်စ် ဖြစ်ပွားမှုများ
52,en,my_MM,coronavirus outbreak,ကိုရိုနာဗိုင်းရက်ဖြစ်ပွားခြင်း
53,en,my_MM,coronavirus pandemic,ကိုရိုနာဗိုင်းရက်စ် ကမ္ဘာအနှံ့ဖြစ်ပွားသောရောဂါ
54,en,my_MM,coronavirus scare,ကိုရိုနာဗိုင်းရက်စ်ကြောက်သော
