id,sourceLang,targetLang,sourceString,targetString
1,en,ne_NP,1918 flu,१९१८ फ्लू
2,en,ne_NP,acute bronchitis,गम्भीर ब्रोङ्काइटिस
3,en,ne_NP,acute respiratory disease,गम्भीर श्वासप्रश्वास सम्बन्धी रोग
4,en,ne_NP,AIDS,एड्स
5,en,ne_NP,airborne droplets,हावाबाट फैलिने थोपाहरू
6,en,ne_NP,airway,वायुमार्ग
7,en,ne_NP,alcohol-based,अल्कोहलमा आधारित
8,en,ne_NP,alcohol-based hand rub,अल्कोहलमा आधारित ह्याण्ड रब
9,en,ne_NP,alcohol-based hand sanitizer,अल्कोहलमा आधारित ह्याण्ड स्यानिटाइजर
10,en,ne_NP,alveolar disease,अल्भोलर रोग
11,en,ne_NP,an epidemic,महामारी
12,en,ne_NP,annual flu,वार्षिक फ्लू
13,en,ne_NP,anti-inflammatory drug,जलनविरूद्धको औषधी
14,en,ne_NP,antiviral drug,एन्टिभाइरल औषधी
15,en,ne_NP,antiviral treatment,एन्टिभाइरल उपचार
16,en,ne_NP,assay,जाँच
17,en,ne_NP,asymptomatic,लक्षण नदेखिने
18,en,ne_NP,avian flu,एभिएन फ्लु
19,en,ne_NP,Black Plague,कालो प्लेग
20,en,ne_NP,blood pressure,रक्तचाप
21,en,ne_NP,body fluid,शरीरको तरल
22,en,ne_NP,breathing,सास लिने
23,en,ne_NP,bubonic plague,बुबोनिक प्लेग
24,en,ne_NP,c19,सी१९
25,en,ne_NP,cv19,सीभी१९
26,en,ne_NP,case fatality rate,केस मृत्युदर
27,en,ne_NP,causative agent,कारण एजेन्ट
28,en,ne_NP,CDC,सीडीसी
29,en,ne_NP,chemical disinfection,केमिकल डिस्इन्फेक्सन
30,en,ne_NP,chest x-ray,छातीको एक्स-रे
31,en,ne_NP,clinical diagnosis,क्लिनिकल निदान
32,en,ne_NP,clinical trial,क्लिनिकल परीक्षण
33,en,ne_NP,close contact,नजिकको सम्पर्क
34,en,ne_NP,cvirus,सीभाइरस
35,en,ne_NP,chronic respiratory disease,क्रोनिक श्वासप्रश्वास सम्बन्धी रोग
36,en,ne_NP,common cold,रूघा
37,en,ne_NP,common flu,सामान्य फ्लू
38,en,ne_NP,communicable disease,सरूवा रोग
39,en,ne_NP,community spread,समुदायमा फैलिने
