id,sourceLang,targetLang,sourceString,targetString
1,en,nl_XX,1918 flu,griep 1918
2,en,nl_XX,acute bronchitis,acute bronchitis
3,en,nl_XX,acute respiratory disease,acute ademhalingsaandoening
4,en,nl_XX,AIDS,AIDS
5,en,nl_XX,airborne droplets,luchtgedragen druppeltjes
6,en,nl_XX,airway,luchtwegen
7,en,nl_XX,alcohol-based,alcoholhoudend
8,en,nl_XX,alcohol-based hand rub,alcoholhoudende handreiniger
9,en,nl_XX,alcohol-based hand sanitizer,alcoholhoudende handontsmetter
10,en,nl_XX,alveolar disease,alveolaire ziekte
11,en,nl_XX,an epidemic,een epidemie
12,en,nl_XX,annual flu,jaarlijkse griep
13,en,nl_XX,anti-inflammatory drug,ontstekingsremmende medicatie
14,en,nl_XX,antiviral drug,antivirale medicatie
15,en,nl_XX,antiviral treatment,antivirale behandeling
16,en,nl_XX,assay,test
17,en,nl_XX,asymptomatic,asymptomatisch
18,en,nl_XX,avian flu,vogelgriep
19,en,nl_XX,Black Plague,zwarte pest
20,en,nl_XX,blood pressure,bloeddruk
21,en,nl_XX,body fluid,lichaamsvocht
22,en,nl_XX,breathing,ademhaling
23,en,nl_XX,bubonic plague,builenpest
24,en,nl_XX,c19,c19
25,en,nl_XX,cv19,cv19
26,en,nl_XX,case fatality rate,sterftecijfer
27,en,nl_XX,causative agent,veroorzakende factor
28,en,nl_XX,CDC,CDC
29,en,nl_XX,chemical disinfection,chemische ontsmetting
30,en,nl_XX,chest x-ray,röntgenfoto borstkas
31,en,nl_XX,clinical diagnosis,klinische diagnose
32,en,nl_XX,clinical trial,klinische test
33,en,nl_XX,close contact,nauw contact
34,en,nl_XX,cvirus,cvirus
35,en,nl_XX,chronic respiratory disease,chronische ademhalingsaandoening
36,en,nl_XX,common cold,gewone verkoudheid
37,en,nl_XX,common flu,gewone griep
38,en,nl_XX,communicable disease,overdraagbare ziekte
39,en,nl_XX,community spread,verspreiding in de gemeenschap
40,en,nl_XX,community transmission,overdracht in de gemeenschap
41,en,nl_XX,compromised immune system,aangetast immuunsysteem
42,en,nl_XX,contagion,besmetting
43,en,nl_XX,contagious,besmettelijk
44,en,nl_XX,contagiousness,besmettelijkheid
45,en,nl_XX,corona,corona
46,en,nl_XX,corona virus,coronavirus
47,en,nl_XX,corona virus epidemic,epidemie corona virus
48,en,nl_XX,corona virus outbreak,uitbraak corona virus
49,en,nl_XX,corona virus scare,schrik corona virus
50,en,nl_XX,coronavirus,coronavirus
51,en,nl_XX,coronavirus cases,gevallen coronavirus
52,en,nl_XX,coronavirus outbreak,uitbraak coronavirus
53,en,nl_XX,coronavirus pandemic,pandemie coronavirus
54,en,nl_XX,coronavirus scare,schrik coronavirus
55,en,nl_XX,cough,hoest
56,en,nl_XX,cough etiquette,hoest etiket
57,en,nl_XX,coughing,hoesten
58,en,nl_XX,cov 19,cov 19
59,en,nl_XX,cov19,cov19
60,en,nl_XX,COVID,COVID
61,en,nl_XX,COVID-19 crisis,COVID-19 crisis
62,en,nl_XX,covid-19,covid-19
63,en,nl_XX,covid19,covid19
64,en,nl_XX,COVID-19 epidemic,epidemie COVID-19
65,en,nl_XX,COVID-19 outbreak,uitbraak COVID-19
66,en,nl_XX,COVID-19 pandemic,pandemie COVID-19
67,en,nl_XX,COVID 19,COVID 19
68,en,nl_XX,current crisis,huidige crisis
69,en,nl_XX,current health crisis,huidige gezondheidscrisis
70,en,nl_XX,current outbreak,huidige uitbraak
71,en,nl_XX,current pandemic,huidige pandemie
72,en,nl_XX,CV,CV
73,en,nl_XX,CV-19,CV-19
74,en,nl_XX,deadly,dodelijk
75,en,nl_XX,deadly virus,dodelijk virus
76,en,nl_XX,death rate,sterftecijfer
77,en,nl_XX,death toll,dodental
78,en,nl_XX,decontaminate,ontsmetten
79,en,nl_XX,detectable,detecteerbaar
80,en,nl_XX,detergent,reinigingsmiddel
81,en,nl_XX,difficulty breathing,moeite met ademhalen
82,en,nl_XX,diabetes,suikerziekte
83,en,nl_XX,diagnosable disease,diagnosticeerbare ziekte
84,en,nl_XX,diagnostic protocol,diagnoseprotocol
85,en,nl_XX,diagnostic testing,diagnosetesten
86,en,nl_XX,disease itself,de ziekte zelf
87,en,nl_XX,disease outbreak,ziekte-uitbraak
88,en,nl_XX,disinfectant,ontsmettingsmiddel
89,en,nl_XX,disposable,wegwerpbaar
90,en,nl_XX,droplet transmission,overbrenging via druppeltjes
91,en,nl_XX,droplets,druppeltjes
92,en,nl_XX,dry cough,droge hoest
93,en,nl_XX,dry surface contamination,besmetting droog oppervlak
94,en,nl_XX,ebola,ebola
95,en,nl_XX,effective treatment,doeltreffende behandeling
96,en,nl_XX,electron microscope,elektronenmicroscoop
97,en,nl_XX,emergency department,spoedgevallenafdeling
98,en,nl_XX,epidemic,epidemie
99,en,nl_XX,epidemic curve,curve epidemie
100,en,nl_XX,epidemic peak,piek epidemie
101,en,nl_XX,epidemiologist,epidemioloog
102,en,nl_XX,exposure,blootstelling
103,en,nl_XX,extreme caution,uiterste voorzichtigheid
104,en,nl_XX,eye protection,oogbescherming
105,en,nl_XX,face mask,gezichtsmasker
106,en,nl_XX,face masks,gezichtsmaskers
107,en,nl_XX,family cluster,familiegroep
108,en,nl_XX,fatality rate,sterftecijfer
109,en,nl_XX,fecal contamination,fecale besmetting
110,en,nl_XX,fever,koorts
111,en,nl_XX,flatten the infection curve,de infectiecurve afvlakken
