id,sourceLang,targetLang,sourceString,targetString
1,en,no_XX,1918 flu,1918 influensa
2,en,no_XX,acute bronchitis,akutt bronkitt
3,en,no_XX,acute respiratory disease,akutt luftveissykdom
4,en,no_XX,AIDS,AIDS
5,en,no_XX,airborne droplets,luftbårne dråper
6,en,no_XX,airway,luftveier
7,en,no_XX,alcohol-based,alkoholbasert
8,en,no_XX,alcohol-based hand rub,alkoholbasert hånddesinfeksjon
9,en,no_XX,alcohol-based hand sanitizer,alkoholbasert hånddesinfeksjonsmiddel
10,en,no_XX,alveolar disease,alveolar sykdom
11,en,no_XX,an epidemic,en epidemi
12,en,no_XX,annual flu,årlig influensa
13,en,no_XX,anti-inflammatory drug,betennelseshemmende medikament
14,en,no_XX,antiviral drug,antiviralt medikament
15,en,no_XX,antiviral treatment,antiviral behandling
16,en,no_XX,assay,analyse
17,en,no_XX,asymptomatic,asymptomatisk
18,en,no_XX,avian flu,fugleinfluensa
19,en,no_XX,Black Plague,Svartedauden
20,en,no_XX,blood pressure,blodtrykk
21,en,no_XX,body fluid,kroppsvæske
22,en,no_XX,breathing,puste
23,en,no_XX,bubonic plague,byllepest
24,en,no_XX,c19,c19
25,en,no_XX,cv19,cv19
26,en,no_XX,case fatality rate,tilfeller dødelighetsrate
27,en,no_XX,causative agent,forårsakende agent
28,en,no_XX,CDC,CDC
29,en,no_XX,chemical disinfection,kjemisk desinfeksjon
30,en,no_XX,chest x-ray,røntgen av brystet
31,en,no_XX,clinical diagnosis,klinisk diagnose
32,en,no_XX,clinical trial,klinisk utprøving
33,en,no_XX,close contact,nærkontakt
34,en,no_XX,cvirus,cvirus
35,en,no_XX,chronic respiratory disease,kronisk luftveissykdom
36,en,no_XX,common cold,forkjølelse
37,en,no_XX,common flu,vanlig influensa
38,en,no_XX,communicable disease,smittsom sykdom
39,en,no_XX,community spread,utbredelse i samfunnet
40,en,no_XX,community transmission,overføring i samfunnet
41,en,no_XX,compromised immune system,kompromittert immunforsvaret
42,en,no_XX,contagion,smitte
43,en,no_XX,contagious,smittsom
44,en,no_XX,contagiousness,smittsomhet
45,en,no_XX,corona,korona
46,en,no_XX,corona virus,koronavirus
47,en,no_XX,corona virus epidemic,koronavirus epidemi
48,en,no_XX,corona virus outbreak,koronavirusutbrudd
49,en,no_XX,corona virus scare,koronavirus frykt
50,en,no_XX,coronavirus,koronavirus
51,en,no_XX,coronavirus cases,koronavirus tilfeller
52,en,no_XX,coronavirus outbreak,koronavirus utbrudd
53,en,no_XX,coronavirus pandemic,koronavirus pandemi
54,en,no_XX,coronavirus scare,koronavirus frykt
55,en,no_XX,cough,hoste
56,en,no_XX,cough etiquette,hosteetikette
57,en,no_XX,coughing,hoste
58,en,no_XX,cov 19,cov 19
59,en,no_XX,cov19,cov19
60,en,no_XX,COVID,COVID
61,en,no_XX,COVID-19 crisis,COVID-19 krise
62,en,no_XX,covid-19,covid-19
63,en,no_XX,covid19,covid19
64,en,no_XX,COVID-19 epidemic,COVID-19 epidemi
