id,sourceLang,targetLang,sourceString,targetString
1,en,ns_ZA,1918 flu,mphsikela wa 1918
2,en,ns_ZA,acute bronchitis,bolwetši bja mafahla
3,en,ns_ZA,acute respiratory disease,bolwetši bja go hema
4,en,ns_ZA,AIDS,bolwetši bja AIDS
5,en,ns_ZA,airborne droplets,marothodi a lego moyeng
6,en,ns_ZA,airway,mo go sepelago moya
7,en,ns_ZA,alcohol-based,e tswakilwe ka alkhohol
8,en,ns_ZA,alcohol-based hand rub,setlolo sa diatla seo se nago le alkhohol
9,en,ns_ZA,alcohol-based hand sanitizer,setlolo sa go hlwekiša diatla seo se nago le alkhohol
10,en,ns_ZA,alveolar disease,bolwetši bja mafahla
11,en,ns_ZA,an epidemic,go ata ga bolwetši
12,en,ns_ZA,annual flu,mphsikela wa ngwaga
13,en,ns_ZA,anti-inflammatory drug,sehlare sa go fokotša go ruruga
14,en,ns_ZA,antiviral drug,sehlare sa go lwantšha ditwatši
15,en,ns_ZA,antiviral treatment,kalafo ya go lwantšha ditwatši
16,en,ns_ZA,assay,nyakišišo ya malwetši
17,en,ns_ZA,asymptomatic,go se be le maswao
18,en,ns_ZA,avian flu,mphsikela wa avian
19,en,ns_ZA,Black Plague,kotlo ya Batho baso
20,en,ns_ZA,blood pressure,madi a magolo
21,en,ns_ZA,body fluid,diela tša mmele
22,en,ns_ZA,breathing,go hema
23,en,ns_ZA,bubonic plague,bolwetši bja dikgofa
24,en,ns_ZA,c19,c19
25,en,ns_ZA,cv19,cv19
26,en,ns_ZA,case fatality rate,tekanyo ya batho bao ba hlokofalago
27,en,ns_ZA,causative agent,sebaki
28,en,ns_ZA,CDC,CDC
29,en,ns_ZA,chemical disinfection,khemikhale ya
30,en,ns_ZA,chest x-ray,x-ray ya mafahla
31,en,ns_ZA,clinical diagnosis,tlhahlobo ya kliniki
32,en,ns_ZA,clinical trial,diteko tša kliniki
33,en,ns_ZA,close contact,Selo seo se lego kgauswi
34,en,ns_ZA,cvirus,twatši ya c
35,en,ns_ZA,chronic respiratory disease,Bolwetši bjo bo sa felego bja go hema
36,en,ns_ZA,common cold,mphsikela o tlwalegilego
37,en,ns_ZA,common flu,mphsikela o tlwaelegilego
38,en,ns_ZA,communicable disease,bolwetši bjo bo fetelago
39,en,ns_ZA,community spread,phetetšo ya batho
40,en,ns_ZA,community transmission,go fetetšwa ga batho
41,en,ns_ZA,compromised immune system,mašole a mmele ao a lego tekong
42,en,ns_ZA,contagion,go fetela
43,en,ns_ZA,contagious,bolwetši bjo bo fetelago
44,en,ns_ZA,contagiousness,go fetela
45,en,ns_ZA,corona,khorona
46,en,ns_ZA,corona virus,twatši ya khorona
47,en,ns_ZA,corona virus epidemic,leuba la twatši ya khorona
48,en,ns_ZA,corona virus outbreak,go ata ga twatši ya khorona
49,en,ns_ZA,corona virus scare,tšhošetšo ya twatši ya khorona
50,en,ns_ZA,coronavirus,twatšiyakhorona
51,en,ns_ZA,coronavirus cases,dipego tša twatši ya khorona
52,en,ns_ZA,coronavirus outbreak,go ata ga twatši ya khorona
53,en,ns_ZA,coronavirus pandemic,bolwetši bja twatši ya khorona
54,en,ns_ZA,coronavirus scare,tšhošetšo ya twatši ya khorona
55,en,ns_ZA,cough,go gohlola
56,en,ns_ZA,cough etiquette,mekgwa e mebotse ge o gohlola
57,en,ns_ZA,coughing,Go gohlola
58,en,ns_ZA,cov 19,cov 19
59,en,ns_ZA,cov19,cov19
60,en,ns_ZA,COVID,COVID
61,en,ns_ZA,COVID-19 crisis,Mathata a COVID-19
62,en,ns_ZA,covid-19,covid-19
63,en,ns_ZA,covid19,covid19
64,en,ns_ZA,COVID-19 epidemic,Bolwetši bja COVID-19
65,en,ns_ZA,COVID-19 outbreak,Go ata ga COVID-19
66,en,ns_ZA,COVID-19 pandemic,Bolwetši bja molokwanarite bja COVID-19
67,en,ns_ZA,COVID 19,COVID 19
68,en,ns_ZA,current crisis,Bothata bjo go lebanwego le bjona
69,en,ns_ZA,current health crisis,Bothata bja tša maphelo bjo go lebanwego le bjona
70,en,ns_ZA,current outbreak,Go ata ga bolwetši bjo go lebanwego le bjona
71,en,ns_ZA,current pandemic,Bolwetši bja molokwanarite bjo go lebanwego le bjona
72,en,ns_ZA,CV,CV
73,en,ns_ZA,CV-19,CV-19
74,en,ns_ZA,deadly,ya bolaya
75,en,ns_ZA,deadly virus,Twatši e bolayago
76,en,ns_ZA,death rate,Tekanyo ya mahu
77,en,ns_ZA,death toll,Palo ya mahu
78,en,ns_ZA,decontaminate,Go tloša ga twatši
79,en,ns_ZA,detectable,Go lemoga
80,en,ns_ZA,detergent,Sehlwekiši
81,en,ns_ZA,difficulty breathing,Go thatafalelwa ke go hema
82,en,ns_ZA,diabetes,Bolwetši bja swikiri
83,en,ns_ZA,diagnosable disease,Bolwetši bjo bo hlahlobjago
84,en,ns_ZA,diagnostic protocol,Tshepedišo ya go hwetša bolwetši
85,en,ns_ZA,diagnostic testing,Teko ya go hwetša bolwetši
86,en,ns_ZA,disease itself,Bolwetši ka bobona
87,en,ns_ZA,disease outbreak,Go ata ga bolwetši
88,en,ns_ZA,disinfectant,Go hwekiša
89,en,ns_ZA,disposable,Selo sa go lahlwa
90,en,ns_ZA,droplet transmission,go fetetšwa ga marothodi
91,en,ns_ZA,droplets,marothodi
92,en,ns_ZA,dry cough,Go gohlola mo go omilego
93,en,ns_ZA,dry surface contamination,Bokagodimo bja selo bjo bo šilafaditšwego
94,en,ns_ZA,ebola,ebola
95,en,ns_ZA,effective treatment,Kalafo
96,en,ns_ZA,electron microscope,Maekhroskoupo wa elektron
97,en,ns_ZA,emergency department,Lefapha la boemo bja tšhoganetšo
98,en,ns_ZA,epidemic,Go ata ga bolwetši
99,en,ns_ZA,epidemic curve,Go gola ga go ata ga bolwetši
100,en,ns_ZA,epidemic peak,tekanyo ya go ata ga bolwetši
101,en,ns_ZA,epidemiologist,setsebi sa malwetši ao a fetelago
102,en,ns_ZA,exposure,go ka fetelwa
103,en,ns_ZA,extreme caution,go ba šedi kudu
104,en,ns_ZA,eye protection,go šireletša mahlo
105,en,ns_ZA,face mask,maske wa sefahlego
106,en,ns_ZA,face masks,Dimask tša sefahlego
107,en,ns_ZA,family cluster,Go tlalelana ga lapa
108,en,ns_ZA,fatality rate,Tekanyo ya mahu
109,en,ns_ZA,fecal contamination,Tšhilafatšo ya mantle
110,en,ns_ZA,fever,Letadi
111,en,ns_ZA,flatten the infection curve,Go fokotša ga go ata ga malwetši
112,en,ns_ZA,flu,mphsikela
113,en,ns_ZA,food safety,Tšhireletšego ya dijo
114,en,ns_ZA,formaldehyde,formaldehyde
115,en,ns_ZA,gastroenteritis,Bolwetši bja mala
116,en,ns_ZA,germicide,Sebolaya ditwatši
117,en,ns_ZA,global pandemic,Bolwetši bja lefase ka moka
118,en,ns_ZA,global warming,Go ruthela ga lefase
119,en,ns_ZA,good respiratory hygiene,Tlhokomelo e botse ya tša go hema
120,en,ns_ZA,Guangdong,Guangdong
121,en,ns_ZA,H1N1,H1N1
122,en,ns_ZA,H1N1 virus,Twatši ya H1N1
123,en,ns_ZA,hand disinfectant,Go hlwekiša seatla
124,en,ns_ZA,hand sanitizer,Sehlwekiši sa seatla
125,en,ns_ZA,health care provider,Moabi wa tša tlhokomelo ya maphelo
126,en,ns_ZA,health crisis,Mathata a tša maphelo
127,en,ns_ZA,health plan carrier,Leano la tša kalafo
128,en,ns_ZA,health services,Ditirelo tša maphelo
129,en,ns_ZA,heart failure,Go ema ga pelo
