id,sourceLang,targetLang,sourceString,targetString
1,en,om_KE,1918 flu,1918 Infuleenzaa
2,en,om_KE,acute bronchitis,Madaa’inaa qonqqo bayye hamaa
3,en,om_KE,acute respiratory disease,Dhibee hargganssu bayye cimaa
4,en,om_KE,AIDS,AIDS
5,en,om_KE,airborne droplets,Cophaa qillenssa kessaa
6,en,om_KE,airway,qilleenssarra
7,en,om_KE,alcohol-based,Kan alkoholii qabuu
8,en,om_KE,alcohol-based hand rub,Samunaa harkka kan alkoolii qabuu
9,en,om_KE,alcohol-based hand sanitizer,Saanitayizaraa harkka kan alkooli qabuu
10,en,om_KE,alveolar disease,Dhibee hargganssitu
11,en,om_KE,an epidemic,Dhibee weeraraa
12,en,om_KE,annual flu,Infulenzza baraa
13,en,om_KE,anti-inflammatory drug,Qoorssaa farra dadhabbi
14,en,om_KE,antiviral drug,Qoorssaa farraa vaayirasii
15,en,om_KE,antiviral treatment,Walla’anssa farra vaayirasii
16,en,om_KE,assay,Safarttu danddamachu
17,en,om_KE,asymptomatic,Mallatto agarssisu
18,en,om_KE,avian flu,Infuleenzza allattiwwani
19,en,om_KE,Black Plague,Infeekshini qoonqqo gurracha
20,en,om_KE,blood pressure,Dhibba dhiigaa
21,en,om_KE,body fluid,Dhanggala’aa qaama
22,en,om_KE,breathing,hargganssuu
23,en,om_KE,bubonic plague,Ho’aa qaama cimaa
24,en,om_KE,c19,c19
25,en,om_KE,cv19,cv19
26,en,om_KE,case fatality rate,Galmme hanggaa du’aa
27,en,om_KE,causative agent,Namaa daddabarssu
28,en,om_KE,CDC,CDC
29,en,om_KE,chemical disinfection,Keemiikaalan qulqqullessuu
30,en,om_KE,chest x-ray,Raaji laphee
31,en,om_KE,clinical diagnosis,Qoranno kilinikaa
32,en,om_KE,clinical trial,Yaalii kilinikaa
33,en,om_KE,close contact,Walittii dhiyeenya
34,en,om_KE,cvirus,Vayiraasi koronaa
35,en,om_KE,chronic respiratory disease,Dhibee Sirnna hargganssu yeroo dheeraa
36,en,om_KE,common cold,Infuleenzza qorraa
37,en,om_KE,common flu,Infuleenzza qorraa
38,en,om_KE,communicable disease,Dhibee daddarbba
39,en,om_KE,community spread,Baballinssa hawaasaa
40,en,om_KE,community transmission,Daddarbbinssa hawaasaa
41,en,om_KE,compromised immune system,Sirnna ittisuma dhibee wal simataa
42,en,om_KE,contagion,daddarbbinssa
43,en,om_KE,contagious,Dhibe daddarbbu
44,en,om_KE,contagiousness,Dhibee daddabrssu
45,en,om_KE,corona,Koroonaa
46,en,om_KE,corona virus,Vaayirasii koronaa
47,en,om_KE,corona virus epidemic,Werarssa vaayirasii koronaa
48,en,om_KE,corona virus outbreak,Arggaama tasaa vaayirasii koronaa
49,en,om_KE,corona virus scare,Sodaachisumma vaayirasii koronaa
50,en,om_KE,coronavirus,Vaayirasii koronaa
51,en,om_KE,coronavirus cases,Galmmewwan koronaa vayirasii
52,en,om_KE,coronavirus outbreak,Arggaama tasaa vaayirasii koronaa
53,en,om_KE,coronavirus pandemic,Weerara vaayirasii koronaa
54,en,om_KE,coronavirus scare,Sodaachisumma vaayirasii koronaa
55,en,om_KE,cough,utaalloo
56,en,om_KE,cough etiquette,haala quufa’an
57,en,om_KE,coughing,Quufa’uu
58,en,om_KE,cov 19,Cov 19
59,en,om_KE,cov19,cov19
60,en,om_KE,COVID,COVID
61,en,om_KE,COVID-19 crisis,Haala sodaachisaa COVID-19
62,en,om_KE,covid-19,Covid-19
63,en,om_KE,covid19,covid19
64,en,om_KE,COVID-19 epidemic,Weeraraa COVID-19
65,en,om_KE,COVID-19 outbreak,Arggama tasaa COVID-19
66,en,om_KE,COVID-19 pandemic,Weerara COVID-19
67,en,om_KE,COVID 19,COVID 19
68,en,om_KE,current crisis,Haala sodacchisaa yeroo amma
69,en,om_KE,current health crisis,Haala sodaachisaa fayyaa Amma
70,en,om_KE,current outbreak,Arggama tasa Ammaa
71,en,om_KE,current pandemic,Weeraraa yeroo ammaa
72,en,om_KE,CV,CV
73,en,om_KE,CV-19,CV-19
74,en,om_KE,deadly,Ajjeechaa
