id,sourceLang,targetLang,sourceString,targetString
1,en,pa_IN,1918 flu,1918 ਫਲੂ
2,en,pa_IN,acute bronchitis,ਗੰਭੀਰ ਸੋਜ਼ਸ਼
3,en,pa_IN,acute respiratory disease,ਸਾਹ ਦੀ ਗੰਭੀਰ ਬਿਮਾਰੀ
4,en,pa_IN,AIDS,ਏਡਜ਼
5,en,pa_IN,airborne droplets,ਹਵਾਦਾਰ ਬੂੰਦਾਂ
6,en,pa_IN,airway,ਏਅਰਵੇ
7,en,pa_IN,alcohol-based,ਅਲਕੋਹਲ ਵਾਲੀ ਚੀਜ਼
8,en,pa_IN,alcohol-based hand rub,ਅਲਕੋਹਲ ਵਾਲਾ ਹੈਂਡ ਰੱਬ
9,en,pa_IN,alcohol-based hand sanitizer,ਅਲਕੋਹਲ ਵਾਲਾ ਹੈਂਡ ਸੈਨੀਟਾਈਜ਼ਰ
10,en,pa_IN,alveolar disease,ਦੰਤ ਪਠਾਰੀ ਰੋਗ
11,en,pa_IN,an epidemic,ਇੱਕ ਮਹਾਂਮਾਰੀ
12,en,pa_IN,annual flu,ਸਾਲਾਨਾ ਫਲੂ
13,en,pa_IN,anti-inflammatory drug,ਸਾੜ-ਵਿਰੋਧੀ ਦਵਾਈ
14,en,pa_IN,antiviral drug,ਐਂਟੀਵਾਇਰਲ ਦਵਾਈ
15,en,pa_IN,antiviral treatment,ਐਂਟੀਵਾਇਰਲ ਇਲਾਜ
16,en,pa_IN,assay,ਪਰਖ
17,en,pa_IN,asymptomatic,ਲੱਛਣੀ
18,en,pa_IN,avian flu,ਏਵੀਅਨ ਫਲੂ
19,en,pa_IN,Black Plague,ਕਾਲਾ ਪਲੇਗ
20,en,pa_IN,blood pressure,ਬਲੱਡ ਪ੍ਰੈਸ਼ਰ
21,en,pa_IN,body fluid,ਸਰੀਰ ਦਾ ਤਰਲ
22,en,pa_IN,breathing,ਸਾਹ
23,en,pa_IN,bubonic plague,ਬਯੂਬੌਨਿਕ ਪਲੇਗ
24,en,pa_IN,c19,c19
25,en,pa_IN,cv19,cv19
26,en,pa_IN,case fatality rate,ਕੇਸ ਦੀ ਮੌਤ ਦਰ
27,en,pa_IN,causative agent,ਕਾਰਨਿਕ ਏਜੰਟ
28,en,pa_IN,CDC,ਸੀ.ਡੀ.ਸੀ.
29,en,pa_IN,chemical disinfection,ਰਸਾਇਣਕ ਰੋਗਾਣੂ ਨਾਸ਼ਕ
30,en,pa_IN,chest x-ray,ਛਾਤੀ ਦਾ ਐਕਸ-ਰੇ
31,en,pa_IN,clinical diagnosis,ਕਲੀਨਿਕਲ ਤਸ਼ਖੀਸ
32,en,pa_IN,clinical trial,ਕਲੀਨਿਕਲ ਟ੍ਰਾਇਲ
33,en,pa_IN,close contact,ਨੇੜਲਾ ਸੰਪਰਕ
34,en,pa_IN,cvirus,ਸੀ-ਵਾਇਰਸ
35,en,pa_IN,chronic respiratory disease,ਚਿਰਕਾਲੀਨ ਸਾਹ ਦੀ ਬਿਮਾਰੀ
36,en,pa_IN,common cold,ਆਮ ਜੁਕਾਮ
37,en,pa_IN,common flu,ਆਮ ਫਲੂ
38,en,pa_IN,communicable disease,ਛੂਤ ਦੀ ਬਿਮਾਰੀ
39,en,pa_IN,community spread,ਕਮਿਊਨਿਟੀ ਫੈਲ
40,en,pa_IN,community transmission,ਕਮਿਊਨਿਟੀ ਟ੍ਰਾਂਸਮਿਸ਼ਨ
41,en,pa_IN,compromised immune system,ਕਮਜ਼ੋਰ ਪ੍ਰਤੀਰੋਧੀ ਸਿਸਟਮ
42,en,pa_IN,contagion,ਛੂਤ
43,en,pa_IN,contagious,ਛੂਤਕਾਰੀ
44,en,pa_IN,contagiousness,ਛੂਤ
45,en,pa_IN,corona,ਕੋਰੋਨਾ
46,en,pa_IN,corona virus,ਕੋਰੋਨਾ ਵਾਇਰਸ
47,en,pa_IN,corona virus epidemic,ਕੋਰੋਨਾ ਵਾਇਰਸ ਮਹਾਂਮਾਰੀ
48,en,pa_IN,corona virus outbreak,ਕੋਰੋਨਾ ਵਾਇਰਸ ਦਾ ਪ੍ਰਕੋਪ
49,en,pa_IN,corona virus scare,ਕੋਰੋਨਾ ਵਾਇਰਸ ਦਾ ਡਰ
50,en,pa_IN,coronavirus,ਕੋਰੋਨਾਵਾਇਰਸ
