id,sourceLang,targetLang,sourceString,targetString
1,en,pl_PL,1918 flu,grypa 1918
2,en,pl_PL,acute bronchitis,ostre zapalenie oskrzeli
3,en,pl_PL,acute respiratory disease,ostra niewydolność układu oddechowego
4,en,pl_PL,AIDS,AIDS
5,en,pl_PL,airborne droplets,aerozol
6,en,pl_PL,airway,drogi oddechowe
7,en,pl_PL,alcohol-based,na bazie alkoholu
8,en,pl_PL,alcohol-based hand rub,środek do mycia rąk na bazie alkoholu
9,en,pl_PL,alcohol-based hand sanitizer,środek do odkażania rąk na bazie alkoholu
10,en,pl_PL,alveolar disease,choroba obejmująca pęcherzyki płucne
11,en,pl_PL,an epidemic,epidemia
12,en,pl_PL,annual flu,coroczna grypa
13,en,pl_PL,anti-inflammatory drug,lek przeciwzapalny
14,en,pl_PL,antiviral drug,lek antywirusowy
15,en,pl_PL,antiviral treatment,leczenie antywirusowe
16,en,pl_PL,assay,test
17,en,pl_PL,asymptomatic,bezobjawowy
18,en,pl_PL,avian flu,ptasia grypa
19,en,pl_PL,Black Plague,Czarna Śmierć
20,en,pl_PL,blood pressure,ciśnienie krwi
21,en,pl_PL,body fluid,płyn ustrojowy
22,en,pl_PL,breathing,oddychanie
23,en,pl_PL,bubonic plague,dżuma
24,en,pl_PL,c19,c19
25,en,pl_PL,cv19,cv19
26,en,pl_PL,case fatality rate,śmiertelność
27,en,pl_PL,causative agent,czynnik sprawczy
28,en,pl_PL,CDC,CDC | Centrum Kontroli Chorób
29,en,pl_PL,chemical disinfection,dezynfekcja chemiczna
30,en,pl_PL,chest x-ray,prześwietlenie klatki piersiowej
31,en,pl_PL,clinical diagnosis,diagnoza kliniczna
32,en,pl_PL,clinical trial,badanie kliniczne
33,en,pl_PL,close contact,bliski kontakt
34,en,pl_PL,cvirus,wirus k
35,en,pl_PL,chronic respiratory disease,przewlekła niewydolność układu oddechowego
36,en,pl_PL,common cold,przeziębienie
37,en,pl_PL,common flu,zwykła grypa
38,en,pl_PL,communicable disease,choroba zakaźna
39,en,pl_PL,community spread,populacyjna droga rozprzestrzeniania się zakażenia
40,en,pl_PL,community transmission,populacyjna droga szerzenia się zakażenia
41,en,pl_PL,compromised immune system,upośledzone działanie układu odpornościowego
42,en,pl_PL,contagion,zakażenie
43,en,pl_PL,contagious,zakaźny
44,en,pl_PL,contagiousness,zakaźność
45,en,pl_PL,corona,korona
46,en,pl_PL,corona virus,koronawirus
47,en,pl_PL,corona virus epidemic,epidemia koronawirusa
48,en,pl_PL,corona virus outbreak,pojawienie się koronawirusa
49,en,pl_PL,corona virus scare,obawa przed koronawirusem
50,en,pl_PL,coronavirus,koronawirus
51,en,pl_PL,coronavirus cases,przypadki koronawirusa
52,en,pl_PL,coronavirus outbreak,pojawienie się koronawirusa
53,en,pl_PL,coronavirus pandemic,pandemia koronawirusa
54,en,pl_PL,coronavirus scare,obawa przed koronawirusem
55,en,pl_PL,cough,kaszel
56,en,pl_PL,cough etiquette,etykieta kaszlu
57,en,pl_PL,coughing,kaszlenie
58,en,pl_PL,cov 19,cov 19
59,en,pl_PL,cov19,cov19
60,en,pl_PL,COVID,COVID
61,en,pl_PL,COVID-19 crisis,sytuacja kryzysowa związana z COVID-19
62,en,pl_PL,covid-19,covid-19
63,en,pl_PL,covid19,covid19
64,en,pl_PL,COVID-19 epidemic,epidemia COVID-19
65,en,pl_PL,COVID-19 outbreak,pojawienie się COVID-19
66,en,pl_PL,COVID-19 pandemic,pandemia COVID-19
67,en,pl_PL,COVID 19,COVID 19
68,en,pl_PL,current crisis,obecny kryzys
69,en,pl_PL,current health crisis,obecny kryzys zdrowotny
70,en,pl_PL,current outbreak,obecna epidemia
71,en,pl_PL,current pandemic,obecna pandemia
72,en,pl_PL,CV,CV
73,en,pl_PL,CV-19,CV-19
74,en,pl_PL,deadly,śmiertelny
75,en,pl_PL,deadly virus,śmiertelny wirus
76,en,pl_PL,death rate,śmiertelność
77,en,pl_PL,death toll,śmiertelność
78,en,pl_PL,decontaminate,oczyszczać
79,en,pl_PL,detectable,wykrywalny
80,en,pl_PL,detergent,detergent
81,en,pl_PL,difficulty breathing,trudności z oddychaniem
82,en,pl_PL,diabetes,cukrzyca
83,en,pl_PL,diagnosable disease,choroba dająca się diagnozować
84,en,pl_PL,diagnostic protocol,protokół diagnostyczny
85,en,pl_PL,diagnostic testing,badanie diagnostyczne
86,en,pl_PL,disease itself,sama choroba
87,en,pl_PL,disease outbreak,pojawienie się choroby
88,en,pl_PL,disinfectant,środek odkażający
89,en,pl_PL,disposable,jednorazowy
90,en,pl_PL,droplet transmission,transmisja kropelkowa
91,en,pl_PL,droplets,kropelki
92,en,pl_PL,dry cough,suchy kaszel
93,en,pl_PL,dry surface contamination,skażenie suchych powierzchni
94,en,pl_PL,ebola,ebola
95,en,pl_PL,effective treatment,skuteczne leczenie
96,en,pl_PL,electron microscope,mikroskop elektronowy
97,en,pl_PL,emergency department,oddział ratunkowy
98,en,pl_PL,epidemic,epidemia
99,en,pl_PL,epidemic curve,krzywa epidemii
100,en,pl_PL,epidemic peak,szczyt epidemii
101,en,pl_PL,epidemiologist,epidemiolog
102,en,pl_PL,exposure,narażenie
103,en,pl_PL,extreme caution,szczególna ostrożność
104,en,pl_PL,eye protection,ochrona oczu
105,en,pl_PL,face mask,maska
106,en,pl_PL,face masks,maski
107,en,pl_PL,family cluster,rodzina
108,en,pl_PL,fatality rate,śmiertelność
109,en,pl_PL,fecal contamination,zanieczyszczenie odchodami
110,en,pl_PL,fever,gorączka
111,en,pl_PL,flatten the infection curve,spłaszczać krzywą infekcji
112,en,pl_PL,flu,grypa
113,en,pl_PL,food safety,bezpieczeństwo żywności
114,en,pl_PL,formaldehyde,formaldehyd
115,en,pl_PL,gastroenteritis,nieżyt żołądkowo-jelitowy
116,en,pl_PL,germicide,środek bakteriobójczy
117,en,pl_PL,global pandemic,globalna pandemia
118,en,pl_PL,global warming,globalne ocieplenie
119,en,pl_PL,good respiratory hygiene,właściwa higiena układu oddechowego
120,en,pl_PL,Guangdong,Guangdong
121,en,pl_PL,H1N1,H1N1
122,en,pl_PL,H1N1 virus,wirus H1N1
123,en,pl_PL,hand disinfectant,środek do odkażania rąk
124,en,pl_PL,hand sanitizer,środek do mycia rąk
125,en,pl_PL,health care provider,placówka opieki zdrowotnej
126,en,pl_PL,health crisis,kryzys zdrowotny
127,en,pl_PL,health plan carrier,placówka wdrażająca programy zdrowotne
