id,sourceLang,targetLang,sourceString,targetString
1,en,ps_AF,1918 flu,د ۱۹۱۸ فلو
2,en,ps_AF,acute bronchitis,حاد برونایټس
3,en,ps_AF,acute respiratory disease,حاد تنفسي ناروغی
4,en,ps_AF,AIDS,ايډز
5,en,ps_AF,airborne droplets,هوای څاڅکی
6,en,ps_AF,airway,د هوا لاره
7,en,ps_AF,alcohol-based,د الکول پراساس
8,en,ps_AF,alcohol-based hand rub,د الکول پراساس لاسي مسح
9,en,ps_AF,alcohol-based hand sanitizer,د الکول پراساس لاسي سنیټائزر
10,en,ps_AF,alveolar disease,د الوولر ناروغي
11,en,ps_AF,an epidemic,يو وبا
12,en,ps_AF,annual flu,کلنی فلو
13,en,ps_AF,anti-inflammatory drug,د انفلاسیون ضد درمل
14,en,ps_AF,antiviral drug,د انټي وایرل درمل
15,en,ps_AF,antiviral treatment,د انټي وایرل درمل درملنه
16,en,ps_AF,assay,خیا
17,en,ps_AF,asymptomatic,بې علاماتو
18,en,ps_AF,avian flu,د ایویان فلو
19,en,ps_AF,Black Plague,تور طاعون
20,en,ps_AF,blood pressure,د وینی فشار
21,en,ps_AF,body fluid,بدنی مایع
22,en,ps_AF,breathing,تنفس
23,en,ps_AF,bubonic plague,د بوبونیک طاعون
24,en,ps_AF,c19,c19
25,en,ps_AF,cv19,cv19
26,en,ps_AF,case fatality rate,د مړینې کچه
27,en,ps_AF,causative agent,لامل ایجبټ
28,en,ps_AF,CDC,سی ډی سی
29,en,ps_AF,chemical disinfection,کيميايي بېکاره کول
30,en,ps_AF,chest x-ray,د سينې اکسرې
31,en,ps_AF,clinical diagnosis,کلینیکي تشخیص
32,en,ps_AF,clinical trial,کلینیکي ازمونه
33,en,ps_AF,close contact,نږدې اړیکه
34,en,ps_AF,cvirus,وایرس
35,en,ps_AF,chronic respiratory disease,د ساه لنډۍ ناروغي
36,en,ps_AF,common cold,عام زکام
37,en,ps_AF,common flu,عام فلو
