id,sourceLang,targetLang,sourceString,targetString
1,en,pt_XX,1918 flu,gripe de 1918
2,en,pt_XX,acute bronchitis,bronquite aguda
3,en,pt_XX,acute respiratory disease,doença respiratória aguda
4,en,pt_XX,AIDS,SIDA
5,en,pt_XX,airborne droplets,gotículas suspensas no ar
6,en,pt_XX,airway,vias respiratórias
7,en,pt_XX,alcohol-based,à base de álcool
8,en,pt_XX,alcohol-based hand rub,toalhetes para as mãos à base de álcool
9,en,pt_XX,alcohol-based hand sanitizer,desinfetante para as mãos à base de álcool
10,en,pt_XX,alveolar disease,doença alveolar
11,en,pt_XX,an epidemic,uma epidemia
12,en,pt_XX,annual flu,gripe anual
13,en,pt_XX,anti-inflammatory drug,medicamento anti-inflamatório
14,en,pt_XX,antiviral drug,medicamento antiviral
15,en,pt_XX,antiviral treatment,tratamento antiviral
16,en,pt_XX,assay,análise
17,en,pt_XX,asymptomatic,assintomático
18,en,pt_XX,avian flu,gripe das aves
19,en,pt_XX,Black Plague,Peste Negra
20,en,pt_XX,blood pressure,tensão arterial
21,en,pt_XX,body fluid,fluido corporal
22,en,pt_XX,breathing,respiração
23,en,pt_XX,bubonic plague,peste bubónica
24,en,pt_XX,c19,c19
25,en,pt_XX,cv19,cv19
26,en,pt_XX,case fatality rate,taxa de mortalidade de casos
27,en,pt_XX,causative agent,agente causador
28,en,pt_XX,CDC,CDC
29,en,pt_XX,chemical disinfection,desinfeção química
30,en,pt_XX,chest x-ray,raio X ao tórax
31,en,pt_XX,clinical diagnosis,diagnóstico clínico
32,en,pt_XX,clinical trial,triagem clínica
33,en,pt_XX,close contact,contacto estreito
34,en,pt_XX,cvirus,cvírus (coronavírus)
35,en,pt_XX,chronic respiratory disease,doença respiratória crónica
36,en,pt_XX,common cold,constipação comum
37,en,pt_XX,common flu,gripe comum
38,en,pt_XX,communicable disease,doença transmissível
39,en,pt_XX,community spread,propagação na comunidade
40,en,pt_XX,community transmission,transmissão na comunidade
41,en,pt_XX,compromised immune system,sistema imunitário comprometido
42,en,pt_XX,contagion,contágio
43,en,pt_XX,contagious,contagioso(a)
44,en,pt_XX,contagiousness,contagiosidade
45,en,pt_XX,corona,corona
46,en,pt_XX,corona virus,coronavírus
47,en,pt_XX,corona virus epidemic,epidemia de coronavírus
48,en,pt_XX,corona virus outbreak,surto de coronavírus
49,en,pt_XX,corona virus scare,medo do coronavírus
50,en,pt_XX,coronavirus,coronavírus
51,en,pt_XX,coronavirus cases,casos de coronavírus
52,en,pt_XX,coronavirus outbreak,surto de coronavírus
53,en,pt_XX,coronavirus pandemic,pandemia de coronavírus
54,en,pt_XX,coronavirus scare,medo do coronavírus
55,en,pt_XX,cough,tosse
56,en,pt_XX,cough etiquette,protocolo para a tosse
57,en,pt_XX,coughing,tossir
58,en,pt_XX,cov 19,cov 19
59,en,pt_XX,cov19,cov19
60,en,pt_XX,COVID,COVID
61,en,pt_XX,COVID-19 crisis,crise da COVID-19
62,en,pt_XX,covid-19,covid-19
63,en,pt_XX,covid19,covid19
64,en,pt_XX,COVID-19 epidemic,epidemia da COVID-19
65,en,pt_XX,COVID-19 outbreak,surto da COVID-19
66,en,pt_XX,COVID-19 pandemic,pandemia da COVID-19
67,en,pt_XX,COVID 19,COVID 19
68,en,pt_XX,current crisis,crise atual
69,en,pt_XX,current health crisis,crise de saúde atual
70,en,pt_XX,current outbreak,surto atual
71,en,pt_XX,current pandemic,pandemia atual
72,en,pt_XX,CV,CV
73,en,pt_XX,CV-19,CV-19
74,en,pt_XX,deadly,mortal
75,en,pt_XX,deadly virus,vírus mortal
76,en,pt_XX,death rate,taxa de mortalidade
77,en,pt_XX,death toll,números da mortalidade
78,en,pt_XX,decontaminate,descontaminar
79,en,pt_XX,detectable,detetável
80,en,pt_XX,detergent,detergente
81,en,pt_XX,difficulty breathing,dificuldade respiratória
82,en,pt_XX,diabetes,diabetes
83,en,pt_XX,diagnosable disease,doença diagnosticável
84,en,pt_XX,diagnostic protocol,protocolo de diagnóstico
85,en,pt_XX,diagnostic testing,testes de diagnóstico
86,en,pt_XX,disease itself,a própria doença
87,en,pt_XX,disease outbreak,surto da doença
88,en,pt_XX,disinfectant,desinfetante
89,en,pt_XX,disposable,descartável
90,en,pt_XX,droplet transmission,transmissão por gotículas
91,en,pt_XX,droplets,gotículas
92,en,pt_XX,dry cough,tosse seca
93,en,pt_XX,dry surface contamination,contaminação da superfície seca
94,en,pt_XX,ebola,ébola
95,en,pt_XX,effective treatment,tratamento eficaz
