id,sourceLang,targetLang,sourceString,targetString
1,en,si_LK,1918 flu,1918 උණ
2,en,si_LK,acute bronchitis,දරුණු ශ්වසනාලිකා ප්‍රදාහය
3,en,si_LK,acute respiratory disease,දරුණු ශ්වසන රෝග
4,en,si_LK,AIDS,AIDS
5,en,si_LK,airborne droplets,වාසර බිංදු
6,en,si_LK,airway,වාමඟ
7,en,si_LK,alcohol-based,මත්පැන්-පාදක
8,en,si_LK,alcohol-based hand rub,මත්පැන්-පාදක අත් පිසිනය
9,en,si_LK,alcohol-based hand sanitizer,මත්පැන්-පාදක අත් සනීපාරක්ෂකය
10,en,si_LK,alveolar disease,ගර්තික රෝගය
11,en,si_LK,an epidemic,වසංගතයක්
12,en,si_LK,annual flu,වාර්ෂික උණ
13,en,si_LK,anti-inflammatory drug,ප්‍රති-ගිනි අවුලුවන ඖෂධය
14,en,si_LK,antiviral drug,ප්‍රතිවෛරස් ඖෂධය
15,en,si_LK,antiviral treatment,ප්‍රතිවෛරස් ප්‍රතිකාරය
16,en,si_LK,assay,මාත්තු බැලීම
17,en,si_LK,asymptomatic,අසමමිතික
18,en,si_LK,avian flu,කුරුළු උණ
19,en,si_LK,Black Plague,කළු වසංගතය
20,en,si_LK,blood pressure,රුධිර පීඩනය
21,en,si_LK,body fluid,ශරීර තරලය
22,en,si_LK,breathing,හුස්ම ගැනීම
23,en,si_LK,bubonic plague,මහාමාරිය
24,en,si_LK,c19,c19
25,en,si_LK,cv19,cv19
26,en,si_LK,case fatality rate,සිද්ධි මරණ අනුපාතය
27,en,si_LK,causative agent,රෝග කාරකය
28,en,si_LK,CDC,CDC
29,en,si_LK,chemical disinfection,රසායනික විෂබීජ නාශකය
30,en,si_LK,chest x-ray,පපුවේ එක්ස්-කිරණ
31,en,si_LK,clinical diagnosis,සායනික රෝග විනිශ්චය
32,en,si_LK,clinical trial,සායනික අත්හදා බැලීම
33,en,si_LK,close contact,සමීප සම්බන්ධතාව
34,en,si_LK,cvirus,සීවෛරසය
35,en,si_LK,chronic respiratory disease,නිදන්ගත ශ්වසන රෝගය
36,en,si_LK,common cold,සෙම්ප්‍රතිශ්‍යාව
37,en,si_LK,common flu,පොදු උණ
38,en,si_LK,communicable disease,බෝවන රෝගය
39,en,si_LK,community spread,ප්‍රජා ව්‍යාප්තිය
40,en,si_LK,community transmission,ප්‍රජා සම්ප්‍රේෂණය
41,en,si_LK,compromised immune system,අඩාල වූ ප්‍රතිශක්තිකරණ පද්ධතිය
42,en,si_LK,contagion,බෝවීම
43,en,si_LK,contagious,බෝවන
44,en,si_LK,contagiousness,සංස්පර්ශක
45,en,si_LK,corona,කොරෝනා
46,en,si_LK,corona virus,කොරෝනා වෛරසය
47,en,si_LK,corona virus epidemic,කොරෝනා වෛරස් වසංගතය
48,en,si_LK,corona virus outbreak,කොරෝනා වෛරස් පැතිරීම
49,en,si_LK,corona virus scare,කොරෝනා වෛරස් බිය
50,en,si_LK,coronavirus,කොරෝනාවෛරසය
51,en,si_LK,coronavirus cases,කොරෝනාවෛරස් සිද්ධි
52,en,si_LK,coronavirus outbreak,කොරෝනාවෛරස් පැතිරීම
53,en,si_LK,coronavirus pandemic,කොරෝනාවෛරස් වසංගතය
54,en,si_LK,coronavirus scare,කොරෝනාවෛරස් බිය
55,en,si_LK,cough,කැස්ස
56,en,si_LK,cough etiquette,කැස්සේ සුසිරිත්
57,en,si_LK,coughing,කැහීම
58,en,si_LK,cov 19,cov 19
59,en,si_LK,cov19,cov19
60,en,si_LK,COVID,COVID
