id,sourceLang,targetLang,sourceString,targetString
1,en,sk_SK,1918 flu,chrípka z roku 1918
2,en,sk_SK,acute bronchitis,akútny zápal priedušiek
3,en,sk_SK,acute respiratory disease,akútne respiračné ochorenie
4,en,sk_SK,AIDS,AIDS
5,en,sk_SK,airborne droplets,vzduchom prenosné kvapôčky
6,en,sk_SK,airway,dýchacie cesty
7,en,sk_SK,alcohol-based,na báze alkoholu
8,en,sk_SK,alcohol-based hand rub,mydlo na ruky na báze alkoholu
9,en,sk_SK,alcohol-based hand sanitizer,dezinfekcia rúk na báze alkoholu
10,en,sk_SK,alveolar disease,alveolárne ochorenie
11,en,sk_SK,an epidemic,epidémia
12,en,sk_SK,annual flu,každoročná chrípka
13,en,sk_SK,anti-inflammatory drug,protizápalový liek
14,en,sk_SK,antiviral drug,protivírusový liek
15,en,sk_SK,antiviral treatment,protivírusová liečba
16,en,sk_SK,assay,analýza
17,en,sk_SK,asymptomatic,bezpríznakový
18,en,sk_SK,avian flu,vtáčia chrípka
19,en,sk_SK,Black Plague,čierny mor
20,en,sk_SK,blood pressure,krvný tlak
21,en,sk_SK,body fluid,telesná tekutina
22,en,sk_SK,breathing,dýchanie
23,en,sk_SK,bubonic plague,bubonický mor
24,en,sk_SK,c19,c19
25,en,sk_SK,cv19,cv19
26,en,sk_SK,case fatality rate,miera smrtnosti prípadov
27,en,sk_SK,causative agent,pôvodca
28,en,sk_SK,CDC,agentúra CDC
29,en,sk_SK,chemical disinfection,chemická dezinfekcia
30,en,sk_SK,chest x-ray,röntgen hrudníka
31,en,sk_SK,clinical diagnosis,klinická diagnóza
32,en,sk_SK,clinical trial,klinický test
33,en,sk_SK,close contact,uzavrieť zmluvu
34,en,sk_SK,cvirus,kvírus
35,en,sk_SK,chronic respiratory disease,chronické respiračné ochorenie
36,en,sk_SK,common cold,bežné prechladnutie
37,en,sk_SK,common flu,bežná chrípka
38,en,sk_SK,communicable disease,prenosné ochorenie
39,en,sk_SK,community spread,komunitné šírenie
40,en,sk_SK,community transmission,komunitný prenos
41,en,sk_SK,compromised immune system,oslabený imunitný systém
42,en,sk_SK,contagion,nákaza
43,en,sk_SK,contagious,nákazlivý
44,en,sk_SK,contagiousness,nákazlivosť
45,en,sk_SK,corona,korona
46,en,sk_SK,corona virus,korona vírus
47,en,sk_SK,corona virus epidemic,epidémia korona vírusu
48,en,sk_SK,corona virus outbreak,vypuknutie korona vírusu
49,en,sk_SK,corona virus scare,panika z korona vírusu
50,en,sk_SK,coronavirus,koronavírus
51,en,sk_SK,coronavirus cases,prípady koronavírusu
52,en,sk_SK,coronavirus outbreak,vypuknutie koronavírusu
53,en,sk_SK,coronavirus pandemic,pandémia koronavírusu
54,en,sk_SK,coronavirus scare,panika z koronavírusu
55,en,sk_SK,cough,kašeľ
56,en,sk_SK,cough etiquette,pravidlá správania pri kašli
57,en,sk_SK,coughing,kašľanie
58,en,sk_SK,cov 19,cov 19
59,en,sk_SK,cov19,cov19
60,en,sk_SK,COVID,COVID
61,en,sk_SK,COVID-19 crisis,kríza COVID-19
62,en,sk_SK,covid-19,covid-19
63,en,sk_SK,covid19,covid19
64,en,sk_SK,COVID-19 epidemic,epidémia COVID-19
65,en,sk_SK,COVID-19 outbreak,vypuknutie COVID-19
66,en,sk_SK,COVID-19 pandemic,pandémia COVID-19
67,en,sk_SK,COVID 19,COVID 19
68,en,sk_SK,current crisis,súčasná kríza
69,en,sk_SK,current health crisis,súčasná zdravotná kríza
70,en,sk_SK,current outbreak,súčasné vypuknutie
71,en,sk_SK,current pandemic,súčasná pandémia
72,en,sk_SK,CV,CV
73,en,sk_SK,CV-19,CV-19
74,en,sk_SK,deadly,smrtiaci
75,en,sk_SK,deadly virus,smrtiaci vírus
76,en,sk_SK,death rate,smrtnosť
77,en,sk_SK,death toll,úmrtnosť
78,en,sk_SK,decontaminate,dekontaminovať
79,en,sk_SK,detectable,rozpoznateľný
80,en,sk_SK,detergent,umývací prostriedok
81,en,sk_SK,difficulty breathing,ťažkosti s dýchaním
82,en,sk_SK,diabetes,cukrovka
83,en,sk_SK,diagnosable disease,diagnostikovateľné ochorenie
84,en,sk_SK,diagnostic protocol,diagnostický protokol
85,en,sk_SK,diagnostic testing,diagnostické testovanie
86,en,sk_SK,disease itself,samotné ochorenie
87,en,sk_SK,disease outbreak,vypuknutie ochorenia
88,en,sk_SK,disinfectant,dezinfekčný prostriedok
89,en,sk_SK,disposable,na jedno použitie
90,en,sk_SK,droplet transmission,kvapôčkový prenos
91,en,sk_SK,droplets,kvapôčky
92,en,sk_SK,dry cough,suchý kašeľ
93,en,sk_SK,dry surface contamination,kontaminácia suchých povrchov
94,en,sk_SK,ebola,ebola
95,en,sk_SK,effective treatment,účinná liečba
96,en,sk_SK,electron microscope,elektrónový mikroskop
97,en,sk_SK,emergency department,oddelenie pohotovosti
98,en,sk_SK,epidemic,epidémia
99,en,sk_SK,epidemic curve,epidemická krivka
100,en,sk_SK,epidemic peak,vrchol epidémie
101,en,sk_SK,epidemiologist,epidemiológ
102,en,sk_SK,exposure,vystavenie
103,en,sk_SK,extreme caution,extrémna obozretnosť
104,en,sk_SK,eye protection,ochrana očí
105,en,sk_SK,face mask,rúško
106,en,sk_SK,face masks,rúška
107,en,sk_SK,family cluster,rodinné zoskupenie
108,en,sk_SK,fatality rate,miera smrtnosti
109,en,sk_SK,fecal contamination,fekálna kontaminácia
110,en,sk_SK,fever,horúčka
111,en,sk_SK,flatten the infection curve,zrazenie krivky infekcie
112,en,sk_SK,flu,chrípka
113,en,sk_SK,food safety,bezpečnosť potravín
114,en,sk_SK,formaldehyde,formaldehyd
115,en,sk_SK,gastroenteritis,gastroenteritída
116,en,sk_SK,germicide,germicíd
117,en,sk_SK,global pandemic,celosvetová pandémia
118,en,sk_SK,global warming,celosvetové varovanie
119,en,sk_SK,good respiratory hygiene,dobrá respiračná hygiena
120,en,sk_SK,Guangdong,Kuang-tung
121,en,sk_SK,H1N1,H1N1
122,en,sk_SK,H1N1 virus,vírus H1N1
123,en,sk_SK,hand disinfectant,dezinfekčný prostriedok na ruky
124,en,sk_SK,hand sanitizer,dezinfekcia na ruky
125,en,sk_SK,health care provider,poskytovateľ zdravotnej starostlivosti
126,en,sk_SK,health crisis,zdravotná kríza
127,en,sk_SK,health plan carrier,zdravotnícky program poisťovne
