id,sourceLang,targetLang,sourceString,targetString
1,en,sl_SI,1918 flu,1918 gripa
2,en,sl_SI,acute bronchitis,akutni bronhitis
3,en,sl_SI,acute respiratory disease,akutna respiratorna bolezen
4,en,sl_SI,AIDS,AIDS
5,en,sl_SI,airborne droplets,kapljice v zraku
6,en,sl_SI,airway,zračna pot
7,en,sl_SI,alcohol-based,na osnovi alkohola
8,en,sl_SI,alcohol-based hand rub,razkužilo za roke na osnovi alkohola
9,en,sl_SI,alcohol-based hand sanitizer,razkužilo za roke na osnovi alkohola
10,en,sl_SI,alveolar disease,alveolarna bolezen
11,en,sl_SI,an epidemic,epidemija
12,en,sl_SI,annual flu,letna gripa
13,en,sl_SI,anti-inflammatory drug,protivnetno zdravilo
14,en,sl_SI,antiviral drug,protivirusno zdravilo
15,en,sl_SI,antiviral treatment,protivirusno zdravljenje
16,en,sl_SI,assay,poskus
17,en,sl_SI,asymptomatic,asimptomatsko
18,en,sl_SI,avian flu,ptičja gripa
19,en,sl_SI,Black Plague,Črna kuga
20,en,sl_SI,blood pressure,krvni tlak
21,en,sl_SI,body fluid,telesna tekočina
22,en,sl_SI,breathing,dihanje
23,en,sl_SI,bubonic plague,črna kuga
24,en,sl_SI,c19,c19
25,en,sl_SI,cv19,cv19
26,en,sl_SI,case fatality rate,stopnja smrtnosti primera
27,en,sl_SI,causative agent,povzročitelj
28,en,sl_SI,CDC,Centri za nadzor bolezni
29,en,sl_SI,chemical disinfection,kemijsko razkuževanje
30,en,sl_SI,chest x-ray,rentgen prsnega koša
31,en,sl_SI,clinical diagnosis,klinična diagnoza
32,en,sl_SI,clinical trial,klinično preizkušanje
33,en,sl_SI,close contact,bližnji stik
34,en,sl_SI,cvirus,cvirus
35,en,sl_SI,chronic respiratory disease,kronična respiratorna bolezen
36,en,sl_SI,common cold,navadni prehlad
37,en,sl_SI,common flu,navadna gripa
38,en,sl_SI,communicable disease,nalezljiva bolezen
39,en,sl_SI,community spread,širjenje v skupnosti
40,en,sl_SI,community transmission,prenos v skupnosti
41,en,sl_SI,compromised immune system,prizadeti imunski sistem
42,en,sl_SI,contagion,okužba
43,en,sl_SI,contagious,nalezljiv
44,en,sl_SI,contagiousness,nalezljivost
45,en,sl_SI,corona,korona
