id,sourceLang,targetLang,sourceString,targetString
1,en,so_SO,1918 flu,hergebka 1918
2,en,so_SO,acute bronchitis,bronkiita daran
3,en,so_SO,acute respiratory disease,Cudurka neef mareenka oo daran
4,en,so_SO,AIDS,AIDS-ka
5,en,so_SO,airborne droplets,Dhibco hawada mara
6,en,so_SO,airway,hawada mara
7,en,so_SO,alcohol-based,ka sameysan alkahool
8,en,so_SO,alcohol-based hand rub,gacan dhaqaha ka sameysan alkahool
9,en,so_SO,alcohol-based hand sanitizer,gacan nadiifiyaha ka sameysan alkahool
10,en,so_SO,alveolar disease,cudurka alveolar-ka
11,en,so_SO,an epidemic,aadka u faafa
12,en,so_SO,annual flu,hergebka sanadlaha ah
13,en,so_SO,anti-inflammatory drug,daawada anti-inflammatory-ga
14,en,so_SO,antiviral drug,daawada ka hortagga fayruuska
15,en,so_SO,antiviral treatment,daweynta ka hortagga fayruuska
16,en,so_SO,assay,assay-ga
17,en,so_SO,asymptomatic,aan lahayn calaamadaha cudurka
18,en,so_SO,avian flu,hergebka avian
19,en,so_SO,Black Plague,cudurka Madow
20,en,so_SO,blood pressure,dhiig kar
21,en,so_SO,body fluid,biyaha jirka
22,en,so_SO,breathing,neefsashada
23,en,so_SO,bubonic plague,cudurka bubooniga
24,en,so_SO,c19,c19
25,en,so_SO,cv19,cv19
26,en,so_SO,case fatality rate,heerka dhimashada cudurka
27,en,so_SO,causative agent,dhaliyaha cudurka
28,en,so_SO,CDC,CDC
29,en,so_SO,chemical disinfection,ku dilista jeermiska ee kiimikada
30,en,so_SO,chest x-ray,raajatada xabadka
31,en,so_SO,clinical diagnosis,ogaanshaha cudurka
32,en,so_SO,clinical trial,tijaabinta dawooyinka
33,en,so_SO,close contact,udhawaanshaha aadka u dhaw
34,en,so_SO,cvirus,feyruuska c
35,en,so_SO,chronic respiratory disease,Cudurka neef mareenka ee halista ah
36,en,so_SO,common cold,hergeb
37,en,so_SO,common flu,hergen
38,en,so_SO,communicable disease,cudurada laka la qaado
39,en,so_SO,community spread,kufaafa bulshada
40,en,so_SO,community transmission,u kala gudba bulshada
41,en,so_SO,compromised immune system,adkeynta difaaca jirka
42,en,so_SO,contagion,faafa
43,en,so_SO,contagious,laka la qaadi kara
44,en,so_SO,contagiousness,si fudud u faafa
45,en,so_SO,corona,koroona
46,en,so_SO,corona virus,fayruuska koroona
47,en,so_SO,corona virus epidemic,feyruuska koroona ee aadka u faafa
48,en,so_SO,corona virus outbreak,feyruuska koroona ee dilaacay
49,en,so_SO,corona virus scare,baqdinta fayruuska koroona
50,en,so_SO,coronavirus,feyruuska koroona
51,en,so_SO,coronavirus cases,kiisaska feyruuska koroona
52,en,so_SO,coronavirus outbreak,feyruuska koroona ee dilaacay
53,en,so_SO,coronavirus pandemic,feyruuska koroona ee aadka u faafa
54,en,so_SO,coronavirus scare,baqdinta feyruuska koroona
55,en,so_SO,cough,qunfaca
56,en,so_SO,cough etiquette,adaabta qunfaca
57,en,so_SO,coughing,qunficidda
58,en,so_SO,cov 19,cov 19
59,en,so_SO,cov19,cov19
60,en,so_SO,COVID,COVID
61,en,so_SO,COVID-19 crisis,dhibaatada COVID-19
62,en,so_SO,covid-19,covid-19
63,en,so_SO,covid19,covid19
64,en,so_SO,COVID-19 epidemic,COVID-19 ee aadka u faafa
65,en,so_SO,COVID-19 outbreak,COVID-19 ee dilaacay
66,en,so_SO,COVID-19 pandemic,COVID-19 ee aadka u faafa
67,en,so_SO,COVID 19,COVID 19
68,en,so_SO,current crisis,dhibaatada hadda taagan
69,en,so_SO,current health crisis,dhibaatada cafimaad ee hadda taagan
70,en,so_SO,current outbreak,dillaaca cudur ee hadda taagan
71,en,so_SO,current pandemic,cudurka hadda faafaaya
72,en,so_SO,CV,CV
73,en,so_SO,CV-19,CV-19
74,en,so_SO,deadly,halista ah
75,en,so_SO,deadly virus,feyruuska halista ah
76,en,so_SO,death rate,heerka dhimashada
77,en,so_SO,death toll,cadadka dhimashada
78,en,so_SO,decontaminate,bixinta halista
79,en,so_SO,detectable,la dareemi kara
80,en,so_SO,detergent,sabuun
81,en,so_SO,difficulty breathing,ku adkaanta neefsashada
82,en,so_SO,diabetes,cudurka macaanka
83,en,so_SO,diagnosable disease,cudur la ogaani kara
84,en,so_SO,diagnostic protocol,qaabka baaritaanka
85,en,so_SO,diagnostic testing,baritaanka ogaanshaha cudurka
86,en,so_SO,disease itself,cudurka laf ahantiisa
87,en,so_SO,disease outbreak,cudurka dilaacay
88,en,so_SO,disinfectant,dilaha jeermiska
89,en,so_SO,disposable,hal jeer la adeegsani karo
90,en,so_SO,droplet transmission,lagu kala qaadi kara dhibcaha
91,en,so_SO,droplets,dhibcaha
92,en,so_SO,dry cough,qunfac angagan
93,en,so_SO,dry surface contamination,wasakheynta goobaha angagan
94,en,so_SO,ebola,eboola
