id,sourceLang,targetLang,sourceString,targetString
1,en,sq_AL,1918 flu,gripi 1918
2,en,sq_AL,acute bronchitis,bronkit akut
3,en,sq_AL,acute respiratory disease,sëmundje respiratore akute
4,en,sq_AL,AIDS,SIDA
5,en,sq_AL,airborne droplets,spërkla që transmetohen më anë të ajrit
6,en,sq_AL,airway,rrugët e frymëmarrjes
7,en,sq_AL,alcohol-based,me bazë alkooli
8,en,sq_AL,alcohol-based hand rub,solucion për duart me bazë alkooli
9,en,sq_AL,alcohol-based hand sanitizer,dezinfektues për duart me bazë alkooli
10,en,sq_AL,alveolar disease,sëmundje alveolare
11,en,sq_AL,an epidemic,epidemi
12,en,sq_AL,annual flu,gripi i përvitshëm
13,en,sq_AL,anti-inflammatory drug,bar antiinflamator
14,en,sq_AL,antiviral drug,bar antiviral
15,en,sq_AL,antiviral treatment,trajtim antiviral
16,en,sq_AL,assay,analizë
17,en,sq_AL,asymptomatic,asimptomatik
18,en,sq_AL,avian flu,gripi i shpendëve
19,en,sq_AL,Black Plague,Murtaja e zezë
20,en,sq_AL,blood pressure,presioni i gjakut
21,en,sq_AL,body fluid,lëngjet trupore
22,en,sq_AL,breathing,frymëmarrja
23,en,sq_AL,bubonic plague,murtaja bubonike
24,en,sq_AL,c19,c19
25,en,sq_AL,cv19,cv19
26,en,sq_AL,case fatality rate,shkalla e vdekshmërisë së rasteve
27,en,sq_AL,causative agent,agjenti shkaktar
28,en,sq_AL,CDC,CDC
29,en,sq_AL,chemical disinfection,dezinfektim kimik
30,en,sq_AL,chest x-ray,radiografi e kraharorit
31,en,sq_AL,clinical diagnosis,diagnoza klinike
32,en,sq_AL,clinical trial,provë klinike
33,en,sq_AL,close contact,kontakt i afërt
34,en,sq_AL,cvirus,koronavirus
35,en,sq_AL,chronic respiratory disease,sëmundje respiratore kronike
36,en,sq_AL,common cold,e ftohura
37,en,sq_AL,common flu,gripi i zakonshëm
38,en,sq_AL,communicable disease,sëmundje e transmetueshme
39,en,sq_AL,community spread,përhapja në komunitet
40,en,sq_AL,community transmission,transmetimi në komunitet
41,en,sq_AL,compromised immune system,sistemi imunitar i dobët
42,en,sq_AL,contagion,ngjitja
43,en,sq_AL,contagious,ngjitëse
44,en,sq_AL,contagiousness,shkalla e ngjitjes
45,en,sq_AL,corona,koronavirus
46,en,sq_AL,corona virus,virusi korona
47,en,sq_AL,corona virus epidemic,epidemia e koronavirusit
48,en,sq_AL,corona virus outbreak,shpërthimi i koronavirusit
49,en,sq_AL,corona virus scare,frika nga koronavirusi
50,en,sq_AL,coronavirus,koronavirus
51,en,sq_AL,coronavirus cases,rastet me koronavirus
52,en,sq_AL,coronavirus outbreak,shpërthimi i koronavirusit
53,en,sq_AL,coronavirus pandemic,pandemia e koronavirusit
54,en,sq_AL,coronavirus scare,frika nga koronavirusi
55,en,sq_AL,cough,kollë
56,en,sq_AL,cough etiquette,etika për kollën
57,en,sq_AL,coughing,kollitje
58,en,sq_AL,cov 19,cov 19
59,en,sq_AL,cov19,cov19
60,en,sq_AL,COVID,COVID
61,en,sq_AL,COVID-19 crisis,kriza e COVID-19
62,en,sq_AL,covid-19,covid-19
63,en,sq_AL,covid19,covid19
64,en,sq_AL,COVID-19 epidemic,epidemia e COVID-19
65,en,sq_AL,COVID-19 outbreak,shpërthimi i COVID-19
66,en,sq_AL,COVID-19 pandemic,pandemia e COVID-19
67,en,sq_AL,COVID 19,COVID 19
68,en,sq_AL,current crisis,kriza aktuale
69,en,sq_AL,current health crisis,kriza aktuale e shëndetit
70,en,sq_AL,current outbreak,shpërthimi aktual
71,en,sq_AL,current pandemic,pandemia aktuale
72,en,sq_AL,CV,CV
73,en,sq_AL,CV-19,CV-19
74,en,sq_AL,deadly,vdekjeprurës
75,en,sq_AL,deadly virus,virus vdekjeprurës
76,en,sq_AL,death rate,shkalla e vdekshmërisë
77,en,sq_AL,death toll,numri i të vdekurve
78,en,sq_AL,decontaminate,dezinfektoj
79,en,sq_AL,detectable,i zbulueshëm
80,en,sq_AL,detergent,detergjent
81,en,sq_AL,difficulty breathing,vështirësi në frymëmarrje
82,en,sq_AL,diabetes,diabet
83,en,sq_AL,diagnosable disease,sëmundje e diagnostikueshme
84,en,sq_AL,diagnostic protocol,protokolli diagnostikues
