id,sourceLang,targetLang,sourceString,targetString
1,en,sr_RS,1918 flu,грип из 1918.
2,en,sr_RS,acute bronchitis,акутни бронхитис
3,en,sr_RS,acute respiratory disease,акутна респираторна болест
4,en,sr_RS,AIDS,СИДА
5,en,sr_RS,airborne droplets,лебдеће капљице
6,en,sr_RS,airway,ваздушни пут
7,en,sr_RS,alcohol-based,на бази алкохола
8,en,sr_RS,alcohol-based hand rub,средство за руке на бази алкохола
9,en,sr_RS,alcohol-based hand sanitizer,средство за дезинфекцију руку на бази алкохола
10,en,sr_RS,alveolar disease,алвеоларна болест
11,en,sr_RS,an epidemic,епидемија
12,en,sr_RS,annual flu,годишњи грип
13,en,sr_RS,anti-inflammatory drug,антиинфламаторни лек
14,en,sr_RS,antiviral drug,антивирусни лек
15,en,sr_RS,antiviral treatment,антивирусно лечење
16,en,sr_RS,assay,тест
17,en,sr_RS,asymptomatic,асимптоматично
18,en,sr_RS,avian flu,птичји грип
19,en,sr_RS,Black Plague,Црна смрт
20,en,sr_RS,blood pressure,крвни притисак
21,en,sr_RS,body fluid,телесна течност
22,en,sr_RS,breathing,дисање
23,en,sr_RS,bubonic plague,бубонска куга
24,en,sr_RS,c19,c19
25,en,sr_RS,cv19,cv19
26,en,sr_RS,case fatality rate,стопа леталитета
27,en,sr_RS,causative agent,узрочни фактор
28,en,sr_RS,CDC,CDC
29,en,sr_RS,chemical disinfection,хемијска дезинфекција
30,en,sr_RS,chest x-ray,рендген грудног коша
31,en,sr_RS,clinical diagnosis,клиничка дијагноза
32,en,sr_RS,clinical trial,клиничко испитивање
33,en,sr_RS,close contact,близак контакт
34,en,sr_RS,cvirus,корона вирус
35,en,sr_RS,chronic respiratory disease,хронична респираторна болест
36,en,sr_RS,common cold,прехлада
37,en,sr_RS,common flu,обичан грип
38,en,sr_RS,communicable disease,заразна болест
39,en,sr_RS,community spread,ширење у заједници
40,en,sr_RS,community transmission,пренос у заједници
41,en,sr_RS,compromised immune system,угрожен имуни систем
42,en,sr_RS,contagion,зараза
43,en,sr_RS,contagious,заразно
44,en,sr_RS,contagiousness,заразност
45,en,sr_RS,corona,корона
46,en,sr_RS,corona virus,вирус корона
47,en,sr_RS,corona virus epidemic,епидемија вируса корона
48,en,sr_RS,corona virus outbreak,нагла појава вируса корона
49,en,sr_RS,corona virus scare,страх од вируса корона
50,en,sr_RS,coronavirus,корона вирус
51,en,sr_RS,coronavirus cases,случајеви корона вируса
52,en,sr_RS,coronavirus outbreak,нагла појава корона вируса
53,en,sr_RS,coronavirus pandemic,пандемија корона вируса
54,en,sr_RS,coronavirus scare,страх од корона вируса
55,en,sr_RS,cough,кашаљ
56,en,sr_RS,cough etiquette,правилно кашљање
57,en,sr_RS,coughing,кашљање
58,en,sr_RS,cov 19,cov 19
59,en,sr_RS,cov19,cov19
60,en,sr_RS,COVID,COVID
61,en,sr_RS,COVID-19 crisis,криза COVID-19
62,en,sr_RS,covid-19,covid-19
63,en,sr_RS,covid19,covid19
64,en,sr_RS,COVID-19 epidemic,епидемија COVID-19
65,en,sr_RS,COVID-19 outbreak,нагла појава COVID-19
66,en,sr_RS,COVID-19 pandemic,пандемија COVID-19
67,en,sr_RS,COVID 19,COVID 19
68,en,sr_RS,current crisis,тренутна криза
69,en,sr_RS,current health crisis,тренутна здравствена криза
70,en,sr_RS,current outbreak,тренутна нагла појава
71,en,sr_RS,current pandemic,тренутна пандемија
72,en,sr_RS,CV,CV
73,en,sr_RS,CV-19,CV-19
74,en,sr_RS,deadly,смртоносно
75,en,sr_RS,deadly virus,смртоносни вирус
76,en,sr_RS,death rate,стопа смртности
77,en,sr_RS,death toll,број смртних случајева
78,en,sr_RS,decontaminate,деконтаминирати
79,en,sr_RS,detectable,детектабилно
80,en,sr_RS,detergent,детерџент
81,en,sr_RS,difficulty breathing,тешкоће у дисању
82,en,sr_RS,diabetes,дијабетес
83,en,sr_RS,diagnosable disease,болест која се може дијагностиковати
84,en,sr_RS,diagnostic protocol,дијагностички протокол
85,en,sr_RS,diagnostic testing,дијагностичко испитивање
86,en,sr_RS,disease itself,сама болест
87,en,sr_RS,disease outbreak,нагла појава болести
88,en,sr_RS,disinfectant,средство за дезинфекцију
89,en,sr_RS,disposable,за једнократну употребу
90,en,sr_RS,droplet transmission,пренос капљица
91,en,sr_RS,droplets,капљице
92,en,sr_RS,dry cough,суви кашаљ
93,en,sr_RS,dry surface contamination,контаминација сувих површина
94,en,sr_RS,ebola,ебола
95,en,sr_RS,effective treatment,делотворно лечење
96,en,sr_RS,electron microscope,електронски микроскоп
97,en,sr_RS,emergency department,одељење хитне службе
98,en,sr_RS,epidemic,епидемија
99,en,sr_RS,epidemic curve,кривуља епидемије
100,en,sr_RS,epidemic peak,врхунац епидемије
101,en,sr_RS,epidemiologist,епидиомолог
102,en,sr_RS,exposure,изложеност
103,en,sr_RS,extreme caution,крајњи опрез
104,en,sr_RS,eye protection,заштита очију
105,en,sr_RS,face mask,маска за лице
106,en,sr_RS,face masks,маске за лице
107,en,sr_RS,family cluster,породични кластер
108,en,sr_RS,fatality rate,стопа смртности
109,en,sr_RS,fecal contamination,фекална контаминација
110,en,sr_RS,fever,температура
111,en,sr_RS,flatten the infection curve,изравнати криву инфекције
112,en,sr_RS,flu,грип
113,en,sr_RS,food safety,безбедност хране
114,en,sr_RS,formaldehyde,формалдехид
