id,sourceLang,targetLang,sourceString,targetString
1,en,ss_SZ,1918 flu,Mkhuhlane wanga-1918
2,en,ss_SZ,acute bronchitis,kuvaleka sifuba
3,en,ss_SZ,acute respiratory disease,sifo sekungakhoni kuphefumula
4,en,ss_SZ,AIDS,iGCULAZA
5,en,ss_SZ,airborne droplets,emaconsi lahamba nemoya
6,en,ss_SZ,airway,indlela yemoya
7,en,ss_SZ,alcohol-based,i-alcohol-based
8,en,ss_SZ,alcohol-based hand rub,i-alcohol based yekuhlikihla tandla
9,en,ss_SZ,alcohol-based hand sanitizer,i-alcohol based sanitizer yetandla
10,en,ss_SZ,alveolar disease,sifo se-alveolar
11,en,ss_SZ,an epidemic,lubhudzane
12,en,ss_SZ,annual flu,mkhuhlane waminyaka yonkhe
13,en,ss_SZ,anti-inflammatory drug,liphilisi lekuvikela
14,en,ss_SZ,antiviral drug,liphilisi lekulapha
15,en,ss_SZ,antiviral treatment,indlela yekulapha
16,en,ss_SZ,assay,kuhlola
17,en,ss_SZ,asymptomatic,kunetimpawu
18,en,ss_SZ,avian flu,umkhuhlane i-avian
19,en,ss_SZ,Black Plague,i-Black Plague
20,en,ss_SZ,blood pressure,mfutfo wengati
21,en,ss_SZ,body fluid,emanti omtimba
22,en,ss_SZ,breathing,kuphefumula
23,en,ss_SZ,bubonic plague,i-bubonic plague
24,en,ss_SZ,c19,i-c19
25,en,ss_SZ,cv19,i-cv19
26,en,ss_SZ,case fatality rate,sibalo salabashonile
27,en,ss_SZ,causative agent,imbangela
28,en,ss_SZ,CDC,i-CDC
29,en,ss_SZ,chemical disinfection,emakhemikhali labulala emagciwane
30,en,ss_SZ,chest x-ray,i-x-ray yesifuba
31,en,ss_SZ,clinical diagnosis,kuhlolwa kwasemtfola mphilo
32,en,ss_SZ,clinical trial,lucwaningo lwekuhlola
33,en,ss_SZ,close contact,kusondzelana edvute
34,en,ss_SZ,cvirus,i-cvirus
35,en,ss_SZ,chronic respiratory disease,tifo letihlobene nekuphefumula
36,en,ss_SZ,common cold,kubandza lokwetayelekile
37,en,ss_SZ,common flu,mkhuhlane lotayelekile
38,en,ss_SZ,communicable disease,sifo letitsatselelanako
39,en,ss_SZ,community spread,kusabalala emphakatsini
40,en,ss_SZ,community transmission,kutselelana emphakatsini
41,en,ss_SZ,compromised immune system,masosha emtimba lasengotini
42,en,ss_SZ,contagion,kutseleleka
43,en,ss_SZ,contagious,kuyatsatselena
44,en,ss_SZ,contagiousness,kutselelana
45,en,ss_SZ,corona,i-corona
46,en,ss_SZ,corona virus,ligciwane lecorona
47,en,ss_SZ,corona virus epidemic,lubhudzane leligciwane lecorona
48,en,ss_SZ,corona virus outbreak,kucubuka kwecorona virus
49,en,ss_SZ,corona virus scare,luvalo ngecorona virus
50,en,ss_SZ,coronavirus,i-coronavirus
51,en,ss_SZ,coronavirus cases,imibiko ngecoronavirus
52,en,ss_SZ,coronavirus outbreak,kucubuka kwecoronavirus
53,en,ss_SZ,coronavirus pandemic,mashayabhuce wecoronavirus
54,en,ss_SZ,coronavirus scare,luvalo ngecoronavirus
55,en,ss_SZ,cough,kukhwehlela
56,en,ss_SZ,cough etiquette,indlela lekahle yekukhwehlela
57,en,ss_SZ,coughing,kukhwehlela
58,en,ss_SZ,cov 19,i-cov 19
59,en,ss_SZ,cov19,i-cov19
60,en,ss_SZ,COVID,i-COVID
61,en,ss_SZ,COVID-19 crisis,simo lesibucayi seCOVID-19
62,en,ss_SZ,covid-19,icovid-19
63,en,ss_SZ,covid19,i-covid19
64,en,ss_SZ,COVID-19 epidemic,lubhudzane lweCOVID-19
65,en,ss_SZ,COVID-19 outbreak,kucubuka kweCOVID-19
66,en,ss_SZ,COVID-19 pandemic,mashayabhuce weCOVID-19
67,en,ss_SZ,COVID 19,i-Covid 19
68,en,ss_SZ,current crisis,simo lesibucayi lesibhekene naso
69,en,ss_SZ,current health crisis,simo lesibucayi semphilo
70,en,ss_SZ,current outbreak,kucubuka kwalesimo lesikuso
71,en,ss_SZ,current pandemic,mashayabhuce lokhona
72,en,ss_SZ,CV,i-CV
73,en,ss_SZ,CV-19,i-CV-19
74,en,ss_SZ,deadly,kuyabulala
75,en,ss_SZ,deadly virus,ligciwane lelibulalako
76,en,ss_SZ,death rate,emanani alabafile
77,en,ss_SZ,death toll,emanani lanyukako alabafako
78,en,ss_SZ,decontaminate,kuhlukanisa
79,en,ss_SZ,detectable,kuyatfolakala
80,en,ss_SZ,detergent,kokugeza
81,en,ss_SZ,difficulty breathing,kuba nebuntima bekuphefumula
82,en,ss_SZ,diabetes,sifo sashukela
83,en,ss_SZ,diagnosable disease,sifo lesibonakalako
84,en,ss_SZ,diagnostic protocol,umtshetfo lolandzelwako wekuhlolwa
85,en,ss_SZ,diagnostic testing,tindlela tekuhlolwa
86,en,ss_SZ,disease itself,sifo ngekwaso
87,en,ss_SZ,disease outbreak,kucubuka kwesifo
88,en,ss_SZ,disinfectant,sibulala magciwane
89,en,ss_SZ,disposable,lokulahlwako
90,en,ss_SZ,droplet transmission,kutselelana ngemaconsi amatse
