id,sourceLang,targetLang,sourceString,targetString
1,en,sv_SE,1918 flu,Influensan 1918
2,en,sv_SE,acute bronchitis,akut bronkit
3,en,sv_SE,acute respiratory disease,akut luftvägssjukdom
4,en,sv_SE,AIDS,AIDS
5,en,sv_SE,airborne droplets,luftburna partiklar
6,en,sv_SE,airway,luftväg
7,en,sv_SE,alcohol-based,alkoholbaserad
8,en,sv_SE,alcohol-based hand rub,alkoholbaserad handgnuggning
9,en,sv_SE,alcohol-based hand sanitizer,alkoholbaserad handsprit
10,en,sv_SE,alveolar disease,alveolär sjukdom
11,en,sv_SE,an epidemic,en epidemi
12,en,sv_SE,annual flu,årlig influensa
13,en,sv_SE,anti-inflammatory drug,anti-inflammatoriskt läkemedel
14,en,sv_SE,antiviral drug,antiviralt läkemedel
15,en,sv_SE,antiviral treatment,antiviral behandling
16,en,sv_SE,assay,analys
17,en,sv_SE,asymptomatic,asymtomatisk
18,en,sv_SE,avian flu,fågelinfluensa
19,en,sv_SE,Black Plague,digerdöden
20,en,sv_SE,blood pressure,blodtryck
21,en,sv_SE,body fluid,kroppsvätska
22,en,sv_SE,breathing,andning
23,en,sv_SE,bubonic plague,böldpest
24,en,sv_SE,c19,c19
25,en,sv_SE,cv19,cv19
26,en,sv_SE,case fatality rate,dödlighet
27,en,sv_SE,causative agent,smittämne
28,en,sv_SE,CDC,smittskyddsmyndighet
29,en,sv_SE,chemical disinfection,kemisk desinficering
30,en,sv_SE,chest x-ray,lungröntgen
31,en,sv_SE,clinical diagnosis,klinisk diagnos
32,en,sv_SE,clinical trial,klinisk prövning
33,en,sv_SE,close contact,närkontakt
34,en,sv_SE,cvirus,cvirus
35,en,sv_SE,chronic respiratory disease,kronisk luftvägssjukdom
36,en,sv_SE,common cold,vanlig förkylning
37,en,sv_SE,common flu,vanlig influensa
38,en,sv_SE,communicable disease,smittsam sjukdom
39,en,sv_SE,community spread,samhällsspridning
40,en,sv_SE,community transmission,samhällsspridning
41,en,sv_SE,compromised immune system,nedsatt immunförsvar
42,en,sv_SE,contagion,smitta
43,en,sv_SE,contagious,smittsam
44,en,sv_SE,contagiousness,smittsamhet
45,en,sv_SE,corona,corona
46,en,sv_SE,corona virus,coronavirus
47,en,sv_SE,corona virus epidemic,coronavirusepidemi
48,en,sv_SE,corona virus outbreak,utbrott av coronavirus
49,en,sv_SE,corona virus scare,coronaviruspanik
50,en,sv_SE,coronavirus,coronavirus
51,en,sv_SE,coronavirus cases,fall av coronavirus
52,en,sv_SE,coronavirus outbreak,utbrott av coronavirus
53,en,sv_SE,coronavirus pandemic,coronaviruspandemi
54,en,sv_SE,coronavirus scare,coronaviruspanik
55,en,sv_SE,cough,hosta
56,en,sv_SE,cough etiquette,uppförande vid hosta
57,en,sv_SE,coughing,hostande
58,en,sv_SE,cov 19,cov-19
59,en,sv_SE,cov19,cov19
60,en,sv_SE,COVID,COVID
61,en,sv_SE,COVID-19 crisis,COVID-19-krisen
62,en,sv_SE,covid-19,covid-19
63,en,sv_SE,covid19,covid19
64,en,sv_SE,COVID-19 epidemic,COVID-19-epidemi
65,en,sv_SE,COVID-19 outbreak,COVID-19-utbrott
66,en,sv_SE,COVID-19 pandemic,COVID-19-pandemi
67,en,sv_SE,COVID 19,COVID 19
68,en,sv_SE,current crisis,nuvarande kris
69,en,sv_SE,current health crisis,nuvarande hälsokris
70,en,sv_SE,current outbreak,nuvarande utbrott
71,en,sv_SE,current pandemic,nuvarande pandemi
72,en,sv_SE,CV,CV
73,en,sv_SE,CV-19,CV-19
74,en,sv_SE,deadly,dödlig
75,en,sv_SE,deadly virus,dödligt virus
