id,sourceLang,targetLang,sourceString,targetString
1,en,sw_KE,1918 flu,Homa ya 1918
2,en,sw_KE,acute bronchitis,mkamba mkali
3,en,sw_KE,acute respiratory disease,ugonjwa mkali unaohusiana na upumuaji
4,en,sw_KE,AIDS,UKIMWI
5,en,sw_KE,airborne droplets,Matone ya uambukizaji hewani
6,en,sw_KE,airway,kipito cha hewa
7,en,sw_KE,alcohol-based,Iliyo na pombe
8,en,sw_KE,alcohol-based hand rub,kifaa cha kusugua mkono chenye pombe
9,en,sw_KE,alcohol-based hand sanitizer,kioevu cha mkono chenye pombe
10,en,sw_KE,alveolar disease,ugonjwa wa vilengelenge
11,en,sw_KE,an epidemic,magonjwa ya mlipuko
12,en,sw_KE,annual flu,homa ya kila mwaka
13,en,sw_KE,anti-inflammatory drug,dawa ya kupigana na uvimbe
14,en,sw_KE,antiviral drug,dawa ya kupigana na virusi
15,en,sw_KE,antiviral treatment,matibabu ya kumaliza virusi
16,en,sw_KE,assay,kupima
17,en,sw_KE,asymptomatic,bila dalili ya ugonjwa
18,en,sw_KE,avian flu,homa ya ndege ya avian
19,en,sw_KE,Black Plague,Tauni Nyeusi
20,en,sw_KE,blood pressure,shinikizo la damu
21,en,sw_KE,body fluid,umajimaji wa mwili
22,en,sw_KE,breathing,kupumua
23,en,sw_KE,bubonic plague,tauni ya majipu
24,en,sw_KE,c19,c19
25,en,sw_KE,cv19,cv19
26,en,sw_KE,case fatality rate,kesi za vifo
27,en,sw_KE,causative agent,kisababishi
28,en,sw_KE,CDC,Kituo cha Udhibiti wa Ugonjwa (CDC)
29,en,sw_KE,chemical disinfection,uuaji wa viini kwa kutumia kemikali
30,en,sw_KE,chest x-ray,picha ya x-ray ya kifua
31,en,sw_KE,clinical diagnosis,utambuzi wa ugonjwa kwa kuangalia
32,en,sw_KE,clinical trial,majaribio ya matibabu
33,en,sw_KE,close contact,mguso wa karibu
34,en,sw_KE,cvirus,cvirus
35,en,sw_KE,chronic respiratory disease,ugonjwa hatari wa upumuaji
36,en,sw_KE,common cold,mafua ya kawaida
37,en,sw_KE,common flu,homa ya kawaida
38,en,sw_KE,communicable disease,ugonjwa unaoweza kuambukizwa
39,en,sw_KE,community spread,uenezi wa jumuiya
40,en,sw_KE,community transmission,uambukizaji wa jumuiya
41,en,sw_KE,compromised immune system,maridhiano ya mfumo wa kinga ya mwili
42,en,sw_KE,contagion,uambukizaji kwa kugusana
43,en,sw_KE,contagious,ugonjwa wa kuambukizwa kwa kugusana
44,en,sw_KE,contagiousness,uwezo wa uambukizaji kwa kugusana
45,en,sw_KE,corona,korona
46,en,sw_KE,corona virus,virusi vya korona
47,en,sw_KE,corona virus epidemic,ugonjwa wa mlipuko wa virusi vya korona
48,en,sw_KE,corona virus outbreak,mkurupuko wa virusi vya korona
49,en,sw_KE,corona virus scare,woga wa virusi vya korona
50,en,sw_KE,coronavirus,virusi vya korona
51,en,sw_KE,coronavirus cases,kesi za virusi vya korona
52,en,sw_KE,coronavirus outbreak,mkurupuko wa virusi vya korona
53,en,sw_KE,coronavirus pandemic,kuenea kote kwa virusi vya korona
54,en,sw_KE,coronavirus scare,woga wa virusi vya korona
55,en,sw_KE,cough,kikohozi
56,en,sw_KE,cough etiquette,adabu ya kukohoa
57,en,sw_KE,coughing,kukohoa
58,en,sw_KE,cov 19,cov 19
59,en,sw_KE,cov19,cov19
60,en,sw_KE,COVID,COVID
61,en,sw_KE,COVID-19 crisis,Hali ya hatari ya COVID-19
62,en,sw_KE,covid-19,covid-19
63,en,sw_KE,covid19,covid19
64,en,sw_KE,COVID-19 epidemic,ugonjwa wa mlipuko wa COVID-19
65,en,sw_KE,COVID-19 outbreak,mkurupuko wa COVID-19
66,en,sw_KE,COVID-19 pandemic,kuenea kote kwa COVID-19
67,en,sw_KE,COVID 19,COVID 19
68,en,sw_KE,current crisis,hali ya hatari ya sasa
69,en,sw_KE,current health crisis,hali ya hatari ya sasa ya afya
70,en,sw_KE,current outbreak,mkurupuko wa sasa
71,en,sw_KE,current pandemic,uenezi kote wa sasa
72,en,sw_KE,CV,CV
73,en,sw_KE,CV-19,CV-19
74,en,sw_KE,deadly,hatari
75,en,sw_KE,deadly virus,Virusi hatari
76,en,sw_KE,death rate,kiwango cha kifo
77,en,sw_KE,death toll,Idadi ya vifo
78,en,sw_KE,decontaminate,kutochafua
79,en,sw_KE,detectable,inayoweza kugunduliwa
80,en,sw_KE,detergent,sabuni
81,en,sw_KE,difficulty breathing,ugumu wa kupumua
82,en,sw_KE,diabetes,ugonjwa wa sukari
83,en,sw_KE,diagnosable disease,ugonjwa unaoweza kutambuliwa
84,en,sw_KE,diagnostic protocol,itifaki ya utambuzi
85,en,sw_KE,diagnostic testing,kupima ili kutambua ugonjwa
86,en,sw_KE,disease itself,ugonjwa wenyewe
87,en,sw_KE,disease outbreak,mkurupuko wa ugonjwa
88,en,sw_KE,disinfectant,viuaviini
89,en,sw_KE,disposable,unaoweza kutupwa
90,en,sw_KE,droplet transmission,uambukizaji wa matone
91,en,sw_KE,droplets,matone
92,en,sw_KE,dry cough,kikohozi kavu
93,en,sw_KE,dry surface contamination,uchafuzi wa eneo kavu
94,en,sw_KE,ebola,ebola
95,en,sw_KE,effective treatment,matibabu yenye ufanisi
96,en,sw_KE,electron microscope,hadubini ya elektroni
97,en,sw_KE,emergency department,idara ya dharura
98,en,sw_KE,epidemic,magonjwa ya mlipuko
99,en,sw_KE,epidemic curve,mchirizo wa magonjwa ya mlipuko
100,en,sw_KE,epidemic peak,kilele cha magonjwa ya mlipuko
101,en,sw_KE,epidemiologist,mtaalamu wa magonjwa ya mlipuko
102,en,sw_KE,exposure,mfichuo
103,en,sw_KE,extreme caution,onyo kali
104,en,sw_KE,eye protection,kinga ya jicho
105,en,sw_KE,face mask,barakoa
106,en,sw_KE,face masks,barakoa
107,en,sw_KE,family cluster,mkusanyiko wa familia
108,en,sw_KE,fatality rate,kiwango cha vifo
109,en,sw_KE,fecal contamination,uchafuzi wa kinyesi
110,en,sw_KE,fever,homa
111,en,sw_KE,flatten the infection curve,kuhakikisha hakuna maambukizi mapya
112,en,sw_KE,flu,mafua
113,en,sw_KE,food safety,usalama wa chakula
114,en,sw_KE,formaldehyde,fomaldehidi
115,en,sw_KE,gastroenteritis,kuvimba kwa ukuta wa utumbo
116,en,sw_KE,germicide,kiuaviini
117,en,sw_KE,global pandemic,kuenea kote ulimwenguni
118,en,sw_KE,global warming,ongezeko la joto ulimwenguni
119,en,sw_KE,good respiratory hygiene,usafi mzuri wa upumuaji
120,en,sw_KE,Guangdong,Guangdong
121,en,sw_KE,H1N1,H1N1
122,en,sw_KE,H1N1 virus,Virusi vya H1N1
123,en,sw_KE,hand disinfectant,viuaviini mkononi
124,en,sw_KE,hand sanitizer,kioevu cha mkono
125,en,sw_KE,health care provider,mtoa utunzaji wa afya
126,en,sw_KE,health crisis,hali ya hatari ya afya
127,en,sw_KE,health plan carrier,mbebaji wa mpango wa afya
128,en,sw_KE,health services,huduma za afya
129,en,sw_KE,heart failure,upungufu wa afya
130,en,sw_KE,high fever,mafua kali
131,en,sw_KE,HIV,VVU
132,en,sw_KE,hospitalize,kulazwa hospitalini
