id,sourceLang,targetLang,sourceString,targetString
1,en,te_IN,1918 flu,1918 flu
2,en,te_IN,acute bronchitis,తీవ్ర శ్వాసనాళాల వాపు
3,en,te_IN,acute respiratory disease,తీవ్రమైన శ్వాసకోశ వ్యాధి
4,en,te_IN,AIDS,ఎయిడ్స్
5,en,te_IN,airborne droplets,ఎయిర్‌బార్న్ డ్రాప్‌లెట్స్
6,en,te_IN,airway,ఎయిర్‌వే
7,en,te_IN,alcohol-based,ఆల్కహాల్ ఆధారితం
8,en,te_IN,alcohol-based hand rub,ఆల్కహాల్ ఆధారిత హ్యాండ్ రబ్
9,en,te_IN,alcohol-based hand sanitizer,ఆల్కహాల్ ఆధారిత హ్యాండ్ శానిటైజర్
10,en,te_IN,alveolar disease,వాయుకోశ సంబంధ వ్యాధి
11,en,te_IN,an epidemic,అంటువ్యాధి
12,en,te_IN,annual flu,వార్షిక ఫ్లూ
13,en,te_IN,anti-inflammatory drug,శోధ నిరోధక మందులు
14,en,te_IN,antiviral drug,వైరస్ నిరోధక మందులు
15,en,te_IN,antiviral treatment,వైరస్ నిరోధక చికిత్స
16,en,te_IN,assay,నిర్ధారణ
17,en,te_IN,asymptomatic,వ్యాధిలక్షణ రహిత
18,en,te_IN,avian flu,ఏవియన్ ఫ్లూ
19,en,te_IN,Black Plague,నలుపు ప్లేగు
20,en,te_IN,blood pressure,రక్తపోటు
21,en,te_IN,body fluid,శరీర ద్రవం
22,en,te_IN,breathing,శ్వాస
23,en,te_IN,bubonic plague,బుబోనిక్ ప్లేగు
24,en,te_IN,c19,c19
25,en,te_IN,cv19,cv19
26,en,te_IN,case fatality rate,వాస్తవ మరణాల రేటు
27,en,te_IN,causative agent,కారక ఏజెంట్
28,en,te_IN,CDC,CDC
29,en,te_IN,chemical disinfection,రసాయన క్రిమి సంహారకం
30,en,te_IN,chest x-ray,ఛాతీ ఎక్స్-రే
31,en,te_IN,clinical diagnosis,వైద్య నిర్ధారణ
32,en,te_IN,clinical trial,క్లినికల్ ట్రయల్
33,en,te_IN,close contact,సన్నిహితంగా ఉన్న వ్యక్తి
34,en,te_IN,cvirus,సివైరస్
35,en,te_IN,chronic respiratory disease,దీర్ఘకాలిక శ్వాసకోశ వ్యాధి
36,en,te_IN,common cold,సాధారణ జలుబు
37,en,te_IN,common flu,సాధారణ జ్వరం
38,en,te_IN,communicable disease,అంటు వ్యాధి
39,en,te_IN,community spread,సమాజంలో వ్యాప్తి
40,en,te_IN,community transmission,సమాజంలో ప్రసారం
41,en,te_IN,compromised immune system,పని చేయని రోగ నిరోధక వ్యవస్థ
42,en,te_IN,contagion,సంక్రమణ
43,en,te_IN,contagious,అంటు
44,en,te_IN,contagiousness,అంటుకోవడం
45,en,te_IN,corona,కరోనా
46,en,te_IN,corona virus,కరోనా వైరస్
47,en,te_IN,corona virus epidemic,కరోనా వైరస్ అంటువ్యాధి
48,en,te_IN,corona virus outbreak,కరోనా వైరస్ అవుట్‌బ్రేక్
49,en,te_IN,corona virus scare,కరోనా వైరస్ స్కేర్
50,en,te_IN,coronavirus,కరోనావైరస్
51,en,te_IN,coronavirus cases,కరోనావైరస్ కేసులు
52,en,te_IN,coronavirus outbreak,కరోనావైరస్ అవుట్‌బ్రేక్
53,en,te_IN,coronavirus pandemic,కరోనావైరస్ మహమ్మారి
54,en,te_IN,coronavirus scare,కరోనావైరస్ భయం
55,en,te_IN,cough,దగ్గు
56,en,te_IN,cough etiquette,దగ్గు రీతి
57,en,te_IN,coughing,దగ్గడం
58,en,te_IN,cov 19,cov 19
59,en,te_IN,cov19,cov19
60,en,te_IN,COVID,COVID
61,en,te_IN,COVID-19 crisis,COVID-19 సంక్షోభం
62,en,te_IN,covid-19,covid-19
63,en,te_IN,covid19,covid19
64,en,te_IN,COVID-19 epidemic,COVID-19 అంటువ్యాధి
65,en,te_IN,COVID-19 outbreak,COVID-19 అవుట్‌బ్రేక్
66,en,te_IN,COVID-19 pandemic,COVID-19 మహమ్మారి
67,en,te_IN,COVID 19,COVID 19
68,en,te_IN,current crisis,ప్రస్తుత సంక్షోభం
69,en,te_IN,current health crisis,ప్రస్తుత ఆరోగ్య సంక్షోభం
70,en,te_IN,current outbreak,ప్రస్తుత అవుట్‌బ్రేక్
71,en,te_IN,current pandemic,ప్రస్తుత మహమ్మారి
72,en,te_IN,CV,CV
73,en,te_IN,CV-19,CV-19
74,en,te_IN,deadly,ప్రాణాంతకం
75,en,te_IN,deadly virus,ప్రాణాంతక వైరస్
76,en,te_IN,death rate,మరణ రేటు
77,en,te_IN,death toll,మృతుల సంఖ్య
78,en,te_IN,decontaminate,ప్రక్షాళన
79,en,te_IN,detectable,గుర్తించదగిన
80,en,te_IN,detergent,డిటర్జెంట్
81,en,te_IN,difficulty breathing,శ్వాస తీసుకోవడంలో ఇబ్బంది
82,en,te_IN,diabetes,డయాబెటిస్
83,en,te_IN,diagnosable disease,రోగ నిర్ధారణ చేయదగిన వ్యాధి
84,en,te_IN,diagnostic protocol,డయాగ్నస్టిక్ ప్రోటోకాల్
85,en,te_IN,diagnostic testing,డయాగ్నస్టిక్ పరీక్ష
86,en,te_IN,disease itself,వ్యాధి
87,en,te_IN,disease outbreak,వ్యాధి అవుట్‌బ్రేక్
88,en,te_IN,disinfectant,క్రిమిసంహారకాలు
89,en,te_IN,disposable,పునర్వినియోగించని
90,en,te_IN,droplet transmission,డ్రాప్‌లెట్ సంక్రమణ
91,en,te_IN,droplets,డ్రాప్‌లెట్‌లు
92,en,te_IN,dry cough,పొడి దగ్గు
93,en,te_IN,dry surface contamination,పొడి ఉపరితల కాలుష్యం
94,en,te_IN,ebola,ఎబోలా
95,en,te_IN,effective treatment,ప్రభావవంతమైన చికిత్స
96,en,te_IN,electron microscope,ఎలక్ట్రాన్ మైక్రోస్కోప్
97,en,te_IN,emergency department,అత్యవసర శాఖ
98,en,te_IN,epidemic,అంటువ్యాధి
99,en,te_IN,epidemic curve,అంటువ్యాధిక వక్రత
100,en,te_IN,epidemic peak,అంటువ్యాధి తీవ్రత
101,en,te_IN,epidemiologist,వ్యాధికి సంబంధించిన విజ్ఞానం
102,en,te_IN,exposure,బహిర్గతం
