id,sourceLang,targetLang,sourceString,targetString
1,en,tn_BW,1918 flu,Flu ya 1918
2,en,tn_BW,acute bronchitis,boronkhaethisi e e maswe thata
3,en,tn_BW,acute respiratory disease,bolwetsi jo bo maswe thata jwa mafatlha
4,en,tn_BW,AIDS,AIDS
5,en,tn_BW,airborne droplets,mathenyana a a mo phefong
6,en,tn_BW,airway,kgokgotsho
7,en,tn_BW,alcohol-based,e e nang le seka-bojalwa
8,en,tn_BW,alcohol-based hand rub,seitshaso sa diatla se se nang le seka-bojalwa
9,en,tn_BW,alcohol-based hand sanitizer,sanitizer ya diatla e e nang le seka-bojalwa
10,en,tn_BW,alveolar disease,bolwetsi jwa alveolar
11,en,tn_BW,an epidemic,leroborobo
12,en,tn_BW,annual flu,flu ya ngwaga le ngwaga
13,en,tn_BW,anti-inflammatory drug,molemo o o alafang boruruga
14,en,tn_BW,antiviral drug,molemo o o alafang mogare
15,en,tn_BW,antiviral treatment,kalafi ya mogare
16,en,tn_BW,assay,tlhatlhobo
17,en,tn_BW,asymptomatic,go bontsha matshwao a bolwetse
18,en,tn_BW,avian flu,flu ya avian
19,en,tn_BW,Black Plague,Bolwetsi jwa Leroborobo
20,en,tn_BW,blood pressure,kgatelelo ya madi
21,en,tn_BW,body fluid,seedi sa mmele
22,en,tn_BW,breathing,go hema
23,en,tn_BW,bubonic plague,bolwetsi jwa dipeba
24,en,tn_BW,c19,c19
25,en,tn_BW,cv19,cv19
26,en,tn_BW,case fatality rate,palo ya balwetsi ba ba tlhokafalang
27,en,tn_BW,causative agent,se se bakang bolwetse
28,en,tn_BW,CDC,CDC
29,en,tn_BW,chemical disinfection,sebolaya-mogare sa dikhemikhale
30,en,tn_BW,chest x-ray,x-ray ya mafatlha
31,en,tn_BW,clinical diagnosis,tlhatlhobo ya bongaka
32,en,tn_BW,clinical trial,tekeletso ya kalafi
33,en,tn_BW,close contact,go kgomana gaufi
34,en,tn_BW,cvirus,cvirus
35,en,tn_BW,chronic respiratory disease,bolwetsi jo bo sa foleng jwa mafatlha
36,en,tn_BW,common cold,mofikela
37,en,tn_BW,common flu,flu e e tlwaelegileng
38,en,tn_BW,communicable disease,bolwetse jo bo tshelanwang
39,en,tn_BW,community spread,jo bo anamisiwang ke batho
40,en,tn_BW,community transmission,tshelano ka batho
41,en,tn_BW,compromised immune system,masole a mmele a a tlhaelang
42,en,tn_BW,contagion,jo bo anamisiwang
43,en,tn_BW,contagious,jo bo tshelanwang
44,en,tn_BW,contagiousness,go tshelanwa
45,en,tn_BW,corona,corona
46,en,tn_BW,corona virus,mogare wa corona
47,en,tn_BW,corona virus epidemic,leroborobo la mogare wa corona
48,en,tn_BW,corona virus outbreak,tlhaselo ya mogare wa corona
49,en,tn_BW,corona virus scare,letshogo la mogare wa corona
50,en,tn_BW,coronavirus,mogare wa corona
51,en,tn_BW,coronavirus cases,balwetse ba mogare wa corona
