id,sourceLang,targetLang,sourceString,targetString
1,en,tr_TR,1918 flu,1918 gribi
2,en,tr_TR,acute bronchitis,akut bronşit
3,en,tr_TR,acute respiratory disease,akut solunum hastalığı
4,en,tr_TR,AIDS,AIDS
5,en,tr_TR,airborne droplets,havadan gelen damlacıklar
6,en,tr_TR,airway,hava yolu
7,en,tr_TR,alcohol-based,alkol bazlı
8,en,tr_TR,alcohol-based hand rub,alkol bazlı el temizleyici
9,en,tr_TR,alcohol-based hand sanitizer,alkol bazlı el dezenfektanı
10,en,tr_TR,alveolar disease,alveoler hastalık
11,en,tr_TR,an epidemic,bir epidemik
12,en,tr_TR,annual flu,yıllık grip
13,en,tr_TR,anti-inflammatory drug,antienflamatuvar ilaç
14,en,tr_TR,antiviral drug,antiviral ilaç
15,en,tr_TR,antiviral treatment,antiviral tedavi
16,en,tr_TR,assay,tahlil
17,en,tr_TR,asymptomatic,asemptomatik
18,en,tr_TR,avian flu,kuş gribi
19,en,tr_TR,Black Plague,Kara Veba
20,en,tr_TR,blood pressure,tansiyon
21,en,tr_TR,body fluid,vücut sıvısı
22,en,tr_TR,breathing,nefes alma
23,en,tr_TR,bubonic plague,bubonik veba
24,en,tr_TR,c19,c19
25,en,tr_TR,cv19,cv19
26,en,tr_TR,case fatality rate,vaka ölüm oranı
27,en,tr_TR,causative agent,nedensel ajan
28,en,tr_TR,CDC,CDC
29,en,tr_TR,chemical disinfection,kimyasal dezenfekte
30,en,tr_TR,chest x-ray,göğüs filmi
31,en,tr_TR,clinical diagnosis,klinik teşhis
32,en,tr_TR,clinical trial,klinik deney
33,en,tr_TR,close contact,yakın temas
34,en,tr_TR,cvirus,cvirus
35,en,tr_TR,chronic respiratory disease,kronik solunum hastalığı
36,en,tr_TR,common cold,yaygın soğuk algınlığı
37,en,tr_TR,common flu,yaygın grip
38,en,tr_TR,communicable disease,bulaşıcı hastalık
39,en,tr_TR,community spread,etkileşim dışı yayılım
40,en,tr_TR,community transmission,toplumsal bulaşma
41,en,tr_TR,compromised immune system,riskli bağışıklık sistemi
42,en,tr_TR,contagion,bulaşma
43,en,tr_TR,contagious,bulaşıcı
44,en,tr_TR,contagiousness,bulaşıcılık
45,en,tr_TR,corona,korona
46,en,tr_TR,corona virus,korona virüs
47,en,tr_TR,corona virus epidemic,korona virüs epidemiği
48,en,tr_TR,corona virus outbreak,korona virüs salgını
49,en,tr_TR,corona virus scare,korona virüs duyurusu
50,en,tr_TR,coronavirus,koronavirüs
51,en,tr_TR,coronavirus cases,koronavirüs vakaları
