id,sourceLang,targetLang,sourceString,targetString
1,en,uk_UA,1918 flu,грип 1918 року
2,en,uk_UA,acute bronchitis,гострий бронхіт
3,en,uk_UA,acute respiratory disease,гостре респіраторне захворювання
4,en,uk_UA,AIDS,AIDS
5,en,uk_UA,airborne droplets,крапельки, що передаються повітряно-крапельним шляхом
6,en,uk_UA,airway,повітряний шлях
7,en,uk_UA,alcohol-based,на спиртовій основі
8,en,uk_UA,alcohol-based hand rub,антисептик для рук на спиртовій основі
9,en,uk_UA,alcohol-based hand sanitizer,дезінфікуючий засіб для рук на спиртовій основі
10,en,uk_UA,alveolar disease,альвеолярна хвороба
11,en,uk_UA,an epidemic,епідемія
12,en,uk_UA,annual flu,щорічний грип
13,en,uk_UA,anti-inflammatory drug,протизапальний препарат
14,en,uk_UA,antiviral drug,противірусний препарат
15,en,uk_UA,antiviral treatment,противірусне лікування
16,en,uk_UA,assay,аналіз
17,en,uk_UA,asymptomatic,безсимптомний
18,en,uk_UA,avian flu,пташиний грип
19,en,uk_UA,Black Plague,Чорна чума
20,en,uk_UA,blood pressure,кров'яний тиск
21,en,uk_UA,body fluid,рідина організму
22,en,uk_UA,breathing,дихання
23,en,uk_UA,bubonic plague,бубонна чума
24,en,uk_UA,c19,c19
25,en,uk_UA,cv19,cv19
26,en,uk_UA,case fatality rate,рівень летальності
27,en,uk_UA,causative agent,збудник хвороби
28,en,uk_UA,CDC,CDC
29,en,uk_UA,chemical disinfection,хімічна дезінфекція
30,en,uk_UA,chest x-ray,рентген грудної клітки
31,en,uk_UA,clinical diagnosis,клінічний діагноз
32,en,uk_UA,clinical trial,клінічне дослідження
33,en,uk_UA,close contact,тісний контакт
34,en,uk_UA,cvirus,к-вірус
35,en,uk_UA,chronic respiratory disease,хронічне респіраторне захворювання
36,en,uk_UA,common cold,звичайна застуда
37,en,uk_UA,common flu,звичайний грип
38,en,uk_UA,communicable disease,інфекційне захворювання
39,en,uk_UA,community spread,поширення через громаду
