id,sourceLang,targetLang,sourceString,targetString
1,en,ur_PK,1918 flu,1918 کا فلو
2,en,ur_PK,acute bronchitis,پھیپھڑوں کی شدید سوجن
3,en,ur_PK,acute respiratory disease,تنفس کی شدید بیماری
4,en,ur_PK,AIDS,ایڈز (ایسی بیماری جس میں میں جسمانی مدافعت ختم ہو جاتی ہے)
5,en,ur_PK,airborne droplets,ہوا میں معلق ننھے قطرے
6,en,ur_PK,airway,جسم میں ہوا کا راستہ
7,en,ur_PK,alcohol-based,الکحل پر مبنی
8,en,ur_PK,alcohol-based hand rub,الکحل پر مبنی ہاٹھوں پر ملنے والا
9,en,ur_PK,alcohol-based hand sanitizer,الکحل پر مبنی ہاتھ صاف کرنے والا
10,en,ur_PK,alveolar disease,پھیپھڑوں کی ہوا کی تھیلیوں کی بیماری
11,en,ur_PK,an epidemic,ایک وبائی بیماری
12,en,ur_PK,annual flu,سالانہ فلو
13,en,ur_PK,anti-inflammatory drug,دافع سوزش دوا
14,en,ur_PK,antiviral drug,وائرس کش دوا
15,en,ur_PK,antiviral treatment,وائرس کش علاج
16,en,ur_PK,assay,جانچ
17,en,ur_PK,asymptomatic,بیماری کی علامات کے بغیر
18,en,ur_PK,avian flu,برڈ فلو
19,en,ur_PK,Black Plague,کالی طاعون
20,en,ur_PK,blood pressure,فشار خون
21,en,ur_PK,body fluid,جسمانی سیال
22,en,ur_PK,breathing,سانس لینا
23,en,ur_PK,bubonic plague,گلٹی دار طاعون
24,en,ur_PK,c19,c19
25,en,ur_PK,cv19,cv19
26,en,ur_PK,case fatality rate,اموات کی شرح
27,en,ur_PK,causative agent,باعث علت محرک
28,en,ur_PK,CDC,CDC
29,en,ur_PK,chemical disinfection,کیمیائی دافع چھوت
30,en,ur_PK,chest x-ray,سینے کا ایکسرے
31,en,ur_PK,clinical diagnosis,طبی تشخیص
32,en,ur_PK,clinical trial,طبی آزمائش
33,en,ur_PK,close contact,قریبی رابطہ
34,en,ur_PK,cvirus,سی وائرس
35,en,ur_PK,chronic respiratory disease,سانس کی دیرینہ مرض
36,en,ur_PK,common cold,زکام
