id,sourceLang,targetLang,sourceString,targetString
1,en,wo_SN,1918 flu,sibbiru 1918
2,en,wo_SN,acute bronchitis,feebaru-xëtër bu tar
3,en,wo_SN,acute respiratory disease,feebaru noyyi bu tar
4,en,wo_SN,AIDS,SIDA
5,en,wo_SN,airborne droplets,toqi ndox yu ngelaw li di yóbbu
6,en,wo_SN,airway,jaar ci ngelaw
7,en,wo_SN,alcohol-based,bu am alkol
8,en,wo_SN,alcohol-based hand rub,ndox ak alkol ngir raxas loxo
9,en,wo_SN,alcohol-based hand sanitizer,ndox ak alkol ngir setal loxo
10,en,wo_SN,alveolar disease,feebaru alveole yi
11,en,wo_SN,an epidemic,epidemi
12,en,wo_SN,annual flu,sibbiru buy am at mu nekk
13,en,wo_SN,anti-inflammatory drug,garabu wàññi metit
14,en,wo_SN,antiviral drug,garab guy ray doomu-jàngoro ji
15,en,wo_SN,antiviral treatment,saafara bu ray doomu-jàngoro ji
16,en,wo_SN,assay,saytu
17,en,wo_SN,asymptomatic,mëna-wàlle
18,en,wo_SN,avian flu,sibbiru buy dal nganaaw yi
19,en,wo_SN,Black Plague,Peste bu ñuul
20,en,wo_SN,blood pressure,tensioŋu nit ki
21,en,wo_SN,body fluid,ndox yiy génn ci yaram
22,en,wo_SN,breathing,noyyi
23,en,wo_SN,bubonic plague,peste bubonik
24,en,wo_SN,c19,c19
25,en,wo_SN,cv19,cv19
26,en,wo_SN,case fatality rate,bariwaayu faat gi
27,en,wo_SN,causative agent,mbir yi koy joxe
28,en,wo_SN,CDC,CDC
29,en,wo_SN,chemical disinfection,ray jangoro ji ci chimie
30,en,wo_SN,chest x-ray,rajo xëtër bi
31,en,wo_SN,clinical diagnosis,càmbar ci klinik
32,en,wo_SN,clinical trial,saytu baaxaayu paj gi
33,en,wo_SN,close contact,jonjoo
34,en,wo_SN,cvirus,mbassum corona
35,en,wo_SN,chronic respiratory disease,feebaru noyyi bu yàgg
36,en,wo_SN,common cold,soj
37,en,wo_SN,common flu,sibbiru
38,en,wo_SN,communicable disease,feebar buy wàlle
39,en,wo_SN,community spread,tasaaroo ci gox
40,en,wo_SN,community transmission,wàllaate ci gox
41,en,wo_SN,compromised immune system,yaram wu amatul kaaraange
42,en,wo_SN,contagion,wàll
43,en,wo_SN,contagious,wàlle
44,en,wo_SN,contagiousness,wàllaate
45,en,wo_SN,corona,korona
46,en,wo_SN,corona virus,mbassum corona
47,en,wo_SN,corona virus epidemic,mbassum corona bu law
48,en,wo_SN,corona virus outbreak,ndorteelu mbassum corona
49,en,wo_SN,corona virus scare,ragal mbassum corona
50,en,wo_SN,coronavirus,mbassum corona
51,en,wo_SN,coronavirus cases,ñi am mbassum corona
52,en,wo_SN,coronavirus outbreak,ndorteelu mbassum corona
53,en,wo_SN,coronavirus pandemic,pandemi mbassum corona
54,en,wo_SN,coronavirus scare,ragal mbassum corona
55,en,wo_SN,cough,sëqët
