id,sourceLang,targetLang,sourceString,targetString
1,en,xh_ZA,1918 flu,Umbathalala
2,en,xh_ZA,acute bronchitis,ukosuleleka kakhulu kwemiphunga
3,en,xh_ZA,acute respiratory disease,isifo semiphunga
4,en,xh_ZA,AIDS,Isifo sikaGawulayo
5,en,xh_ZA,airborne droplets,amachaphaza asemoyeni
6,en,xh_ZA,airway,iimpumlo
7,en,xh_ZA,alcohol-based,into ene-alcohol
8,en,xh_ZA,alcohol-based hand rub,ukuhlikihla isandla ngento ene-alcohol
9,en,xh_ZA,alcohol-based hand sanitizer,into yokucoca isandla eyenziwe nge-alcohol
10,en,xh_ZA,alveolar disease,isifo semiphunga
11,en,xh_ZA,an epidemic,ubhubhane
12,en,xh_ZA,annual flu,umkhuhlane obakho qho ngonyaka
13,en,xh_ZA,anti-inflammatory drug,ichiza elithintela ukudumba
14,en,xh_ZA,antiviral drug,ichiza le-antiviral
15,en,xh_ZA,antiviral treatment,unyango lwe-antiviral
16,en,xh_ZA,assay,inkqubo yokuvavanya
17,en,xh_ZA,asymptomatic,ukungabi nazimpawu
18,en,xh_ZA,avian flu,i-flu yeentaka
19,en,xh_ZA,Black Plague,Ukufa Okumnyama
20,en,xh_ZA,blood pressure,ipresha yegazi
21,en,xh_ZA,body fluid,amanzi omzimba
22,en,xh_ZA,breathing,ukuphefumla
23,en,xh_ZA,bubonic plague,isifo sokudunjelwa ngamadlala
24,en,xh_ZA,c19,i-c19
25,en,xh_ZA,cv19,i-cv19
26,en,xh_ZA,case fatality rate,umlinganiselo wokufa kwabantu
27,en,xh_ZA,causative agent,unobangela wesifo
28,en,xh_ZA,CDC,I-CDC
29,en,xh_ZA,chemical disinfection,ukucoca ngeekhemikhali
30,en,xh_ZA,chest x-ray,i-x-ray yesifuba
31,en,xh_ZA,clinical diagnosis,uxilongo lwezonyango
32,en,xh_ZA,clinical trial,uphononongo lwezonyango
33,en,xh_ZA,close contact,ukusondelelana
34,en,xh_ZA,cvirus,i-cvirus
35,en,xh_ZA,chronic respiratory disease,isifo semiphunga esingapheliyo
36,en,xh_ZA,common cold,ifiva
37,en,xh_ZA,common flu,umkhuhlane
38,en,xh_ZA,communicable disease,isifo esosulelayo
39,en,xh_ZA,community spread,ukusasazeka ekuhlaleni
40,en,xh_ZA,community transmission,ukosulela ekuhlaleni
41,en,xh_ZA,compromised immune system,amajoni omzimba angasebenzi kakuhle
42,en,xh_ZA,contagion,ukusasazeka kwesifo
43,en,xh_ZA,contagious,isifo esosulelayo
44,en,xh_ZA,contagiousness,isifo esosulelayo
45,en,xh_ZA,corona,i-corona
46,en,xh_ZA,corona virus,intsholongwane ye-corona
47,en,xh_ZA,corona virus epidemic,ubhubhane wentsholongwane ye-corona
48,en,xh_ZA,corona virus outbreak,ukuqhambuka kwecorona virus
49,en,xh_ZA,corona virus scare,ukucinga unecorona virus
50,en,xh_ZA,coronavirus,icoronavirus
51,en,xh_ZA,coronavirus cases,iimeko zecoronavirus
52,en,xh_ZA,coronavirus outbreak,ukuqhambuka kwecoronavirus
53,en,xh_ZA,coronavirus pandemic,ubhubhane wentsholongwane yecorona
54,en,xh_ZA,coronavirus scare,ukucinga unecoronavirus
55,en,xh_ZA,cough,ukukhohlela
56,en,xh_ZA,cough etiquette,indlela yokukhohlela
57,en,xh_ZA,coughing,ukukhohlela
58,en,xh_ZA,cov 19,i-cov 19
59,en,xh_ZA,cov19,i-cov19
60,en,xh_ZA,COVID,I-COVID
61,en,xh_ZA,COVID-19 crisis,Ingxaki ye-COVID-19
62,en,xh_ZA,covid-19,i-covid-19
63,en,xh_ZA,covid19,i-covid19
64,en,xh_ZA,COVID-19 epidemic,Ubhubhane we-COVID-19
65,en,xh_ZA,COVID-19 outbreak,Ukuqhambuka kwe COVID-19
66,en,xh_ZA,COVID-19 pandemic,Ubhubhane we-COVID-19
67,en,xh_ZA,COVID 19,I-COVID 19
68,en,xh_ZA,current crisis,ingxaki ekhoyo ngoku
69,en,xh_ZA,current health crisis,ingxaki yezempilo yangoku
70,en,xh_ZA,current outbreak,ukuqhambuka kwangoku
71,en,xh_ZA,current pandemic,ubhubhane wangoku
72,en,xh_ZA,CV,I-CV
73,en,xh_ZA,CV-19,I-CV-19
74,en,xh_ZA,deadly,iyabulala
75,en,xh_ZA,deadly virus,intsholongwane ebulalayo
76,en,xh_ZA,death rate,izinga lokufa
77,en,xh_ZA,death toll,inani labafileyo
78,en,xh_ZA,decontaminate,yenza ingosuleli
79,en,xh_ZA,detectable,ebonakalayo
80,en,xh_ZA,detergent,into yokucoca
81,en,xh_ZA,difficulty breathing,ubunzima bokuphefumla
