id,sourceLang,targetLang,sourceString,targetString
1,en,zh_CN,1918 flu,1918 年流感
2,en,zh_CN,acute bronchitis,急性支气管炎
3,en,zh_CN,acute respiratory disease,急性呼吸道疾病
4,en,zh_CN,AIDS,艾滋病（AIDS）
5,en,zh_CN,airborne droplets,空气播散飞沫
6,en,zh_CN,airway,呼吸道
7,en,zh_CN,alcohol-based,乙醇基
8,en,zh_CN,alcohol-based hand rub,含酒精搓手液
9,en,zh_CN,alcohol-based hand sanitizer,含酒精洗手液
10,en,zh_CN,alveolar disease,肺泡疾病
11,en,zh_CN,an epidemic,流行病
12,en,zh_CN,annual flu,年度流感
13,en,zh_CN,anti-inflammatory drug,消炎药
14,en,zh_CN,antiviral drug,抗病毒药
15,en,zh_CN,antiviral treatment,抗病毒治疗
16,en,zh_CN,assay,试验
17,en,zh_CN,asymptomatic,无症状
18,en,zh_CN,avian flu,禽流感
19,en,zh_CN,Black Plague,鼠疫
20,en,zh_CN,blood pressure,血压
21,en,zh_CN,body fluid,体液
22,en,zh_CN,breathing,呼吸
23,en,zh_CN,bubonic plague,腺鼠疫
24,en,zh_CN,c19,c19
25,en,zh_CN,cv19,cv19
26,en,zh_CN,case fatality rate,病死率
27,en,zh_CN,causative agent,致病物
28,en,zh_CN,CDC,CDC
29,en,zh_CN,chemical disinfection,化学消毒
30,en,zh_CN,chest x-ray,胸部 X 光检查
31,en,zh_CN,clinical diagnosis,临床诊断
32,en,zh_CN,clinical trial,临床试验
33,en,zh_CN,close contact,近距离接触
34,en,zh_CN,cvirus,丙型病毒
35,en,zh_CN,chronic respiratory disease,慢性呼吸系统疾病
36,en,zh_CN,common cold,普通感冒
37,en,zh_CN,common flu,普通流感
38,en,zh_CN,communicable disease,传染病
39,en,zh_CN,community spread,社区扩散
40,en,zh_CN,community transmission,社区传播
41,en,zh_CN,compromised immune system,缺乏抵抗力的免疫系统
42,en,zh_CN,contagion,扩散
43,en,zh_CN,contagious,传染性
44,en,zh_CN,contagiousness,接触传染性
45,en,zh_CN,corona,冠状
46,en,zh_CN,corona virus,冠状病毒
47,en,zh_CN,corona virus epidemic,冠状病毒流行
48,en,zh_CN,corona virus outbreak,冠状病毒爆发
49,en,zh_CN,corona virus scare,冠状病毒恐慌
50,en,zh_CN,coronavirus,冠状病毒
51,en,zh_CN,coronavirus cases,冠状病毒病例
52,en,zh_CN,coronavirus outbreak,冠状病毒爆发
53,en,zh_CN,coronavirus pandemic,冠状病毒流行病
54,en,zh_CN,coronavirus scare,冠状病毒恐慌
55,en,zh_CN,cough,咳嗽
56,en,zh_CN,cough etiquette,咳嗽礼仪
57,en,zh_CN,coughing,咳嗽
58,en,zh_CN,cov 19,cov 19
