id,sourceLang,targetLang,sourceString,targetString
1,en,zh_TW,1918 flu,1918年流感
2,en,zh_TW,acute bronchitis,急性支氣管炎
3,en,zh_TW,acute respiratory disease,急性呼吸系統疾病
4,en,zh_TW,AIDS,艾滋病
5,en,zh_TW,airborne droplets,空氣傳播的飛沫
6,en,zh_TW,airway,氣道
7,en,zh_TW,alcohol-based,基於酒精的
8,en,zh_TW,alcohol-based hand rub,酒精基擦手液
9,en,zh_TW,alcohol-based hand sanitizer,酒精基洗手液
10,en,zh_TW,alveolar disease,肺泡疾病
11,en,zh_TW,an epidemic,一個流行病
12,en,zh_TW,annual flu,年度流感
13,en,zh_TW,anti-inflammatory drug,抗炎藥
14,en,zh_TW,antiviral drug,抗病毒藥
15,en,zh_TW,antiviral treatment,抗病毒治療
16,en,zh_TW,assay,化驗
17,en,zh_TW,asymptomatic,無症狀的
18,en,zh_TW,avian flu,禽流感
19,en,zh_TW,Black Plague,黑死病
20,en,zh_TW,blood pressure,血壓
21,en,zh_TW,body fluid,體液
22,en,zh_TW,breathing,呼吸中
23,en,zh_TW,bubonic plague,腺鼠疫
24,en,zh_TW,c19,c19
25,en,zh_TW,cv19,cv19
26,en,zh_TW,case fatality rate,病死率
27,en,zh_TW,causative agent,病因
28,en,zh_TW,CDC,美國疾病控制與預防中心（CDC）
29,en,zh_TW,chemical disinfection,化學消毒
30,en,zh_TW,chest x-ray,胸部X光
31,en,zh_TW,clinical diagnosis,臨床診斷
32,en,zh_TW,clinical trial,臨床試驗
33,en,zh_TW,close contact,親密接觸
34,en,zh_TW,cvirus,c病毒
35,en,zh_TW,chronic respiratory disease,慢性呼吸系統疾病
36,en,zh_TW,common cold,普通感冒
37,en,zh_TW,common flu,普通流感
38,en,zh_TW,communicable disease,傳染病
39,en,zh_TW,community spread,社區傳播
40,en,zh_TW,community transmission,社區傳播
41,en,zh_TW,compromised immune system,受損免疫系統
42,en,zh_TW,contagion,傳染
43,en,zh_TW,contagious,傳染性的
44,en,zh_TW,contagiousness,傳染性
45,en,zh_TW,corona,冠狀
46,en,zh_TW,corona virus,冠狀病毒
47,en,zh_TW,corona virus epidemic,冠狀病毒流行病
48,en,zh_TW,corona virus outbreak,冠狀病毒爆發
49,en,zh_TW,corona virus scare,冠狀病毒恐慌
50,en,zh_TW,coronavirus,冠狀病毒
51,en,zh_TW,coronavirus cases,冠狀病毒病例
52,en,zh_TW,coronavirus outbreak,冠狀病毒爆發
53,en,zh_TW,coronavirus pandemic,冠狀病毒流行病
54,en,zh_TW,coronavirus scare,冠狀病毒恐慌
55,en,zh_TW,cough,咳嗽
56,en,zh_TW,cough etiquette,咳嗽禮節
57,en,zh_TW,coughing,咳嗽
58,en,zh_TW,cov 19,cov 19
59,en,zh_TW,cov19,cov19
60,en,zh_TW,COVID,COVID
61,en,zh_TW,COVID-19 crisis,COVID-19危機
62,en,zh_TW,covid-19,covid-19
63,en,zh_TW,covid19,covid19
64,en,zh_TW,COVID-19 epidemic,COVID-19流行病
65,en,zh_TW,COVID-19 outbreak,COVID-19爆發
66,en,zh_TW,COVID-19 pandemic,COVID-19流行病
67,en,zh_TW,COVID 19,COVID 19
68,en,zh_TW,current crisis,目前的危機
69,en,zh_TW,current health crisis,目前的健康危機
70,en,zh_TW,current outbreak,目前的爆發
71,en,zh_TW,current pandemic,目前的流行病
72,en,zh_TW,CV,CV
73,en,zh_TW,CV-19,CV-19
74,en,zh_TW,deadly,致命的
75,en,zh_TW,deadly virus,致命病毒
76,en,zh_TW,death rate,死亡率
77,en,zh_TW,death toll,死亡人數
78,en,zh_TW,decontaminate,去污
79,en,zh_TW,detectable,可檢測的
80,en,zh_TW,detergent,洗滌劑
81,en,zh_TW,difficulty breathing,呼吸困難
82,en,zh_TW,diabetes,糖尿病
83,en,zh_TW,diagnosable disease,可診斷的疾病
84,en,zh_TW,diagnostic protocol,診斷協議
85,en,zh_TW,diagnostic testing,診斷測試
86,en,zh_TW,disease itself,疾病本身
87,en,zh_TW,disease outbreak,疾病爆發
88,en,zh_TW,disinfectant,消毒劑
89,en,zh_TW,disposable,一次性的
90,en,zh_TW,droplet transmission,飛沫傳播
91,en,zh_TW,droplets,飛沫
92,en,zh_TW,dry cough,乾咳
93,en,zh_TW,dry surface contamination,乾燥表面污染
94,en,zh_TW,ebola,埃博拉病毒
95,en,zh_TW,effective treatment,有效的治療
96,en,zh_TW,electron microscope,電子顯微鏡
97,en,zh_TW,emergency department,急診科
98,en,zh_TW,epidemic,流行病
99,en,zh_TW,epidemic curve,流行曲線
100,en,zh_TW,epidemic peak,流行高峰
101,en,zh_TW,epidemiologist,流行病學家
102,en,zh_TW,exposure,曝光
103,en,zh_TW,extreme caution,極其謹慎
104,en,zh_TW,eye protection,保護眼睛
105,en,zh_TW,face mask,面罩
106,en,zh_TW,face masks,面罩
107,en,zh_TW,family cluster,家庭集群
108,en,zh_TW,fatality rate,病死率
109,en,zh_TW,fecal contamination,糞便污染
110,en,zh_TW,fever,發燒
111,en,zh_TW,flatten the infection curve,展平感染曲線
112,en,zh_TW,flu,流感
113,en,zh_TW,food safety,食品安全
114,en,zh_TW,formaldehyde,甲醛
115,en,zh_TW,gastroenteritis,腸胃炎
116,en,zh_TW,germicide,殺菌劑
117,en,zh_TW,global pandemic,全球流行病
118,en,zh_TW,global warming,全球暖化
119,en,zh_TW,good respiratory hygiene,良好的呼吸衛生
120,en,zh_TW,Guangdong,廣東
121,en,zh_TW,H1N1,H1N1
122,en,zh_TW,H1N1 virus,H1N1病毒
123,en,zh_TW,hand disinfectant,洗手劑
124,en,zh_TW,hand sanitizer,洗手液
125,en,zh_TW,health care provider,健康護理提供者
126,en,zh_TW,health crisis,健康危機
127,en,zh_TW,health plan carrier,健康計劃載體
128,en,zh_TW,health services,健康服務
129,en,zh_TW,heart failure,心臟衰竭
130,en,zh_TW,high fever,高燒
131,en,zh_TW,HIV,艾滋病毒
132,en,zh_TW,hospitalize,住院
133,en,zh_TW,household bleach,家用漂白劑
134,en,zh_TW,Hubei,湖北
135,en,zh_TW,hydrogen peroxide,過氧化氫
136,en,zh_TW,hygiene,衛生
137,en,zh_TW,immune system,免疫系統
138,en,zh_TW,immunity,免疫
139,en,zh_TW,immunocompromised,免疫系統受損的
140,en,zh_TW,immunologist,免疫學家
141,en,zh_TW,incubation,潛伏
142,en,zh_TW,incubation period,潛伏期
143,en,zh_TW,indirect contact,間接接觸
144,en,zh_TW,infect,感染
145,en,zh_TW,infection,感染
146,en,zh_TW,infectious,傳染性的
147,en,zh_TW,infectivity,傳染性
148,en,zh_TW,influenza,流感
149,en,zh_TW,initial transmission event,初次傳播事件
150,en,zh_TW,intensive care equipment,重症監護設備
